DateTime,AddedIPs,RemovedIPs
1514696837,0,3
1514700512,0,2
1514704036,2,2
1514707627,2,6
1514711224,5,2
1514715032,2,0
1514718690,0,2
1514722236,2,2
1514725844,2,4
1514729444,4,0
1514733018,0,3
1514736632,3,2
1514740269,3,4
1514743605,5,0
1514747470,1,1
1514750891,0,1
1514754462,0,6
1514758628,4,17
1514762011,10,16
1514766184,7,0
1514769376,5,0
1514772956,9,4
1514776553,4,5
1514780360,3,4
1514783726,7,4
1514787271,4,3
1514790792,3,3
1514794365,3,1
1514798011,1,5
1514801623,3,3
1514805218,2,4
1514808632,8,4
1514812379,4,1
1514815740,0,3
1514819648,2,3
1514823320,5,8
1514827124,3,1
1514830407,7,4
1514834099,3,2
1514837898,4,3
1514841210,3,9
1514844829,4,8
1514848481,9,3
1514852388,6,3
1514855698,1,5
1514859293,6,5
1514862880,4,1
1514866492,3,4
1514870024,4,9
1514873620,9,5
1514877220,3,6
1514880855,4,12
1514884382,5,5
1514887763,3,4
1514891630,4,2
1514895209,2,1
1514898905,4,2
1514902566,2,2
1514906161,2,3
1514909769,4,2
1514913263,2,1
1514916869,2,0
1514920420,3,3
1514924079,0,2
1514927728,3,3
1514931144,4,5
1514934884,2,5
1514938782,11,2
1514941767,2,4
1514945617,4,4
1514949247,5,4
1514952783,5,3
1514956361,4,1
1514960025,2,4
1514963530,2,4
1514967165,3,4
1514970527,9,3
1514974299,3,5
1514977607,1,7
1514981201,8,1
1514985137,2,2
1514988760,2,3
1514992054,1,0
1514995835,2,6
1514999293,3,3
1515002800,6,5
1515006374,7,0
1515009961,2,1
1515013610,0,1
1515017176,0,1
1515020798,1,1
1515024403,1,2
1515031640,2,7
1515035713,1,2
1515039312,4,23
1515042918,9,4
1515046345,10,6
1515050105,3,0
1515053690,3,4
1515057137,11,7
1515060928,4,3
1515064435,4,4
1515068005,3,5
1515071658,1,3
1515075239,4,8
1515078809,7,7
1515082226,9,2
1515086057,5,3
1515089628,1,5
1515093188,4,5
1515096833,3,13
1515100404,6,4
1515103938,5,4
1515107576,3,7
1515111511,8,3
1515114881,4,8
1515118426,5,3
1515122112,4,4
1515125702,6,4
1515129249,14,6
1515132852,5,4
1515136391,5,6
1515140114,3,5
1515143533,6,3
1515146795,10,7
1515150388,8,1
1515154012,1,2
1515157602,2,2
1515161191,3,1
1515168396,2,2
1515171994,1,1
1515175743,1,1
1515179357,1,0
1515183076,2,4
1515186798,2,9
1515190431,1,6
1515194009,7,5
1515198045,0,5
1515201227,9,3
1515204834,2,7
1515208496,9,8
1515212082,4,2
1515215666,4,5
1515219280,5,2
1515222829,7,9
1515226426,4,2
1515229995,3,12
1515233637,4,6
1515237302,2,8
1515240888,7,3
1515244088,13,2
1515247923,7,3
1515251424,6,4
1515254865,0,1
1515258690,4,5
1515262148,3,3
1515266352,2,9
1515270020,3,4
1515273613,8,7
1515277230,7,14
1515280797,4,7
1515284710,8,7
1515287902,9,6
1515291466,5,17
1515295049,4,6
1515298603,10,7
1515302259,7,4
1515305851,9,9
1515309425,1,6
1515313008,11,5
1515316622,6,6
1515319961,10,7
1515323194,24,3
1515326873,3,3
1515330491,5,3
1515334302,1,2
1515337949,2,5
1515341601,2,2
1515345203,1,9
1515348916,6,5
1515352421,5,10
1515356047,6,6
1515359646,7,5
1515363308,6,13
1515370736,11,5
1515374189,6,6
1515377791,6,7
1515381430,9,9
1515384979,3,2
1515388573,7,7
1515392173,4,2
1515395776,6,2
1515399315,1,4
1515402925,4,8
1515406585,7,0
1515410148,3,7
1515413727,5,1
1515417349,6,11
1515420948,13,4
1515424511,2,7
1515427856,4,4
1515431753,7,2
1515435372,2,5
1515438944,0,5
1515442102,8,5
1515446152,5,5
1515449822,3,5
1515453358,6,2
1515457382,3,14
1515460597,7,8
1515464153,7,8
1515467746,12,5
1515471374,3,2
1515474985,4,12
1515478519,14,3
1515481849,2,3
1515485197,10,2
1515488816,3,0
1515492422,1,1
1515496014,1,1
1515499636,0,3
1515503228,2,5
1515506900,5,1
1515510979,0,2
1515518208,2,5
1515521809,3,9
1515525438,3,1
1515528990,6,4
1515532556,4,2
1515536322,2,5
1515539919,3,5
1515543958,5,14
1515547060,7,6
1515550627,8,7
1515554181,8,6
1515557798,12,3
1515561390,1,3
1515564977,2,7
1515568617,7,8
1515572207,8,7
1515575804,5,2
1515579393,4,2
1515583029,4,11
1515586658,8,4
1515590186,6,4
1515593792,2,4
1515597431,7,6
1515601008,5,5
1515604613,7,4
1515608245,4,5
1515611793,3,17
