DateTime,AddedIPs,RemovedIPs
1514740808,9,4
1514744137,13,3
1514751975,1,7
1514755117,1,14
1514759166,16,38
1514762603,25,42
1514766905,40,0
1514770033,14,0
1514773642,15,13
1514777152,9,29
1514781068,6,12
1514784355,17,22
1514787897,18,7
1514791402,10,8
1514794994,8,5
1514798638,8,7
1514802226,6,5
1514805830,4,16
1514809219,16,9
1514813000,10,9
1514816317,4,8
1514820272,15,10
1514824035,13,15
1514827851,10,5
1514831038,10,7
1514834770,9,12
1514838592,14,10
1514841835,7,14
1514845451,4,15
1514849109,14,6
1514853108,17,8
1514856313,13,9
1514859911,7,8
1514863487,8,22
1514867113,6,9
1514870648,13,20
1514874236,16,8
1514877841,9,5
1514881460,8,12
1514884974,12,10
1514888343,15,6
1514892237,5,5
1514895826,3,4
1514899513,7,8
1514903223,4,6
1514906799,6,9
1514910391,12,5
1514913881,2,8
1514917452,8,5
1514921057,12,6
1514924713,4,9
1514928342,7,9
1514931736,13,11
1514935516,5,7
1514939499,31,3
1514942335,8,8
1514946193,5,8
1514949835,6,27
1514953315,6,15
1514956934,6,2
1514960589,4,4
1514964106,4,9
1514967706,7,9
1514971069,13,20
1514974841,12,12
1514978126,11,13
1514981707,11,5
1514985711,8,14
1514989331,13,7
1514992584,14,6
1514996419,6,11
1514999849,12,6
1515003286,7,15
1515006847,14,10
1515010374,18,5
1515014026,3,30
1515017574,19,7
1515021219,6,6
1515024834,25,24
1515028439,6,2
1515032076,7,28
1515036398,30,22
1515039958,17,16
1515043546,22,9
1515046945,12,8
1515050757,7,9
1515054271,12,5
1515057724,9,7
1515061525,7,7
1515065042,7,4
1515068581,4,12
1515072230,5,12
1515075817,12,16
1515079389,17,15
1515082887,11,5
1515086658,6,6
1515090230,6,9
1515093823,17,10
1515097309,7,6
1515101032,7,6
1515104451,8,10
1515108186,7,15
1515112204,34,5
1515115494,15,12
1515119032,16,16
1515122730,17,25
1515126258,18,18
1515129844,11,11
1515133456,12,10
1515136982,12,16
1515140700,7,23
1515144059,24,14
1515147308,21,14
1515150855,17,8
1515154493,5,12
1515158062,9,20
1515161596,15,12
1515165345,5,7
1515168908,13,8
1515172500,15,7
1515176273,19,4
1515179943,7,1
1515183665,2,6
1515187430,8,16
1515191050,8,14
1515194628,12,13
1515198760,41,8
1515201795,15,9
1515205396,10,15
1515209084,10,38
1515212632,8,19
1515216228,7,8
1515219846,14,10
1515223403,9,10
1515227006,13,15
1515230540,21,11
1515234171,6,12
1515237872,11,10
1515241442,11,13
1515244610,19,5
1515248455,10,2
1515251948,8,4
1515255391,2,4
1515259215,7,14
1515262656,5,9
1515267165,4,11
1515270846,7,9
1515274432,14,18
1515278079,13,42
1515281599,20,16
1515285563,28,15
1515288660,19,13
1515292166,16,15
1515295732,18,26
1515299279,22,11
1515302947,11,14
1515306558,20,12
1515310112,6,10
1515313709,20,12
1515317291,11,11
1515320467,15,19
1515323697,20,5
1515327399,12,13
1515331055,17,3
1515334853,2,9
1515338514,4,12
1515342128,6,6
1515345765,5,11
1515349473,9,10
1515352967,11,16
1515356633,13,11
1515360238,11,14
1515363872,14,8
1515371434,28,20
1515374734,23,16
1515378372,9,14
1515382028,16,31
1515385548,9,14
1515389122,15,9
1515392742,17,8
1515396356,13,6
1515399894,7,11
1515403521,10,12
1515407136,10,5
1515410722,6,13
1515414288,6,13
1515417959,18,19
1515421505,9,15
1515425090,14,8
1515428387,8,11
1515432330,14,5
1515435934,9,12
1515439514,19,11
1515442607,15,6
1515446702,6,8
1515450405,10,7
1515453924,7,2
1515458083,37,19
1515461261,26,13
1515464799,22,14
1515468368,14,55
1515471997,19,26
1515475550,27,14
1515479112,18,16
1515482362,21,14
1515485630,25,12
1515489253,17,10
1515492831,9,15
1515496434,12,14
1515500087,8,26
1515503670,19,19
1515507541,23,13
1515511630,14,17
1515515245,5,10
1515518843,15,18
1515522436,21,17
1515526072,5,12
1515529592,20,20
1515533175,18,13
1515537084,4,13
1515540672,14,20
1515544743,36,15
1515547651,21,23
1515551219,23,23
1515554788,23,38
1515558408,29,21
1515561972,16,19
1515565603,16,25
1515569221,22,37
1515572809,15,16
1515576437,23,13
1515579990,21,15
1515583623,16,13
1515587259,23,11
1515590767,16,16
1515594380,15,8
1515598012,14,9
1515601587,15,16
1515605208,6,23
1515608830,21,21
1515612399,14,16
1515615995,13,17
1515619630,17,9
1515623253,18,12
1515626857,10,9
1515630839,27,17
1515634068,20,9
1515637672,10,16
1515641258,14,47
1515644835,18,18
1515648444,13,13
1515651231,23,16
1515654786,12,17
1515658423,20,11
1515662026,12,15
1515665618,13,11
1515669221,10,12
1515672857,11,8
1515676417,11,10
1515680062,11,14
1515683629,13,17
1515687220,5,14
1515690869,4,50
1515694465,20,13
1515698047,6,11
1515701650,39,5
1515705252,10,6
1515708843,19,7
1515712428,15,13
1515716119,22,36
1515719636,7,13
1515723249,18,38
1515726851,48,40
1515730429,10,3
1515734046,9,3
1515737611,5,5
1515741243,1,16
1515744835,16,8
1515748427,4,11
1515752750,0,18
1515756340,0,14
1515759941,0,101
1515939582,7,303
1515942912,205,0
1515946542,62,0
1515950091,30,0
1515953657,81,0
1515957315,16,5
1515960898,9,8
1515964506,29,7
1515968133,17,15
1515971679,7,7
1515975307,56,1
1515978860,5,11
1515982476,7,6
1515986087,6,29
1515989722,6,37
1515993286,10,14
1515996887,17,5
1516000457,19,7
1516004100,21,11
1516008343,0,15
1516011934,0,9
1516015534,0,49
1516090497,50,137
1516094023,63,0
1516097651,39,0
1516101284,31,0
1516104833,13,8
1516108410,4,16
1516112038,3,10
1516115634,26,15
1516119226,13,8
1516122826,16,5
1516126466,8,2
1516130021,6,11
1516133678,2,6
1516137198,7,13
1516140857,4,19
1516144447,18,8
1516148115,29,6
1516151727,7,13
1516155283,11,7
1516158893,16,27
1516162472,10,7
1516166118,2,9
1516169673,4,6
1516173294,6,13
1516176929,12,14
1516180485,4,6
1516184072,29,3
1516187692,7,2
1516191312,15,5
1516194864,3,2
1516198533,4,3
1516202086,4,7
1516205681,1,13
1516209297,3,9
1516212863,8,2
1516216553,2,4
1516220094,4,9
1516223695,5,7
1516227301,13,27
1516230886,25,4
1516234531,33,3
1516238118,5,2
1516241710,2,6
1516245326,4,40
1516248902,4,16
1516252540,2,8
1516256135,7,17
1516259688,3,11
1516263288,17,13
1516266887,27,6
1516270521,13,10
1516274077,3,2
1516277697,2,12
1516281321,18,15
1516284912,11,9
1516288509,20,1
1516292101,2,2
1516295697,3,6
1516299296,5,9
1516302872,9,18
1516306493,3,5
1516310075,8,5
1516313713,6,13
1516317294,5,21
1516320959,28,8
1516324501,12,5
1516328086,16,5
1516331712,4,22
1516335316,6,2
1516338906,14,6
1516342509,3,4
1516346080,9,4
1516349723,4,3
1516353298,3,5
1516356894,3,4
1516360512,7,14
1516364132,11,5
1516367674,9,4
1516371301,6,4
1516374884,6,11
1516378546,5,7
1516382132,10,14
1516385698,8,4
1516389317,7,19
1516392862,11,2
1516396504,12,6
1516400086,6,9
1516403717,12,4
1516407368,11,7
1516410908,1,17
1516414484,3,17
1516418107,8,48
1516421724,45,6
1516425294,10,5
1516428918,5,6
1516432518,8,5
1516436111,3,12
1516439663,2,9
1516443265,11,3
1516446888,4,10
1516450490,14,6
1516454070,8,3
1516457681,5,8
1516461277,6,3
1516464930,1,16
1516468523,2,8
1516472096,7,21
1516475691,30,3
1516479326,2,4
1516482898,9,6
1516486488,14,3
1516490085,4,5
1516493779,32,2
1516497341,5,5
1516500885,7,20
1516504564,2,36
1516508070,24,8
1516511728,1,8
1516515299,14,8
1516518901,9,2
1516522510,10,2
1516526077,6,2
1516529705,2,5
1516533248,3,7
1516536926,3,4
1516540483,9,7
1516544109,5,5
1516547740,6,6
1516551295,2,6
1516554879,4,8
1516558526,5,6
1516562140,3,11
1516565711,14,5
1516569303,4,6
1516572942,8,11
1516576515,8,8
1516580112,33,10
1516583708,5,6
1516587276,14,10
1516590874,8,29
1516594525,3,11
1516598112,7,11
1516601679,12,6
1516605295,2,5
1516608912,4,2
1516612488,5,6
1516616079,7,15
1516619694,8,18
1516623324,18,7
1516626854,13,4
1516630514,2,5
1516634138,4,5
1516637691,5,3
1516641282,3,20
1516644926,7,4
1516648509,12,5
1516652110,5,12
1516655688,6,3
1516659258,12,1
1516662973,4,10
1516666522,24,4
1516670071,8,4
1516673695,4,4
1516677268,5,13
1516680842,5,27
1516684472,9,10
1516688071,18,3
1516691658,5,10
1516695288,9,9
1516698844,5,14
1516702497,8,14
1516706065,18,5
1516709688,12,14
1516713266,15,6
1516716908,14,7
1516720461,13,8
1516724093,11,10
1516727660,12,9
1516731255,8,13
1516734887,10,1
1516738478,10,8
1516742093,9,6
1516745681,7,1
1516749283,0,5
1516752871,19,15
1516756464,8,18
1516760064,12,28
1516763681,14,30
1516767252,6,11
1516770872,19,5
