DateTime,AddedIPs,RemovedIPs
1510977909,0,1
1510985099,1,0
1510999507,0,1
1511006710,0,2
1511013909,2,0
1511021103,0,1
1511024713,2,0
1511060695,0,2
1511064305,2,0
1511125505,0,2
1511129115,1,0
1511139907,1,0
1511226309,0,1
1511229896,1,0
1511233499,0,1
1511237100,1,0
1511251507,0,1
1511262303,2,0
1511276710,0,1
1511305511,0,1
1511327102,1,1
1511337886,1,0
1511399079,0,1
1511409889,1,1
1511417081,1,1
1511424280,0,1
1511427891,2,0
1511499888,0,1
1511503475,1,0
1511568321,0,1
1511575493,0,1
1511579092,1,0
1511589894,1,0
1511618680,1,0
1511629487,0,1
1511636694,1,0
1511701506,0,1
1511705102,1,0
1511777083,0,2
1511780691,1,0
1511784286,1,1
1511787894,1,0
1511795090,0,1
1511831098,1,0
1511838295,0,2
1511841906,2,0
1511856298,0,1
1511859907,0,2
1511863501,2,1
1511867101,1,0
1511874304,1,0
1511881501,0,1
1511899504,1,2
1511903102,1,0
1511913939,1,0
1511924695,0,1
1511928301,1,4
1511931894,3,1
1511935501,1,1
1511939108,1,0
1511942701,1,0
1511946309,0,1
1511949912,1,0
1511964312,1,0
1511967896,0,1
1511971496,0,1
1511975107,0,1
1511978702,1,0
1511982297,2,0
1511993089,0,1
1511996717,1,0
1512007497,0,2
1512036304,0,1
1512050697,1,0
1512137094,0,1
1512147894,1,0
1512176714,0,1
1512180305,1,0
1512194710,0,1
1512198306,0,1
1512205514,2,0
1512234305,0,1
1512237889,1,1
1512241513,1,0
1512252315,0,1
1512255922,1,0
1512273879,0,1
1512277480,1,1
1512284682,0,1
1512288272,1,0
1512291874,1,1
1512353082,1,0
1512367489,0,1
1512371087,1,0
1512378297,0,1
1512389093,1,0
1512399887,0,1
1512403492,1,0
1512425097,0,1
1512428692,0,1
1512435888,1,0
1512464684,0,1
1512468280,1,0
1512497093,0,1
1512500687,1,0
1512504289,0,1
1512540283,1,0
1512558287,0,1
1512561895,1,0
1512587084,0,1
1512615891,0,1
1512619506,1,0
1512651883,0,1
1512659103,1,0
1512662692,0,1
1512666282,1,0
1512680675,0,1
1512695098,1,0
1512749114,0,1
1512752705,1,0
1512770699,0,1
1512777951,1,1
1512781487,0,1
1512785116,2,0
1512821106,0,1
1512828300,1,0
1512853500,0,1
1512860700,1,0
1512932705,0,1
1512936294,1,0
1512943495,0,1
1512950723,1,0
1512961499,0,1
1512965101,1,2
1512968701,1,0
1512972313,1,0
1512993916,0,1
1512997509,1,1
1513001111,1,0
1513008298,0,1
1513011896,1,0
1513029906,0,1
1513037151,1,0
1513040705,0,1
1513044304,1,0
1513051511,0,3
1513055097,2,0
1513058715,1,0
1513094709,0,1
1513098301,1,0
1513101907,0,1
1513105499,1,0
1513116298,0,1
1513119907,1,3
1513123537,2,0
1513127084,1,1
1513134291,1,0
1513137894,0,1
1513141494,0,1
1513145090,2,0
1513152289,0,1
1513163101,1,0
1513191883,0,1
1513195498,1,0
1513206288,0,1
1513209920,0,1
1513213484,1,0
1513217084,1,0
1513220665,0,3
1513224301,3,0
1513231483,0,1
1513235095,1,0
1513256691,0,1
1513263899,1,0
1513274683,0,2
1513278335,1,0
1513281921,0,1
1513285497,1,0
1513299894,0,1
1513303498,1,1
1513310694,1,0
1513328688,0,1
1513335886,1,0
1513368284,0,1
1513379099,1,0
1513447482,0,1
1513458283,1,0
1513483494,0,3
1513487078,3,0
1513526685,0,1
1513530287,1,0
1513638321,0,1
1513645513,1,0
1513757129,0,1
1513760709,1,0
1513782317,1,0
1513793114,0,1
1513796712,1,0
1513897521,0,1
1513901144,1,0
1513915511,0,1
1513919117,1,0
1513951497,0,1
1513955108,1,0
1514185488,0,1
1514189095,0,1
1514192695,2,0
1514243085,0,1
1514246729,1,0
1514300694,0,1
1514311494,1,0
1514420119,0,1
1514423435,0,1
1514430509,0,2
1514434122,0,9
1514437597,0,28
1514477459,28,0
1514481045,7,0
1514484676,3,0
1514488256,2,0
1514491887,0,1
1514495430,1,0
1514499001,1,0
1514509874,0,1
1514517146,1,0
1514520724,0,1
1514538718,1,0
1514542314,0,1
1514553091,0,1
1514560292,2,0
1514596269,0,1
1514599909,1,2
1514603520,1,0
1514607154,0,1
1514610749,1,0
1514614293,0,1
1514621529,1,0
1514657106,1,0
1514700273,45,0
1514703861,8,0
1514707479,4,0
1514721943,0,1
1514725544,0,1
1514729134,2,2
1514732714,1,1
1514736338,1,0
1514743471,1,0
1514750758,0,1
1514754352,0,2
1514758207,1,10
1514761658,9,5
1514765688,8,0
1514776166,0,1
1514783358,1,1
1514786867,1,0
1514801217,0,1
1514804817,1,0
1514808350,1,2
1514811995,0,2
1514815466,1,2
1514819256,2,1
1514822854,2,2
1514826668,4,1
1514830017,1,0
1514833667,0,1
1514837454,1,0
1514840832,0,2
1514848104,0,1
1514851909,2,0
1514855326,0,3
1514858939,3,2
1514862518,0,1
1514866113,1,1
1514869655,1,1
1514873250,3,2
1514876826,1,0
1514880490,0,2
1514883991,0,1
1514887474,4,0
1514891237,0,1
1514894809,0,1
1514898524,2,0
1514905762,0,1
1514909349,1,1
1514912872,0,2
1514916497,1,1
1514920011,3,1
1514923699,0,1
1514927344,1,0
1514930751,0,3
1514934510,1,1
1514938313,1,0
1514941466,3,1
1514945243,0,1
1514955974,1,1
1514959629,2,0
1514963140,0,3
1514966755,2,2
1514970241,3,0
1514973942,0,1
1514977456,1,0
1514984745,0,2
1514988346,2,0
1514991851,1,2
1514995496,2,1
1515002648,1,1
1515038901,1,0
1515042497,0,1
1515045983,1,1
