DateTime,Entries,UniqueIPs
1514718835,138,138
1514722380,139,139
1514725988,132,132
1514729595,133,133
1514733151,133,133
1514736775,128,128
1514740414,132,132
1514743761,131,131
1514747622,129,129
1514754556,124,124
1514758772,131,131
1514762177,115,115
1514766389,125,125
1514769588,131,131
1514773167,128,128
1514776754,129,129
1514780571,119,119
1514783946,111,111
1514787458,120,120
1514790986,121,121
1514794563,124,124
1514798194,129,129
1514801813,130,130
1514805409,121,121
1514808822,124,124
1514812578,122,122
1514815919,123,123
1514819826,126,126
1514823564,129,129
1514827360,132,132
1514830596,132,132
1514834288,124,124
1514838124,126,126
1514841410,128,128
1514845015,126,126
1514848691,125,125
1514852639,125,125
1514855914,132,132
1514859501,135,135
1514863100,136,136
1514866699,132,132
1514870228,129,129
1514873830,134,134
1514877416,134,134
1514881070,132,132
1514884572,138,138
1514887931,139,139
1514891826,139,139
1514895402,138,138
1514899083,132,132
1514902768,130,130
1514906356,131,131
1514909960,136,136
1514913479,132,132
1514917052,134,134
1514920618,138,138
1514924309,132,132
1514927934,129,129
1514931330,138,138
1514935110,139,139
1514939044,140,140
1514941933,139,139
1514949409,140,140
1514952932,139,139
1514956521,140,140
1514963695,140,140
1514967326,137,137
1514970680,118,118
1514974457,120,120
1514977755,123,123
1514981322,123,123
1514985300,120,120
1514988917,125,125
1514992216,133,133
1514996001,132,132
1514999468,136,136
1515002916,129,129
1515006481,125,125
1515010063,135,135
1515013711,112,112
1515017281,121,121
1515020897,121,121
1515024509,104,104
1515028110,109,109
1515031749,97,97
1515035923,116,116
1515039518,120,120
1515043123,130,130
1515046525,130,130
1515050300,126,126
1515053842,135,135
1515057308,139,139
1515061116,138,138
1515064593,140,140
1515068181,137,137
1515071830,132,132
1515075407,130,130
1515078965,130,130
1515082465,133,133
1515086241,132,132
1515089795,133,133
1515093377,140,140
1515096984,140,140
1515100611,137,137
1515104100,137,137
1515107757,133,133
1515111737,139,139
1515115088,140,140
1515118632,128,128
1515122320,127,127
1515125906,123,123
1515129456,124,124
1515133037,128,128
1515136577,121,121
1515140297,105,105
1515143725,115,115
1515146936,111,111
1515150499,119,119
1515154135,125,125
1515157714,125,125
1515161299,128,128
1515164964,122,122
1515168534,124,124
1515172144,125,125
1515175903,135,135
1515179513,136,136
1515183267,134,134
1515187000,132,132
1515190646,130,130
1515194218,129,129
1515198291,133,133
1515201404,133,133
1515204996,134,134
1515208687,131,131
1515212271,123,123
1515215842,121,121
1515219440,125,125
1515223002,127,127
1515226585,131,131
1515230155,133,133
1515233786,134,134
1515237455,138,138
1515241073,130,130
1515244229,140,140
1515248082,141,141
1515255014,141,141
1515258850,131,131
1515262307,127,127
1515266608,129,129
1515270264,130,130
1515273873,127,127
1515277476,107,107
1515281050,111,111
1515284980,108,108
1515288173,116,116
1515291669,118,118
1515295253,123,123
1515298811,129,129
1515302468,129,129
1515306065,130,130
1515309632,130,130
1515313217,136,136
1515316823,138,138
1515320113,133,133
1515323322,131,131
1515327031,127,127
1515330639,141,141
1515334462,140,140
1515338111,138,138
1515341750,139,139
1515345367,137,137
1515349071,134,134
1515352587,139,139
1515356219,135,135
1515359820,133,133
1515363458,133,133
1515370943,123,123
1515374352,130,130
1515377960,132,132
1515381593,131,131
1515385144,121,121
1515388732,128,128
1515392323,134,134
1515395948,136,136
1515399488,136,136
1515403104,133,133
1515406758,134,134
1515410315,130,130
1515413896,120,120
1515417538,122,122
1515421131,118,118
1515424704,123,123
1515428016,119,119
1515431919,122,122
1515435538,123,123
1515439116,131,131
1515442257,135,135
1515446320,134,134
1515449983,138,138
1515453525,139,139
1515457608,136,136
1515460828,139,139
1515464370,129,129
1515467956,122,122
1515471602,113,113
1515475185,128,128
1515478735,125,125
1515482031,139,139
1515485307,140,140
1515488929,140,140
1515496132,138,138
1515499743,131,131
1515503340,135,135
1515507103,132,132
1515511186,129,129
1515514802,128,128
1515518415,123,123
1515522009,133,133
1515525644,132,132
1515529188,123,123
1515532761,124,124
1515536565,119,119
1515540185,121,121
1515544245,123,123
1515547227,114,114
1515550789,124,124
1515554352,127,127
1515557969,138,138
1515561558,136,136
1515565143,130,130
1515568789,121,121
1515572380,122,122
1515575984,128,128
1515579560,133,133
1515583192,135,135
1515586832,137,137
1515590350,128,128
1515593954,134,134
1515597609,136,136
1515601173,137,137
1515604786,129,129
1515608418,137,137
1515611960,138,138
1515615590,139,139
1515619184,138,138
1515622823,139,139
1515626411,138,138
1515630377,137,137
1515633615,140,140
1515637228,139,139
1515640796,132,132
1515644396,132,132
1515648007,132,132
1515650907,132,132
1515654496,125,125
1515658107,128,128
1515661698,125,125
1515665304,129,129
1515668888,130,130
1515672518,129,129
1515676111,133,133
1515679737,132,132
1515683311,129,129
1515686906,125,125
1515690527,94,94
1515694140,105,105
1515697741,101,101
1515701311,128,128
1515704931,127,127
