DateTime,AddedIPs,RemovedIPs
1513739491,1,31
1513743066,2,1
1513746694,3,1
1513750253,1,1
1513753853,2,2
1513757465,1,1
1513761047,0,1
1513764646,2,4
1513768261,0,2
1513775441,3,2
1513782687,2,0
1513786239,2,1
1513789879,2,2
1513793463,2,0
1513797051,1,2
1513800686,1,2
1513804229,1,1
1513807878,1,2
1513815099,14,2
1513818677,1,0
1513822293,0,2
1513825860,2,12
1513829469,1,2
1513833067,1,1
1513836677,1,1
1513840259,1,1
1513843883,2,0
1513847455,1,2
1513851062,2,1
1513854676,1,1
1513858258,0,2
1513865475,1,1
1513869064,1,0
1513872669,0,1
1513876296,2,0
1513879849,1,2
1513883460,1,1
1513887094,1,1
1513890657,2,3
1513894270,1,1
1513897880,2,1
1513901483,19,2
1513905043,2,1
1513908681,1,2
1513912271,0,22
1513915848,2,3
1513919474,1,0
1513923055,0,1
1513930282,0,1
1513933858,1,0
1513937462,0,1
1513941084,1,1
1513944646,1,2
1513948256,1,1
1513951845,1,0
1513955464,1,0
1513959048,1,0
1513966262,0,1
1513969895,1,1
1513973448,0,1
1513980669,1,0
1513984268,1,1
1513987892,16,1
1513991451,0,1
1513995025,0,1
1513998640,0,30
1514005836,0,1
1514009452,2,0
1514023840,0,1
1514045415,0,1
1514052637,1,0
1514063431,1,0
1514070644,0,1
1514074274,16,0
1514081443,1,1
1514085030,0,12
1514088625,0,2
1514099439,1,0
1514113845,0,1
1514124628,1,1
1514142642,0,1
1514157031,1,0
1514160680,24,0
1514167832,1,1
1514171452,1,14
1514175067,0,2
1514178665,0,1
1514182258,1,0
1514185848,1,0
1514189463,0,1
1514193053,1,1
1514203842,1,0
1514207442,0,1
1514218237,1,1
1514225425,1,1
1514229040,1,0
1514232652,0,1
1514236262,1,0
1514239855,0,1
1514247081,21,0
1514250618,1,1
1514254253,1,1
1514257848,2,16
1514261464,1,3
1514265033,2,1
1514268650,1,2
1514272252,2,1
1514275828,1,2
1514279443,1,1
1514283050,2,1
1514286658,2,1
1514290231,2,2
1514293843,2,2
1514297444,1,2
1514301037,2,2
1514304631,1,1
1514308233,2,2
1514311842,1,2
1514315443,2,1
1514319059,2,2
1514322634,2,1
1514326259,1,2
1514329820,1,2
1514333488,24,1
1514337034,3,2
1514340646,3,1
1514344239,3,25
1514347842,2,3
1514351463,9,3
1514355060,2,3
1514358660,3,2
1514362257,1,1
1514365883,1,1
1514369500,2,3
1514373122,3,1
1514376697,2,3
1514380298,3,2
1514383884,3,3
1514387509,1,2
1514391134,3,2
1514394682,2,2
1514398331,3,3
1514401929,2,3
1514405501,2,2
1514409125,1,10
1514412740,3,2
1514416302,1,1
1514420958,29,2
1514424167,2,1
1514427536,0,2
1514431135,0,26
1514434727,0,2
1514438295,0,61
1514478164,61,0
1514481753,1,0
1514485361,2,0
1514488936,2,0
1514492574,2,2
1514496130,2,1
1514499698,2,2
1514503307,2,2
1514507332,20,2
1514510617,1,2
1514514211,0,2
1514517883,1,18
1514521449,1,1
1514528626,0,1
1514532228,1,1
1514535830,0,1
1514543019,1,1
1514546643,1,1
1514550247,1,0
1514553812,1,0
1514557425,1,2
1514564668,2,1
1514568251,2,1
1514575442,1,0
1514579030,0,2
1514582646,1,2
1514586201,1,0
1514589824,1,1
1514593887,10,1
1514596979,0,1
1514600602,0,1
1514604212,0,13
1514614994,1,0
1514625039,0,1
1514635800,1,0
1514646627,0,1
1514653817,1,0
1514675414,1,0
1514679078,18,0
1514689851,0,23
1514766520,19,0
1514769701,1,0
1514776869,1,16
1514780692,1,0
1514784054,1,0
1514787568,1,2
1514791099,1,1
1514794677,1,0
1514798305,0,1
1514805515,1,2
1514808928,3,0
1514819940,1,2
1514823687,2,1
1514827483,0,1
1514830710,1,1
1514834405,1,1
1514838247,1,1
1514841523,1,1
1514845130,0,1
1514848803,1,1
1514852768,3,0
1514856020,1,1
1514859606,0,1
1514863210,0,13
1514866806,1,0
1514873936,1,1
1514877532,2,0
1514881178,1,0
1514884681,0,1
1514888039,0,2
1514891939,0,1
1514895515,1,1
1514899198,1,0
1514906466,1,1
1514910070,1,1
1514917156,1,1
1514924413,2,0
1514928037,1,1
1514935211,0,1
1514939157,24,2
1514942034,3,0
1514945881,1,1
1514949503,0,21
1514953028,1,0
1514960277,1,1
1514963795,1,1
1514967422,0,1
1514970777,2,2
1514974554,1,0
1514977840,1,1
1514981411,1,2
1514985389,1,1
1514989007,1,0
1514992302,2,1
1514996100,0,2
1514999561,0,1
1515003011,1,1
1515006560,1,0
1515010141,0,1
1515013789,1,0
1515017361,0,1
1515020978,2,0
1515024588,10,1
1515028195,0,1
1515031837,0,2
1515036043,1,22
1515046634,0,1
1515061219,1,0
1515064698,1,0
1515071933,0,1
1515075510,0,1
1515111846,16,0
1515115199,2,0
1515118739,1,0
1515122419,0,5
1515126003,0,1
1515133142,1,0
1515136682,1,0
1515143821,0,1
1515147023,1,1
1515150599,1,1
1515157819,1,1
1515161385,1,0
1515165060,0,1
1515168639,1,1
1515172240,1,0
1515176017,1,1
1515179623,0,1
1515183373,1,0
1515187106,1,1
1515190757,0,1
1515194325,1,1
1515198409,33,0
1515205100,1,1
1515208790,0,26
1515219543,1,1
1515226687,1,0
1515230254,1,1
1515233885,1,2
1515237569,0,1
1515241177,2,1
1515244336,1,1
1515255117,1,1
1515258945,1,1
1515262409,0,1
1515266729,1,0
1515270403,2,1
1515274014,1,2
1515277606,1,0
1515281180,0,1
1515285133,13,1
1515288305,0,1
1515295369,2,12
1515302582,1,0
1515306184,1,1
1515309748,0,1
1515316932,1,2
1515320211,1,0
1515323427,1,0
1515330744,0,1
1515334579,1,1
1515338214,1,0
1515345478,0,1
1515349167,1,1
1515352694,0,1
1515356319,1,1
1515359932,2,0
1515363564,1,0
1515371060,18,1
1515374452,2,1
1515378064,0,2
1515381689,0,16
1515457727,30,0
1515460941,8,0
1515464474,8,0
1515468062,5,31
1515471706,8,8
1515475283,6,8
1515478827,8,5
1515482122,4,5
1515485392,8,6
1515489013,8,7
1515492616,7,7
1515496208,7,8
1515499828,4,7
1515503427,8,8
1515507215,8,4
1515511302,5,8
1515514926,1,8
1515518527,8,1
1515522116,5,5
1515525756,0,8
1515529298,8,8
1515532868,8,4
1515536679,0,1
1515540307,8,8
1515544382,23,0
1515547342,8,0
1515550904,1,8
1515554457,8,21
1515558080,8,1
1515561665,8,8
1515565258,8,8
1515568902,8,8
1515572488,2,8
1515576091,2,8
1515579667,8,8
1515583294,8,2
1515586937,8,2
1515590460,3,3
1515594065,1,1
1515597714,2,2
1515601280,8,8
1515604898,1,8
1515608522,8,8
1515612078,4,1
1515615704,3,4
1515619298,6,1
1515622933,8,8
1515626528,1,1
1515630495,10,8
1515633734,8,2
1515637350,8,8
1515640915,8,23
1515644509,8,8
1515648119,4,8
1515650995,8,8
1515654575,8,8
1515658194,6,4
1515661787,2,2
1515665392,5,6
1515668976,3,8
1515672610,8,3
1515676197,2,5
1515679821,8,7
1515683400,8,8
1515686991,1,3
1515690614,0,8
1515694229,1,8
1515701398,8,0
1515705018,8,2
1515708616,8,0
1515712191,8,8
1515715873,18,8
1515719403,1,8
1515723013,1,8
1515726615,0,32
1515730195,1,2
1515733810,1,0
1515737398,0,1
1515740995,0,1
1515744608,1,0
1515748190,1,1
1515751949,0,1
1515759142,0,2
1515762708,0,52
1515942643,50,0
1515946267,1,0
1515957048,1,0
1515975023,25,0
1515978607,0,1
1515982231,1,1
1515985795,0,21
1516011136,0,1
1516018305,0,54
1516090188,57,0
1516104574,1,0
1516133404,0,1
1516136952,1,0
1516147843,11,1
1516151458,1,0
1516158635,0,17
1516169417,0,1
1516173040,1,0
1516183816,0,1
1516187426,1,0
1516209018,0,1
1516234261,17,0
1516241444,0,1
1516245054,0,25
1516288230,1,0
1516299034,0,1
1516313422,1,0
1516320691,13,0
1516324251,0,1
1516331438,0,13
1516378247,1,0
1516407089,7,0
1516417854,0,13
1516493493,23,0
1516497064,1,0
1516504280,1,19
1516515026,1,1
1516518623,1,0
1516522248,1,1
1516525813,1,1
1516529444,0,1
1516533009,1,1
1516536668,0,1
1516543858,1,1
1516547461,1,0
1516558254,1,1
1516565442,0,1
1516569028,1,0
1516572666,1,1
1516576233,1,0
1516579849,14,1
1516583450,1,1
1516587010,0,1
1516590620,1,12
1516594255,0,1
1516597848,1,1
1516601415,1,0
1516605049,0,1
1516608640,0,1
1516619431,2,1
1516623041,1,0
1516630241,1,0
1516633861,1,1
1516637426,0,1
1516644644,1,1
1516655438,0,1
1516662682,1,0
1516666273,23,0
1516669807,0,1
1516673425,1,1
1516677006,1,7
1516680610,0,1
1516684194,1,1
1516687800,0,1
1516691402,1,0
1516695001,1,0
1516698598,0,1
1516705804,1,1
1516709417,0,1
1516713008,1,0
1516716643,1,1
1516720184,1,0
1516723800,0,1
1516738212,1,1
1516741815,1,1
1516745431,1,0
1516748999,0,1
1516752616,13,0
1516756208,1,1
1516759798,0,1
1516763408,0,20
