DateTime,Entries,UniqueIPs
1512342017,4669,4669
1512364141,4676,4676
1512386202,4683,4683
1512408270,4694,4694
1512430358,4698,4698
1512452461,4691,4691
1512474487,4690,4690
1512497045,4687,4687
1512518919,4681,4681
1512541008,4674,4674
1512563083,4661,4661
1512584985,4671,4671
1512606973,4533,4533
1512629057,4530,4530
1512650922,4522,4522
1512673101,4521,4521
1512695328,4521,4521
1512717388,3987,3987
1512739379,3992,3992
1512761308,3988,3988
1512783167,4000,4000
1512805311,3997,3997
1512827326,3995,3995
1512849390,4975,4975
1512871492,4972,4972
1512893556,4965,4965
1512915674,4965,4965
1512937515,4937,4937
1512959811,4930,4930
1512981860,4933,4933
1513003951,4913,4913
1513026252,4949,4949
1513048142,5084,5084
1513070179,5151,5151
1513092257,5152,5152
1513114123,5152,5152
1513136200,5147,5147
1513158271,5155,5155
1513180112,5139,5139
1513202200,5151,5151
1513224272,5172,5172
1513257626,5170,5170
1513279468,5165,5165
1513301563,5158,5158
1513323616,5157,5157
1513345704,5158,5158
1513367826,5153,5153
1513389875,5153,5153
1513411985,5158,5158
1513434048,5157,5157
1513456115,4174,4174
1513477991,4173,4173
1513500014,4180,4180
1513521866,4168,4168
1513543951,4176,4176
1513565802,4196,4196
1513588142,4201,4201
1513610001,4210,4210
1513632038,4155,4155
1513654099,4016,4016
1513675960,4007,4007
1513697870,4020,4020
1513719893,4024,4024
1513741962,4027,4027
1513775421,4011,4011
1513808618,4011,4011
1513830505,4001,4001
1513852603,4007,4007
1513874660,4018,4018
1513897342,4001,4001
1513919304,4006,4006
1513941414,4007,4007
1513963536,4018,4018
1513985810,4009,4009
1514007879,4004,4004
1514029927,3987,3987
1514051839,3984,3984
1514073715,3983,3983
1514095959,3986,3986
1514117883,3990,3990
1514139862,4000,4000
1514161723,3999,3999
1514183892,3996,3996
1514205850,3981,3981
1514227958,3950,3950
1514249913,3904,3904
1514271878,3904,3904
1514293728,3901,3901
1514315797,3885,3885
1514337764,3867,3867
1514359749,3884,3884
1514382035,3888,3888
1514404122,3894,3894
1514425977,3896,3896
1514459311,3891,3891
1514481409,3891,3891
1514504226,3898,3898
1514526257,3895,3895
1514548361,3902,3902
1514570303,3902,3902
1514592533,3902,3902
1514614584,3907,3907
1514636853,3910,3910
1514658766,3910,3910
1514680814,3912,3912
1514702897,3915,3915
1514724737,3893,3893
1514746586,3867,3867
1514768680,3905,3905
1514790765,3902,3902
1514812612,5628,5628
1514834650,5608,5608
1514856976,5607,5607
1514878857,5602,5602
1514900713,5603,5603
1514922715,5617,5617
1514944592,5619,5619
1514966667,5591,5591
1514988558,5580,5580
1515010794,5564,5564
1515133534,5667,5667
1515155566,5663,5663
1515177770,7921,7921
1515200049,7939,7939
1515222393,7938,7938
1515244606,8343,8343
1515266661,9474,9474
1515288509,9560,9560
1515310364,9554,9554
1515332443,9545,9545
1515354513,9558,9558
1515376598,9656,9656
1515398688,9654,9654
1515420747,8644,8644
1515442610,8645,8645
1515464919,8646,8646
1515486935,8642,8642
1515509144,8636,8636
1515531531,11828,11828
1515553458,12153,12153
1515575618,12156,12156
1515597839,12155,12155
1515620052,12151,12151
1515642126,12115,12115
1515664336,12115,12115
1515686203,12108,12108
1515708079,12115,12115
1515730136,12129,12129
1515752080,12126,12126
1515774301,10364,10364
1515796603,10364,10364
1515818690,10355,10355
1515840737,10323,10323
1515862686,9023,9023
1515884870,9103,9103
1515906770,9260,9260
1515929108,9287,9287
1515951358,9323,9323
1515973752,9270,9270
1515995795,9295,9295
1516017887,9326,9326
1516039905,9431,9431
1516061815,9450,9450
1516083914,9460,9460
1516105963,9484,9484
1516128020,8479,8479
1516150113,8487,8487
1516171955,8498,8498
1516193875,8533,8533
1516215876,8555,8555
1516237777,8568,8568
1516259809,8594,8594
1516281952,8627,8627
1516303946,10155,10155
1516326040,10162,10162
1516348031,10160,10160
1516370433,10158,10158
1516392620,10359,10359
1516414888,10339,10339
1516437033,10338,10338
1516459021,10129,10129
1516481082,10084,10084
1516503138,10015,10015
1516536537,9975,9975
1516558380,9937,9937
1516580410,9916,9916
1516602300,9890,9890
1516624359,9855,9855
1516646410,9762,9762
1516668263,9749,9749
1516690329,9733,9733
1516712170,9708,9708
1516734050,9703,9703
1516756131,9692,9692
1516778175,9679,9679
