DateTime,AddedIPs,RemovedIPs
1505316755,5,8
1505338818,0,14
1505360925,6,6
1505382966,1398,7
1505415873,10,11
1505437879,1,8
1505459789,1,4
1505481873,6,21
1505503837,3,3
1505525785,4,3
1505547626,6,8
1505569698,4,13
1505591555,7,6
1505613667,5,5
1505635706,1,10
1505657554,5,10
1505679615,8,10
1505701469,16,5
1505723721,4,14
1505745630,12,11
1505767732,8,5
1505789576,16,7
1505811634,28,9
1505833697,28,5
1505855655,6,9
1505877625,9,24
1505899694,6,2
1505921806,6,8
1505944187,8,8
1505977468,95,12
1505999557,33,9
1506021408,5,9
1506043463,4,6
1506065307,8,2
1506087218,5,6
1506109222,10,11
1506131312,21,3
1506153392,5,6
1506175256,88,6
1506197304,7,4
1506219162,4,6
1506241208,7,3
1506263077,27,1
1506285101,11,8
1506306979,1,8
1506328823,10,4
1506350699,6,4
1506372746,4,9
1506394855,11,6
1506416899,9,16
1506439017,12,17
1506461059,9,5
1506482908,5,8
1506504992,6,1377
1506526833,380,8
1506548675,23,30
1506570737,29,78
1506593034,9,5
1506614911,10,12
1506636906,11,5
1506658820,6,9
1506680753,8,4
1506703118,7,12
1506726247,6,6
1506748120,4,8
1506770182,6,1
1506792293,14,55
1506814356,38,7
1506836418,6,2
1506858258,9,9
1506880345,14,20
1506913465,29,4
1506935635,23,10
1506957641,14,24
1506980041,7,5
1507002019,5,11
1507024114,10,10
1507046180,1,4
1507068279,21,4
1507090363,8,7
1507112416,10,6
1507134258,5,461
1507157496,5,18
1507179392,5,30
1507201469,3,92
1507223310,2471,5
1507245636,4,16
1507267703,3,10
1507289599,10,64
1507311630,18,4
1507333478,9,6
1507355527,12,2
1507377382,11,6
1507399475,8,5
1507421654,5,47
1507443638,9,4
1507465701,17,26
1507487562,31,25
1507509714,56,16
1507531690,13,20
1507553808,10,20
1507575927,9,14
1507597929,32,8
1507619809,12,15
1507641853,12,7
1507663964,9,21
1507686018,8,7
1507708001,15,9
1507729960,6,6
1507752032,7,3
1507773933,292,5
1507795962,8,5
1507818088,4,2250
1507840086,10,6
1507861942,12,3
1507883800,13,4
1507905733,2,19
1507927714,7,20
1507949800,7,7
1507971855,6,11
1507993709,14,10
1508015674,4,6
1508037708,5,6
1508059695,14,7
1508081565,9,16
1508103410,3,29
1508125470,4,11
1508147580,2,22
1508180659,267,10
1508202526,6,4
1508224584,7,12
1508246445,3,13
1508268556,21,7
1508290599,8,9
1508312585,7,14
1508334564,1,10
1508368261,5,8
1508390436,6,280
1508412552,9,11
1508434581,7,7
1508456429,5,54
1508478570,8,11
1508500601,7,9
1508522680,2,6
1508544745,4,3
1508566815,10,10
1508588670,2,3
1508610759,4,35
1508632833,7,3
1508654916,2,6
1508778266,9,690
1508800119,5,459
1508822139,9,10
1508844031,5,8
1508865976,79,23
1508932347,27,14
1508954215,7,3
1508976265,5,4
1508998355,4,6
1509020438,8,16
1509042772,4,14
1509065072,11,9
1509086913,4,7
1509108757,6,7
1509141779,5,49
1509163702,2,12
1509185554,5,8
1509218671,7,11
1509251888,5,12
1509273861,5,28
1509295708,141,4
1509317560,506,0
1509339885,41,0
1509361955,15,0
1509384045,7,3
1509406557,9,7
1509428611,12,13
1509450508,7,7
1509472585,452,6
1509494521,16,16
1509516771,13,0
1509538853,21,5
1509560897,16,7
1509583005,40,4
1509605067,8,2
1509626909,9,7
1509648754,9,7
1509670857,3,7
1509692918,9,4
1509714980,8,2
1509737075,13,3
1509759143,6,4
1509781229,4,6
1509803357,23,1
1509825390,4,2
1509847484,3,4
1509869561,3,2
1509891794,5,76
1509914101,64,129
1509936030,119,20
1509958116,12,8
1509980193,6,6
1510002282,51,3
1510024151,10,8
1510046184,3,11
1510068033,898,11
1510090108,84,8
1510111970,28,5
1510134292,52,6
1510156385,8,21
1510178461,12,5
1510200485,8,47
1510222616,5,9
1510244729,7,10
1510268198,5,4
1510290283,21,9
1510312350,5,13
1510334439,9,6
1510356553,9,7
1510378589,5,7
1510400672,6,12
1510423976,2,353
1510446272,1,5
1510468112,3,2
1510489969,11,2
1510512033,4,8
1510534121,6,5
1510555965,1,5
1510578113,2072,4
1510600170,122,23
1510622184,4,5
1510644289,3,7
1510666517,5,10
1510688676,6,5
1510710741,234,36
1510732603,6,4
1510754684,0,12
1510776743,2,703
1510798591,1128,4
1510820522,1,8
1510853803,3,9
1510875743,4,6
1510897764,4,11
1510919770,7,5
1510941678,2,10
1510963565,2,5
1510985572,1,5
1511007609,12,10
1511029561,5,8
1511051569,4,5
1511073423,2,2
1511095412,9,4
1511117514,4,6
1511139396,5,3
1511161592,5,3
1511183543,9,2120
1511205650,8,87
1511227670,8,5
1511249553,6,7
1511271399,3,4
1511293648,4,5
1511315555,12,356
1511337653,14,7
1511359709,7,3
1511381592,7,4
1511403643,11,1450
1511425722,12,4
1511447564,11,4
1511469611,7,16
1511491470,7,5
1511513565,10,7
1511535661,8,8
1511557726,11,67
1511579572,4,6
1511601615,4,3
1511623485,21,8
1511645555,2,5
1511667629,3,4
1511689475,5,42
1511711686,14,3
1511733874,84,9
1511755719,5,6
1511777560,8,4
1511799629,2,4
1511821725,4,6
1511843806,4,8
1511865876,8,4
1511887953,4,1
1511909992,4,15
1511932115,9,3
1511953962,10,19
1511976034,8,3
1511998706,76,13
1512020692,3,12
1512042789,4,16
1512075913,5,10
1512098200,432,9
1512120251,4,12
1512142205,2,7
1512164241,5,5
1512186279,6,4
1512208341,2,14
1512241630,8,10
1512263539,6,4
1512285437,3,3
1512307347,19,2
1512330378,4,41
1512352353,5,2
1512374196,5,3
1512396136,10,7
