DateTime,AddedIPs,RemovedIPs
1512403737,0,1
1512419097,1,0
1512504737,0,1
1512512444,1,0
1512518197,1,0
1512602922,0,1
1512613231,1,1
1512689006,1,0
1512694898,1,0
1512701062,0,1
1512774720,0,1
1512780507,0,1
1512838592,1,0
1512848208,124,0
1512850120,5,0
1512868595,1,0
1512906996,1,0
1512926428,0,1
1512937152,0,129
1512952844,1,0
1512954740,0,1
1512962674,1,0
1512994988,0,1
1513040485,0,1
1513046182,0,1
1513107417,1,0
1513195284,1,1
1513278536,0,1
1513351006,1,0
1513435949,0,1
1513482965,1,0
1513507953,1,0
1513527161,1,0
1513564831,1,0
1513570619,0,1
1513591966,1,0
1513593859,0,1
1513613565,0,1
1513617421,2,0
1513637345,1,0
1513651719,0,1
1513663286,1,0
1513671190,1,0
1513699021,1,0
1513704167,0,3
1513727659,0,1
1513749686,0,1
1513757562,0,1
1513783964,0,1
1513802684,1,0
1513888671,0,1
1513906117,1,0
1513914274,1,0
1513922503,1,0
1513924372,1,0
1513955850,1,0
1514000909,0,1
1514008586,0,1
1514038615,1,0
1514042455,0,1
1514050127,0,1
1514055860,0,1
1514059820,1,0
1514075571,2,0
1514125022,0,1
1514146793,0,1
1514155007,1,0
1514161247,0,1
1514207084,1,0
1514241164,0,1
1514260360,0,1
1514290174,0,1
1514298543,1,0
1514346286,1,0
1514386358,0,1
1514431263,0,1
1514490044,1,0
1514551720,1,0
1514571864,1,0
1514577695,0,1
1514638889,0,1
1514655394,0,1
1514716598,1,0
1514747813,2,0
1514768191,1,0
1514804670,0,1
1514834448,0,2
1514852194,1,0
1514892814,1,0
1514927332,1,0
1514939073,0,1
1514978752,0,1
1515014423,0,1
1515018534,0,1
1515279650,1,0
1515305201,1,0
1515366854,0,1
1515388752,0,1
1515488888,1,0
1515574101,0,1
1515714916,1,0
1515800938,0,1
1515831858,1,0
1515862171,1,0
1515918558,0,1
1515947812,1,1
1516031306,0,1
1516076212,1,0
1516114129,1,0
1516120683,1,0
1516163551,0,1
1516199661,0,1
1516205391,0,1
1516325633,1,0
1516403319,1,0
1516412909,0,1
1516488738,0,1
1516670659,3,0
1516695613,1,0
1516697536,1,0
1516758516,0,3
1516781751,0,1
