DateTime,AddedIPs,RemovedIPs
1512351639,0,1
1512366999,0,1
1512372765,1,0
1512392193,0,1
1512401812,1,0
1512413469,0,1
1512419571,0,2
1512444778,0,1
1512458188,0,1
1512473335,1,0
1512484837,1,0
1512524203,1,0
1512537659,0,1
1512560695,0,1
1512570523,0,1
1512572484,1,0
1512608932,0,1
1512657409,0,1
1512810977,1,0
1512813123,1,0
1512857789,1,0
1512873376,1,0
1512888752,1,0
1512894511,1,0
1512896501,1,1
1512900266,0,1
1512910105,1,0
1512919719,1,0
1512937152,1,0
1512943294,0,1
1512958859,0,1
1512976116,0,1
1512981861,0,2
1512998436,0,1
1513006582,0,1
1513012596,1,0
1513025072,0,1
1513034675,1,0
1513098307,0,1
1513120134,0,1
1513165971,1,0
1513251143,0,1
1513266453,1,0
1513303286,2,0
1513318582,1,0
1513322410,2,0
1513351607,1,0
1513353691,0,1
1513375288,1,0
1513379310,1,0
1513388917,0,1
1513394895,0,1
1513396841,1,0
1513406442,0,1
1513408368,0,2
1513412426,1,0
1513439544,0,1
1513460917,0,1
1513464757,0,1
1513466682,1,0
1513482285,0,1
1513489938,1,0
1513498590,0,1
1513527382,2,0
1513537287,2,0
1513539146,1,0
1513545099,1,0
1513551149,1,0
1513552987,1,1
1513568672,1,0
1513576364,0,1
1513582121,1,0
1513607793,1,0
1513613566,0,2
1513623718,0,2
1513625577,0,1
1513629648,0,1
1513637346,1,1
1513639334,0,1
1513641162,1,0
1513655570,1,1
1513663289,1,0
1513667331,0,1
1513669225,1,0
1513676911,1,0
1513686380,1,0
1513692522,1,0
1513694461,0,1
1513717369,1,0
1513738120,0,1
1513740107,1,0
1513741964,0,1
1513749689,0,1
1513755679,0,1
1513764094,0,1
1513766181,1,0
1513770264,0,1
1513772079,0,1
1513778202,0,1
1513787829,1,0
1513798647,1,0
1513802476,3,0
1513817067,0,1
1513826662,0,1
1513834601,1,0
1513852606,0,1
1513871780,1,0
1513873717,0,1
1513888671,0,3
1513901667,1,0
1513920496,0,1
1513926340,1,0
1513934381,1,0
1513959678,0,1
1513988928,0,1
1513997058,0,1
1514020099,0,1
1514040501,0,1
1514169880,1,0
1514175713,1,0
1514257579,0,1
1514261475,0,1
1514292019,1,0
1514293941,1,0
1514350122,1,0
1514378204,0,1
1514380109,0,1
1514433414,0,1
1514446605,1,0
1514448500,1,0
1514499142,1,0
1514534220,0,2
1514577695,1,0
1514585830,0,1
1514596117,5,0
1514611655,2,0
1514623286,1,0
1514631164,2,0
1514633069,1,0
1514635013,3,0
1514653463,1,0
1514659234,1,0
1514665463,0,1
1514672028,1,0
1514675804,1,0
1514677852,1,0
1514682079,2,5
1514685878,1,0
1514697868,0,2
1514701742,3,0
1514703881,1,0
1514705805,1,0
1514709628,0,1
1514713486,3,0
1514717301,0,2
1514719241,0,1
1514721386,0,2
1514731243,1,0
1514735076,1,0
1514738910,0,1
1514746587,0,1
1514750549,2,0
1514756663,0,1
1514763347,0,2
1514767283,0,2
1514771188,0,1
1514787405,0,2
1514791256,0,2
1514793148,3,0
1514799154,2,4
1514801090,1,1
1514803231,1,0
1514815005,1,0
1514819092,0,1
1514821272,2,1
1514823135,1,0
1514825054,2,0
1514827004,2,0
1514831075,1,0
1514832996,2,0
1514837915,1,2
1514841858,4,0
1514848123,1,0
1514849994,1,0
1514851979,1,0
1514863724,3,0
1514865875,1,0
1514867779,1,0
1514871873,1,0
1514879554,0,3
1514885798,0,2
1514887957,0,1
1514890290,0,1
1514906450,0,1
1514908372,0,1
1514910287,0,3
1514912568,0,2
1514917004,0,1
1514919174,0,1
1514923281,0,1
1514927332,0,4
1514935220,0,1
1514937158,0,1
1514939073,0,3
1514944923,1,0
1514947005,1,0
1514948920,0,1
1514950847,0,2
1514952745,0,2
1514956608,1,0
1514958529,0,1
1514968112,1,0
1515002481,1,0
1515006296,1,0
1515133536,2,6
1515143171,1,0
1515160881,1,0
1515170662,1,0
1515174751,1,0
1515183415,0,1
1515193188,0,1
1515222394,1,0
1515226325,1,0
1515230096,0,1
1515245594,1,0
1515253396,1,0
1515257490,1,1
1515259306,2,1
1515261286,0,1
1515263257,1,0
1515269068,1,0
1515274809,1,0
1515308127,0,1
1515311918,1,1
1515323546,1,0
1515331112,1,0
1515333087,0,1
1515340775,0,1
1515342632,0,1
1515344505,0,1
1515346362,0,1
1515348427,1,1
1515354517,0,1
1515360282,0,1
1515362302,1,0
1515398279,0,1
1515404220,1,0
1515410043,0,1
1515411934,1,0
1515417695,0,1
1515435541,0,1
1515450482,0,1
1515485976,3,0
1515487940,1,0
1515489873,0,1
1515501431,1,0
1515509146,0,1
1515511245,1,0
1515518933,1,0
1515541055,1,0
1515554666,1,0
1515562613,1,0
1515572208,0,2
1515576065,0,2
1515579939,2,0
1515587828,0,1
1515592114,1,0
1515597840,0,1
1515605494,0,1
1515627037,0,1
1515641305,0,1
1515645148,1,0
1515649616,0,1
1515665870,0,1
1515671693,0,1
1515679325,0,1
1515730781,0,1
1515737562,1,0
1515741409,1,0
1515822856,1,0
1515824919,1,1
1515832610,1,0
