DateTime,Entries,UniqueIPs
1512342139,7,7
1512351639,6,6
1512366999,5,5
1512372765,6,6
1512392193,5,5
1512401812,6,6
1512413469,5,5
1512419571,3,3
1512444778,2,2
1512458188,1,1
1512473335,2,2
1512484837,3,3
1512524203,4,4
1512537659,3,3
1512560695,2,2
1512570523,1,1
1512572484,2,2
1512608932,1,1
1512657409,0,0
1512810977,1,1
1512813123,2,2
1512857789,3,3
1512873376,4,4
1512888752,5,5
1512894511,6,6
1512896501,6,6
1512900266,5,5
1512910105,6,6
1512919719,7,7
1512937152,8,8
1512943294,7,7
1512958859,6,6
1512976116,5,5
1512981861,3,3
1512998436,2,2
1513006582,1,1
1513012596,2,2
1513025072,1,1
1513034675,2,2
1513098307,1,1
1513120134,0,0
1513165971,1,1
1513251143,0,0
1513266453,1,1
1513303286,3,3
1513318582,4,4
1513322410,6,6
1513351607,7,7
1513353691,6,6
1513375288,7,7
1513379310,8,8
1513388917,7,7
1513394895,6,6
1513396841,7,7
1513406442,6,6
1513408368,4,4
1513412426,5,5
1513439544,4,4
1513460917,3,3
1513464757,2,2
1513466682,3,3
1513482285,2,2
1513489938,3,3
1513498590,2,2
1513527382,4,4
1513537287,6,6
1513539146,7,7
1513545099,8,8
1513551149,9,9
1513552987,9,9
1513568672,10,10
1513576364,9,9
1513582121,10,10
1513607793,11,11
1513613566,9,9
1513623718,7,7
1513625577,6,6
1513629648,5,5
1513637346,5,5
1513639334,4,4
1513641162,5,5
1513655570,5,5
1513663289,6,6
1513667331,5,5
1513669225,6,6
1513676911,7,7
1513686380,8,8
1513692522,9,9
1513694461,8,8
1513717369,9,9
1513738120,8,8
1513740107,9,9
1513741964,8,8
1513749689,7,7
1513755679,6,6
1513764094,5,5
1513766181,6,6
1513770264,5,5
1513772079,4,4
1513778202,3,3
1513787829,4,4
1513798647,5,5
1513802476,8,8
1513817067,7,7
1513826662,6,6
1513834601,7,7
1513852606,6,6
1513871780,7,7
1513873717,6,6
1513888671,3,3
1513901667,4,4
1513920496,3,3
1513926340,4,4
1513934381,5,5
1513959678,4,4
1513988928,3,3
1513997058,2,2
1514020099,1,1
1514040501,0,0
1514169880,1,1
1514175713,2,2
1514257579,1,1
1514261475,0,0
1514292019,1,1
1514293941,2,2
1514350122,3,3
1514378204,2,2
1514380109,1,1
1514433414,0,0
1514446605,1,1
1514448500,2,2
1514499142,3,3
1514534220,1,1
1514577695,2,2
1514585830,1,1
1514596117,6,6
1514611655,8,8
1514623286,9,9
1514631164,11,11
1514633069,12,12
1514635013,15,15
1514653463,16,16
1514659234,17,17
1514665463,16,16
1514672028,17,17
1514675804,18,18
1514677852,19,19
1514682079,16,16
1514685878,17,17
1514697868,15,15
1514701742,18,18
1514703881,19,19
1514705805,20,20
1514709628,19,19
1514713486,22,22
1514717301,20,20
1514719241,19,19
1514721386,17,17
1514731243,18,18
1514735076,19,19
1514738910,18,18
1514746587,17,17
1514750549,19,19
1514756663,18,18
1514763347,16,16
1514767283,14,14
1514771188,13,13
1514787405,11,11
1514791256,9,9
1514793148,12,12
1514799154,10,10
1514801090,10,10
1514803231,11,11
1514815005,12,12
1514819092,11,11
1514821272,12,12
1514823135,13,13
1514825054,15,15
1514827004,17,17
1514831075,18,18
1514832996,20,20
1514837915,19,19
1514841858,23,23
1514848123,24,24
1514849994,25,25
1514851979,26,26
1514863724,29,29
1514865875,30,30
1514867779,31,31
1514871873,32,32
1514879554,29,29
1514885798,27,27
1514887957,26,26
1514890290,25,25
1514906450,24,24
1514908372,23,23
1514910287,20,20
1514912568,18,18
1514917004,17,17
1514919174,16,16
1514923281,15,15
1514927332,11,11
1514935220,10,10
1514937158,9,9
1514939073,6,6
1514944923,7,7
1514947005,8,8
1514948920,7,7
1514950847,5,5
1514952745,3,3
1514956608,4,4
1514958529,3,3
1514968112,4,4
1515002481,5,5
1515006296,6,6
1515133536,2,2
1515143171,3,3
1515160881,4,4
1515170662,5,5
1515174751,6,6
1515183415,5,5
1515193188,4,4
1515222394,5,5
1515226325,6,6
1515230096,5,5
1515245594,6,6
1515253396,7,7
1515257490,7,7
1515259306,8,8
1515261286,7,7
1515263257,8,8
1515269068,9,9
1515274809,10,10
1515308127,9,9
1515311918,9,9
1515323546,10,10
1515331112,11,11
1515333087,10,10
1515340775,9,9
1515342632,8,8
1515344505,7,7
1515346362,6,6
1515348427,6,6
1515354517,5,5
1515360282,4,4
1515362302,5,5
1515398279,4,4
1515404220,5,5
1515410043,4,4
1515411934,5,5
1515417695,4,4
1515435541,3,3
1515450482,2,2
1515485976,5,5
1515487940,6,6
1515489873,5,5
1515501431,6,6
1515509146,5,5
1515511245,6,6
1515518933,7,7
1515541055,8,8
1515554666,9,9
1515562613,10,10
1515572208,8,8
1515576065,6,6
1515579939,8,8
1515587828,7,7
1515592114,8,8
1515597840,7,7
1515605494,6,6
1515627037,5,5
1515641305,4,4
1515645148,5,5
1515649616,4,4
1515665870,3,3
1515671693,2,2
1515679325,1,1
1515730781,0,0
1515737562,1,1
1515741409,2,2
1515822856,3,3
1515824919,3,3
1515832610,4,4
1515856357,3,3
1515864019,4,4
1515908750,5,5
1515910643,3,3
1515914696,4,4
1515920612,3,3
1515949736,2,2
1515994008,1,1
1515998024,0,0
1516016634,1,1
1516063729,2,2
1516102570,1,1
1516121553,2,2
1516123470,3,3
1516171722,2,2
1516203524,3,3
1516207651,3,3
1516209631,2,2
1516290742,1,1
1516292987,0,0
1516299205,1,1
1516362296,2,2
1516373496,3,3
1516386999,2,2
1516416746,3,3
1516447156,2,2
1516459022,1,1
1516476284,2,2
1516494984,3,3
1516502668,2,2
1516551180,3,3
1516554994,4,4
1516562688,3,3
1516570355,4,4
1516582597,3,3
1516590278,4,4
1516592193,5,5
1516596016,7,7
1516599877,9,9
1516609472,11,11
1516611387,16,16
1516615279,17,17
1516619232,18,18
1516621210,19,19
1516624838,20,20
1516626736,21,21
1516632528,22,22
1516634418,26,26
1516636363,25,25
1516638527,27,27
1516640480,26,26
1516644268,27,27
1516648129,29,29
1516653874,30,30
1516656609,30,30
1516660364,31,31
1516675704,30,30
1516677655,29,29
1516679539,30,30
1516681473,28,28
1516685304,27,27
1516687294,26,26
1516696821,22,22
1516698751,19,19
1516700687,18,18
1516706431,17,17
1516708341,16,16
1516712172,14,14
1516720108,13,13
1516722034,10,10
1516723959,9,9
1516725884,8,8
1516730754,7,7
1516734765,5,5
1516740530,4,4
1516742488,3,3
1516746300,2,2
1516754676,1,1
1516764277,0,0
1516776974,1,1
1516791398,2,2
