DateTime,AddedIPs,RemovedIPs
1515771869,5,11
1515773699,6,7
1515775728,10,7
1515777634,5,8
1515779550,3,6
1515781730,4,10
1515783872,3,12
1515785810,4,5
1515787703,8,4
1515789643,6,9
1515791569,6,10
1515793482,8,6
1515795415,5,7
1515798739,9,8
1515800937,6,5
1515802887,5,4
1515804996,3,7
1515807009,3,12
1515809070,5,4
1515811111,4,5
1515812939,4,4
1515814851,4,2
1515817012,2,7
1515818901,1,3
1515820833,0,5
1515822855,2,4
1515824918,2,11
1515826905,7,8
1515828758,1,4
1515830787,1,0
1515832609,5,2
1515834638,3,0
1515836676,6,1
1515838830,8,0
1515840737,7,5
1515842662,2,12
1515844614,4,2
1515846531,0,4
1515848483,2,1
1515850367,5,6
1515852283,3,1
1515854203,2,2
1515856356,2,4
1515858294,1,6
1515860213,1,8
1515862170,4,9
1515864018,4,5
1515865951,3,3
1515867879,4,3
1515870077,3,3
1515872221,2,4
1515874190,5,9
1515876051,3,4
1515877984,4,6
1515879888,2,8
1515881867,0,4
1515883732,3,6
1515885655,2,4
1515887569,9,6
1515889509,2,4
1515891465,1,3
1515893355,3,3
1515895307,6,3
1515897259,2,4
1515899077,2,5
1515901073,9,5
1515902984,2,1
1515904951,1,2
1515906771,1,0
1515908749,5,2
1515910641,0,2
1515912852,1,8
1515914695,1,1
1515916749,2,0
1515918557,1,4
1515920611,0,5
1515922581,1,6
1515924423,0,6
1515926227,4,9
1515928151,9,4
1515930041,4,3
1515932093,6,2
1515934124,1,2
1515936265,3,3
1515938192,2,4
1515940124,1,0
1515942051,4,3
1515943958,2,1
1515945888,2,1
1515947811,7,3
1515949734,1,4
1515951622,3,2
1515953562,6,3
1515955483,3,4
1515957408,3,0
1515959330,4,6
1515962114,1,5
1515964095,5,5
1515966067,2,1
1515967884,3,1
1515969891,3,3
1515972370,3,3
1515974591,1,10
1515976581,4,0
1515978385,7,2
1515980205,8,5
1515982266,3,4
1515984270,9,2
1515986299,4,3
1515988124,2,7
1515990161,4,1
1515991963,0,2
1515994007,1,3
1515997016,4,2
1515999126,6,1
1516001044,2,1
1516002968,2,2
1516004953,3,1
1516009962,0,1
1516011871,0,3
1516013784,3,7
1516015704,7,8
1516017516,3,5
1516019320,7,3
1516021303,2,3
1516023169,4,1
1516025475,5,2
1516027451,4,3
1516029285,2,4
1516031305,12,1
1516033143,4,6
1516035396,6,4
1516037322,6,1
1516040209,5,8
1516042120,5,2
1516044028,2,2
1516045956,4,4
1516048118,9,1
1516050072,5,3
1516051954,5,2
1516053890,5,4
1516055791,4,1
1516057725,2,5
1516059890,3,1
1516061816,3,1
1516063728,1,7
1516065633,3,7
1516067560,4,7
1516069468,1,1
1516071401,4,9
1516073323,1,5
1516076211,13,4
1516078356,7,1
1516080250,9,2
1516082167,4,3
1516084356,3,4
1516086277,1,5
1516088208,2,2
1516090129,1,2
1516092040,4,1
1516098038,2,0
1516100167,0,3
1516102363,2,7
1516104291,3,3
1516106190,0,7
1516108364,1,5
1516110271,3,3
1516112209,5,2
1516114127,3,4
1516116046,3,4
1516117963,2,12
1516120681,11,4
1516122529,5,4
1516124428,5,7
1516126369,4,5
1516128266,4,3
1516130186,7,4
1516132098,7,4
1516134031,4,8
1516135963,2,7
1516137866,2,5
1516139787,4,5
1516141722,4,3
1516144582,6,3
1516146779,4,3
1516149184,6,3
1516151332,7,2
1516153487,3,3
1516155427,3,2
1516157299,2,5
1516159226,1,1
1516161397,5,0
1516163549,3,19
1516165733,2,4
1516167634,0,9
1516169589,0,3
1516171720,1,3
1516173633,2,1
1516175555,3,1
1516177479,2,2
1516179679,1,3
1516182011,1,0
1516184148,2,1
1516186131,3,1
1516187935,1,2
1516189745,2,0
1516191863,1,3
1516193875,4,2
1516195804,3,0
1516197743,8,4
1516199660,3,6
1516201536,5,1
1516203523,10,2
1516205390,1,8
1516207649,1,7
1516209629,5,6
1516211566,3,3
1516213469,2,6
1516215462,4,6
1516217322,3,4
1516219673,6,8
1516221766,4,3
1516223590,5,1
1516225621,5,4
1516227665,7,3
1516229711,8,5
1516231699,6,2
1516233545,2,5
1516235382,3,4
1516237375,2,6
1516239200,6,1
1516241172,4,6
1516242995,2,2
1516247125,5,4
1516249023,7,4
1516250984,4,1
1516252952,0,2
1516254765,1,0
1516256729,1,0
1516258926,0,1
1516260946,0,3
1516262902,1,2
1516264733,1,2
1516266585,1,1
1516268520,0,1
1516270362,0,3
1516272833,9,3
1516274922,5,1
1516276929,9,2
1516279115,0,4
1516280929,0,4
1516282815,2,2
1516284821,0,8
1516286654,7,1
1516288701,4,7
1516290740,5,9
1516292985,3,0
1516294969,6,5
1516296994,6,3
1516299204,5,2
1516301411,5,3
1516303498,1,2
1516305547,0,8
1516307790,2,5
1516309659,5,5
1516311893,2,5
1516314067,8,7
1516315956,2,8
1516318136,7,5
1516321011,2,1
1516322975,2,5
1516325095,1,3
1516326977,5,7
1516329147,5,1
1516331334,6,1
1516333673,0,6
1516335866,3,7
1516337734,2,3
1516339708,7,1
1516341874,6,1
1516343790,1,0
1516345934,3,0
1516348032,2,0
1516350177,2,0
1516352179,2,0
1516354225,1,1
1516356059,2,0
1516358119,3,8
1516360351,9,6
