DateTime,AddedIPs,RemovedIPs
1515597841,4,4
1515599658,3,1
1515601676,1,3
1515603519,2,0
1515605494,5,4
1515607309,4,3
1515609261,4,1
1515611325,1,3
1515613394,4,6
1515615308,4,3
1515617269,2,5
1515619101,1,4
1515621093,0,3
1515622948,6,2
1515625144,4,1
1515627037,5,1
1515629270,4,1
1515631220,4,4
1515633665,5,7
1515635531,3,5
1515637498,1,2
1515639380,3,2
1515641305,2,7
1515643282,4,1
1515645149,0,1
1515647565,1,1
1515651604,1,0
1515653569,1,0
1515655570,0,1
1515671694,0,1
1515673554,1,2
1515675457,2,1
1515677318,2,1
1515679325,5,4
1515681226,2,3
1515683100,1,1
1515685290,6,3
1515687337,2,4
1515689569,5,2
1515691688,4,4
1515693903,0,5
1515695804,6,5
1515697743,7,2
1515699640,1,2
1515701554,2,4
1515703465,5,2
1515705427,2,1
1515707561,2,0
1515709470,2,6
1515711525,2,4
1515713500,2,5
1515715716,0,4
1515717642,2,4
1515719818,3,4
1515721966,1,2
1515723862,0,1
1515725791,3,3
1515727710,2,2
1515730781,4,4
1515732988,2,1
1515738979,1,2
1515750537,1,0
1515756269,2,0
1515758214,1,0
1515760365,2,1
1515762297,0,2
1515764208,1,2
1515766127,1,5
1515768031,1,1
1515769963,2,2
1515771870,4,5
1515773700,5,3
1515775729,5,5
1515777636,2,2
1515779552,0,1
1515781731,0,5
1515783873,1,7
1515785811,3,2
1515787707,6,2
1515789644,3,2
1515791570,4,4
1515793484,5,3
1515795417,2,2
1515798741,6,3
1515800939,5,1
1515802889,1,0
1515804997,1,3
1515807011,2,2
1515809072,2,1
1515811112,3,2
1515812940,1,2
1515814853,2,2
1515817013,1,3
1515818902,0,1
1515820835,0,1
1515824919,0,1
1515826906,2,0
1515836677,1,1
1515842663,2,1
1515844616,1,1
1515846533,0,2
1515848485,1,1
1515850369,4,1
1515852285,1,1
1515854204,1,1
1515856357,1,2
1515858295,0,5
1515860214,0,7
1515862171,1,4
1515864020,2,2
1515865952,2,0
1515867880,1,1
1515870085,2,1
1515872222,1,3
1515874192,3,7
1515876053,3,1
1515877985,0,4
1515879890,2,5
1515881869,0,2
1515883733,3,5
1515885656,2,2
1515887570,4,4
1515889511,1,1
1515891466,0,1
1515893357,2,2
1515895308,2,2
1515897261,1,3
1515899079,0,2
1515901074,6,2
1515904952,0,1
1515908751,3,0
1515912854,0,2
1515922583,1,1
1515928153,0,1
1515930042,0,1
1515932094,0,1
1515934125,0,1
1515936266,0,3
1515938193,1,2
1515940125,1,0
1515942083,4,1
1515943959,0,1
1515945889,2,0
1515947812,3,1
1515949737,1,1
1515951624,2,2
1515953563,5,2
1515955484,2,2
1515957409,1,0
1515959331,3,3
1515962116,0,4
1515964097,4,1
1515966069,2,1
1515967885,2,1
1515969892,2,3
1515972371,2,3
1515974593,1,4
1515976583,2,0
1515978387,2,0
1515980207,4,3
1515982268,0,2
1515984272,2,0
1515986301,2,0
1515988126,1,5
1515990163,1,0
1515994009,1,1
1515996079,1,2
1515999862,1,0
1516009964,0,1
1516017518,1,0
1516019321,1,0
1516021304,1,0
1516025476,5,1
1516027452,3,3
1516029286,2,2
1516031306,3,0
1516033144,2,3
1516035397,5,3
1516037323,3,1
1516039281,4,4
1516041164,2,3
1516043078,4,1
1516044998,2,2
1516047389,8,1
1516049305,5,0
1516051132,5,4
1516053150,4,2
1516055064,2,2
1516057289,1,3
1516059283,2,0
1516061333,1,1
1516063229,2,3
1516065159,1,1
1516067078,3,4
1516069001,1,0
1516070920,2,2
1516072824,1,2
1516074751,0,1
1516076675,1,1
1516078591,1,0
1516080516,2,1
1516082479,1,1
1516084357,1,0
1516086279,1,1
1516088210,1,0
1516092042,2,0
1516104293,0,1
1516106192,0,1
1516108366,1,0
1516110272,2,3
1516112211,1,2
1516114129,1,3
1516116048,2,3
1516117965,2,3
1516120683,8,2
1516122530,2,4
1516124430,4,4
1516126371,3,5
1516128268,3,2
1516130187,5,4
1516132099,5,3
1516134033,2,8
1516135965,2,5
1516137867,1,5
1516139788,2,3
1516141724,4,2
1516144584,4,1
1516146781,3,2
1516149188,4,3
1516151334,4,1
1516153489,1,3
1516155429,3,1
1516157301,2,2
1516159228,0,1
1516161399,3,0
1516163552,2,2
1516165735,2,1
1516167636,0,2
1516169591,0,1
1516171723,0,1
1516173636,1,1
1516175558,1,0
1516179684,1,2
1516186133,3,0
1516187936,1,0
1516189746,1,0
1516191865,1,1
1516193876,4,2
1516195811,2,0
1516197745,4,2
1516199662,2,2
1516201538,5,1
1516203524,6,1
1516205391,1,7
1516207651,0,3
1516209632,5,4
1516211568,3,3
1516213471,2,5
1516215464,4,3
1516217324,2,4
1516219675,5,5
1516221768,4,2
1516223592,4,1
1516225623,5,2
1516227667,7,2
1516229713,5,4
1516231701,5,0
1516233547,2,5
1516235384,2,2
1516237377,2,4
1516239202,6,0
1516241174,4,4
1516242997,0,2
1516247126,2,1
1516249025,2,3
1516250986,0,1
1516252953,0,2
1516260948,0,1
1516262903,0,1
1516266587,1,1
1516270365,0,1
1516272835,0,3
1516274924,0,1
1516276930,3,1
1516279116,0,3
1516280932,0,3
1516282817,2,2
1516284823,0,4
1516286655,6,1
1516288703,4,5
1516290742,4,6
1516292987,3,0
1516294972,5,4
1516296996,6,3
1516299206,4,2
1516301413,5,3
1516303500,0,1
1516305549,0,7
1516307792,1,5
1516309661,4,4
1516311896,2,5
1516314069,7,7
1516315959,2,5
1516318138,5,4
1516320079,2,1
1516321964,1,2
1516323866,1,2
1516326042,0,6
1516328307,6,4
1516330369,4,0
1516332514,2,0
1516334847,1,4
1516341144,1,0
1516346361,2,0
1516354227,0,1
1516358120,1,0
1516362297,0,2
1516364215,1,2
1516366083,3,0
1516368026,2,1
1516371632,3,4
1516373496,3,4
1516375438,4,3
1516378842,5,7
1516380751,0,3
1516382973,7,7
1516385085,7,4
1516386999,5,3
1516388828,2,2
1516391012,3,0
1516392973,4,0
1516395169,4,3
1516397328,3,2
1516399295,1,5
1516401167,2,3
1516403320,2,2
1516405225,2,6
1516407154,3,1
1516409067,1,1
1516410996,5,1
1516412909,5,1
1516414891,2,5
1516416747,2,4
1516418720,0,2
1516420582,2,1
1516422478,1,0
1516424511,2,0
1516426606,1,1
1516432347,2,2
1516434509,1,0
1516436451,1,0
1516440505,2,0
1516444943,0,1
1516451152,0,3
1516453001,1,3
1516454952,2,1
1516456881,2,2
1516459023,2,5
1516460894,2,4
1516462856,2,4
1516464766,3,3
1516466678,2,0
1516468617,1,6
1516470546,2,6
1516472443,1,3
1516474378,2,5
1516476285,1,2
1516478214,2,4
1516480137,2,3
1516482078,1,2
1516483960,2,2
1516485880,4,1
1516487773,0,2
1516489731,0,2
1516491653,1,2
1516493558,2,3
1516495487,1,1
1516497392,1,5
1516499322,1,5
1516501228,0,2
1516503140,1,2
1516506987,1,2
1516508909,0,1
1516511781,2,2
1516513705,0,1
1516515625,1,1
1516517539,1,0
1516519481,0,2
1516521378,0,1
1516523298,0,1
1516526214,2,2
1516530229,1,0
1516537933,2,0
1516539873,0,2
1516542031,5,2
1516543954,1,1
1516545873,1,3
1516547781,1,2
1516549704,3,2
1516551617,3,3
1516553537,3,2
1516555479,2,1
1516557378,0,2
1516559298,1,2
1516561277,3,2
1516563141,3,0
1516565068,3,4
1516566999,1,0
1516568900,1,4
1516570817,2,0
1516572761,2,4
1516574685,1,0
1516576627,3,0
1516578444,3,1
1516580412,4,2
1516582597,2,2
1516584501,2,0
1516586511,2,1
1516588344,1,0
1516590278,5,1
1516592194,3,0
1516594099,0,1
1516597957,0,2
1516601792,1,0
1516603708,0,1
1516611387,0,2
1516617132,0,1
1516624838,1,2
1516628793,2,5
1516630606,3,1
1516632529,2,1
1516634419,9,1
1516636363,8,4
1516638527,9,3
1516640481,5,2
1516642367,7,2
1516644269,8,0
1516646175,3,1
1516648130,7,3
1516650046,5,5
1516651965,5,1
1516653874,7,1
1516656610,7,2
1516658479,7,2
1516660364,3,2
1516662283,3,1
1516664085,3,4
1516666095,1,5
1516668023,4,2
1516669954,6,1
1516671872,6,3
1516673794,2,1
1516675705,3,3
1516677656,4,3
1516679539,1,1
1516681473,3,0
1516683394,2,0
1516687297,1,0
1516689194,0,1
1516691068,1,0
1516694900,1,0
1516702583,1,0
1516704503,1,0
1516706432,0,1
1516708341,1,0
1516710298,1,0
1516712172,2,1
1516714160,0,1
1516716133,3,3
1516718213,5,2
1516720109,4,6
1516722034,5,8
1516723960,7,7
1516725884,3,7
1516727808,9,7
1516730754,1,11
1516732842,0,4
1516734765,4,5
1516736675,9,6
1516738643,10,4
1516740531,3,6
1516742489,4,6
1516744363,8,5
1516746301,3,3
1516748232,4,4
1516750745,3,3
1516752765,5,1
1516754676,1,4
1516756594,8,7
1516758517,2,7
1516760417,2,1
1516762331,4,2
1516764278,4,3
1516766172,2,2
1516768144,0,3
1516770100,1,1
1516771967,1,1
1516777725,0,1
1516781752,1,0
1516789491,1,0
