DateTime,Entries,UniqueIPs
1515597841,89,89
1515599658,91,91
1515601676,89,89
1515603519,91,91
1515605494,92,92
1515607309,93,93
1515609261,96,96
1515611325,94,94
1515613394,92,92
1515615308,93,93
1515617269,90,90
1515619101,87,87
1515621093,84,84
1515622948,88,88
1515625144,91,91
1515627037,95,95
1515629270,98,98
1515631220,98,98
1515633665,96,96
1515635531,94,94
1515637498,93,93
1515639380,94,94
1515641305,89,89
1515643282,92,92
1515645149,91,91
1515647565,91,91
1515651604,92,92
1515653569,93,93
1515655570,92,92
1515671694,91,91
1515673554,90,90
1515675457,91,91
1515677318,92,92
1515679325,93,93
1515681226,92,92
1515683100,92,92
1515685290,95,95
1515687337,93,93
1515689569,96,96
1515691688,96,96
1515693903,91,91
1515695804,92,92
1515697743,97,97
1515699640,96,96
1515701554,94,94
1515703465,97,97
1515705427,98,98
1515707561,100,100
1515709470,96,96
1515711525,94,94
1515713500,91,91
1515715716,87,87
1515717642,85,85
1515719818,84,84
1515721966,83,83
1515723862,82,82
1515725791,82,82
1515727710,82,82
1515730781,82,82
1515732988,83,83
1515738979,82,82
1515750537,83,83
1515756269,85,85
1515758214,86,86
1515760365,87,87
1515762297,85,85
1515764208,84,84
1515766127,80,80
1515768031,80,80
1515769963,80,80
1515771870,79,79
1515773700,81,81
1515775729,81,81
1515777636,81,81
1515779552,80,80
1515781731,75,75
1515783873,69,69
1515785811,70,70
1515787707,74,74
1515789644,75,75
1515791570,75,75
1515793484,77,77
1515795417,77,77
1515798741,80,80
1515800939,84,84
1515802889,85,85
1515804997,83,83
1515807011,83,83
1515809072,84,84
1515811112,85,85
1515812940,84,84
1515814853,84,84
1515817013,82,82
1515818902,81,81
1515820835,80,80
1515824919,79,79
1515826906,81,81
1515836677,81,81
1515842663,82,82
1515844616,82,82
1515846533,80,80
1515848485,80,80
1515850369,83,83
1515852285,83,83
1515854204,83,83
1515856357,82,82
1515858295,77,77
1515860214,70,70
1515862171,67,67
1515864020,67,67
1515865952,69,69
1515867880,69,69
1515870085,70,70
1515872222,68,68
1515874192,64,64
1515876053,66,66
1515877985,62,62
1515879890,59,59
1515881869,57,57
1515883733,55,55
1515885656,55,55
1515887570,55,55
1515889511,55,55
1515891466,54,54
1515893357,54,54
1515895308,54,54
1515897261,52,52
1515899079,50,50
1515901074,54,54
1515904952,53,53
1515908751,56,56
1515912854,54,54
1515922583,54,54
1515928153,53,53
1515930042,52,52
1515932094,51,51
1515934125,50,50
1515936266,47,47
1515938193,46,46
1515940125,47,47
1515942083,50,50
1515943959,49,49
1515945889,51,51
1515947812,53,53
1515949737,53,53
1515951624,53,53
1515953563,56,56
1515955484,56,56
1515957409,57,57
1515959331,57,57
1515962116,53,53
1515964097,56,56
1515966069,57,57
1515967885,58,58
1515969892,57,57
1515972371,56,56
1515974593,53,53
1515976583,55,55
1515978387,57,57
1515980207,58,58
1515982268,56,56
1515984272,58,58
1515986301,60,60
1515988126,56,56
1515990163,57,57
1515994009,57,57
1515996079,56,56
1515999862,57,57
1516009964,56,56
1516017518,57,57
1516019321,58,58
1516021304,59,59
1516025476,63,63
1516027452,63,63
1516029286,63,63
1516031306,66,66
1516033144,65,65
1516035397,67,67
1516037323,69,69
1516039281,69,69
1516041164,68,68
1516043078,71,71
1516044998,71,71
1516047389,78,78
1516049305,83,83
1516051132,84,84
1516053150,86,86
1516055064,86,86
1516057289,84,84
1516059283,86,86
1516061333,86,86
1516063229,85,85
1516065159,85,85
1516067078,84,84
1516069001,85,85
1516070920,85,85
1516072824,84,84
1516074751,83,83
1516076675,83,83
1516078591,84,84
1516080516,85,85
1516082479,85,85
1516084357,86,86
1516086279,86,86
1516088210,87,87
1516092042,89,89
1516104293,88,88
1516106192,87,87
1516108366,88,88
1516110272,87,87
1516112211,86,86
1516114129,84,84
1516116048,83,83
1516117965,82,82
1516120683,88,88
1516122530,86,86
1516124430,86,86
1516126371,84,84
1516128268,85,85
1516130187,86,86
1516132099,88,88
1516134033,82,82
1516135965,79,79
1516137867,75,75
1516139788,74,74
1516141724,76,76
1516144584,79,79
1516146781,80,80
1516149188,81,81
1516151334,84,84
1516153489,82,82
1516155429,84,84
1516157301,84,84
1516159228,83,83
1516161399,86,86
1516163552,86,86
1516165735,87,87
1516167636,85,85
1516169591,84,84
1516171723,83,83
1516173636,83,83
1516175558,84,84
1516179684,83,83
1516186133,86,86
1516187936,87,87
1516189746,88,88
1516191865,88,88
1516193876,90,90
1516195811,92,92
1516197745,94,94
1516199662,94,94
1516201538,98,98
1516203524,103,103
1516205391,97,97
1516207651,94,94
1516209632,95,95
1516211568,95,95
1516213471,92,92
1516215464,93,93
1516217324,91,91
1516219675,91,91
1516221768,93,93
1516223592,96,96
1516225623,99,99
1516227667,104,104
1516229713,105,105
1516231701,110,110
1516233547,107,107
1516235384,107,107
1516237377,105,105
1516239202,111,111
1516241174,111,111
1516242997,109,109
1516247126,110,110
1516249025,109,109
1516250986,108,108
1516252953,106,106
1516260948,105,105
1516262903,104,104
1516266587,104,104
1516270365,103,103
1516272835,100,100
1516274924,99,99
1516276930,101,101
1516279116,98,98
1516280932,95,95
1516282817,95,95
1516284823,91,91
1516286655,96,96
1516288703,95,95
1516290742,93,93
1516292987,96,96
1516294972,97,97
1516296996,100,100
1516299206,102,102
1516301413,104,104
1516303500,103,103
1516305549,96,96
1516307792,92,92
1516309661,92,92
1516311896,89,89
1516314069,89,89
1516315959,86,86
1516318138,87,87
1516320079,88,88
1516321964,87,87
1516323866,86,86
1516326042,80,80
1516328307,82,82
1516330369,86,86
1516332514,88,88
1516334847,85,85
1516341144,86,86
1516346361,88,88
1516354227,87,87
1516358120,88,88
1516362297,86,86
1516364215,85,85
1516366083,88,88
1516368026,89,89
1516371632,88,88
1516373496,87,87
1516375438,88,88
1516378842,86,86
1516380751,83,83
1516382973,83,83
1516385085,86,86
1516386999,88,88
1516388828,88,88
1516391012,91,91
1516392973,95,95
1516395169,96,96
1516397328,97,97
1516399295,93,93
1516401167,92,92
1516403320,92,92
1516405225,88,88
1516407154,90,90
1516409067,90,90
1516410996,94,94
1516412909,98,98
1516414891,95,95
1516416747,93,93
1516418720,91,91
1516420582,92,92
1516422478,93,93
1516424511,95,95
1516426606,95,95
1516432347,95,95
1516434509,96,96
1516436451,97,97
1516440505,99,99
1516444943,98,98
1516451152,95,95
1516453001,93,93
1516454952,94,94
1516456881,94,94
1516459023,91,91
1516460894,89,89
1516462856,87,87
1516464766,87,87
1516466678,89,89
1516468617,84,84
1516470546,80,80
1516472443,78,78
1516474378,75,75
1516476285,74,74
1516478214,72,72
1516480137,71,71
1516482078,70,70
1516483960,70,70
1516485880,73,73
1516487773,71,71
1516489731,69,69
1516491653,68,68
1516493558,67,67
1516495487,67,67
1516497392,63,63
1516499322,59,59
1516501228,57,57
1516503140,56,56
1516506987,55,55
1516508909,54,54
1516511781,54,54
1516513705,53,53
1516515625,53,53
1516517539,54,54
1516519481,52,52
1516521378,51,51
1516523298,50,50
1516526214,50,50
1516530229,51,51
1516537933,53,53
1516539873,51,51
1516542031,54,54
1516543954,54,54
1516545873,52,52
1516547781,51,51
1516549704,52,52
1516551617,52,52
1516553537,53,53
1516555479,54,54
1516557378,52,52
1516559298,51,51
1516561277,52,52
1516563141,55,55
1516565068,54,54
1516566999,55,55
1516568900,52,52
1516570817,54,54
1516572761,52,52
1516574685,53,53
1516576627,56,56
1516578444,58,58
1516580412,60,60
1516582597,60,60
1516584501,62,62
1516586511,63,63
1516588344,64,64
1516590278,68,68
1516592194,71,71
1516594099,70,70
1516597957,68,68
1516601792,69,69
