DateTime,AddedIPs,RemovedIPs
1514581757,0,49
1514583623,1,31
1514585830,5,2
1514587720,9,1
1514589988,52,1
1514592131,14,2
1514594091,1,0
1514598146,1,0
1514600124,0,2
1514602005,0,1
1514603943,0,1
1514605855,1,1
1514607758,1,2
1514609732,2,1
1514611655,0,1
1514613483,0,1
1514617396,0,3
1514619456,1,2
1514621302,1,2
1514623286,1,0
1514625405,0,3
1514627324,0,1
1514631165,0,1
1514633070,2,2
1514635013,1,4
1514638891,3,1
1514641003,41,0
1514642910,24,1
1514644838,15,3
1514646760,5,1
1514649358,1,1
1514651560,2,1
1514653464,0,1
1514655394,1,1
1514657311,0,2
1514659234,1,1
1514661408,0,3
1514663510,2,1
1514665463,0,2
1514667534,2,0
1514669865,2,1
1514672029,2,2
1514673982,1,12
1514675804,0,34
1514677852,0,11
1514679872,0,1
1514682082,1,0
1514683959,3,0
1514685878,0,1
1514688120,1,0
1514691882,1,1
1514694042,1,1
1514695980,1,2
1514699797,1,0
1514705805,0,1
1514707721,0,1
1514709628,2,1
1514713486,1,0
1514719242,0,2
1514721386,3,1
1514725466,0,3
1514727404,0,45
1514729345,0,37
1514731243,0,17
1514733170,0,7
1514736997,1,1
1514738910,0,2
1514742750,0,1
1514744670,0,1
1514748522,0,1
1514750550,3,1
1514752354,1,0
1514754523,0,3
1514756664,0,1
1514758966,0,2
1514760985,2,1
1514763347,1,0
1514767283,0,1
1514771189,0,3
1514773230,1,1
1514777332,5,1
1514781409,0,2
1514785472,1,1
1514795344,5,2
1514799154,0,1
1514801091,4,0
1514807078,0,2
1514809205,1,1
1514821272,1,0
1514823136,0,1
1514825055,1,0
1514831076,29,0
1514832997,31,0
1514836877,1,2
1514838738,0,2
1514843901,4,0
1514848124,0,2
1514849994,1,1
1514859871,0,1
1514863725,0,5
1514865876,1,0
1514871874,0,1
1514873784,1,0
1514881712,0,5
1514883682,2,0
1514885799,1,0
1514887958,0,4
1514894179,19,0
1514896366,16,1
1514906451,3,1
1514910288,7,1
1514917005,0,5
1514919175,0,47
1514921062,1,0
1514923282,1,1
1514929463,0,4
1514931405,4,0
1514937158,1,1
1514939074,1,0
1514941002,1,0
1514947006,1,0
1514952745,1,1
1514954683,1,0
1514956609,3,0
1514958530,3,0
1514960432,1,1
1514962359,1,0
1514964284,1,0
1514966206,2,0
1514968112,2,0
1514971019,2,3
1514974882,2,0
1514976793,2,0
1514980618,1,23
1514982538,0,20
1514990438,1,0
1514992390,0,3
1514996221,0,3
1514998122,0,4
1515006297,0,1
1515008363,1,1
1515010190,36,0
1515016357,9,2
1515018535,0,2
1515133537,33,66
1515137380,1,0
1515143171,1,0
1515150947,0,2
