DateTime,AddedIPs,RemovedIPs
1515739709,26,555
1515741877,20,14
1515743792,3,650
1515745728,0,360
1515748607,7,9
1515750538,0,1
1515752430,6,0
1515754363,0,1
1515756269,0,1
1515758215,0,3
1515760366,2,1
1515762298,3,0
1515766128,3,84
1515769963,362,1
1515771871,2,10
1515773701,1,20
1515775730,1,0
1515777637,0,1
1515779553,4,1
1515781732,3,2
1515783874,1,0
1515785812,24,2
1515787708,18,169
1515789645,0,45
1515791571,4,92
1515793485,0,22
1515795418,15,18
1515798742,2,1
1515800940,2,1
1515802890,1,1
1515804998,0,2
1515807011,3,1
1515809073,0,224
1515812942,2,244
1515817014,0,1
1515818903,1,54
1515820835,1,3
1515822857,21,14
1515824920,44,24
1515826907,47,29
1515828760,0,9
1515830789,3,2
1515832611,1,6
1515834640,3,2
1515836678,0,1
1515838832,0,6
1515840740,1,0
1515842664,1,0
1515846534,0,1
1515848486,2,1
1515850370,5,0
1515852286,2,2
1515854205,2,1
1515856358,0,405
1515858296,2,3
1515860215,1,0
1515862172,3,1
1515864020,0,1
1515865953,3,3
1515867881,1,2
1515870086,0,1
1515872223,0,1
1515874192,0,4
1515876054,1,0
1515877986,0,4
1515881870,0,16
1515883734,0,1
1515885657,1,1
1515887571,3,2
1515889512,0,1
1515891467,2,0
1515893357,4,3
1515895309,1,0
1515897261,2,0
1515899080,0,1
1515901075,94,1
1515902986,4,0
1515904953,6,1
1515906773,1,1
1515908752,248,9
1515910644,948,37
1515912855,141,55
1515914698,1,11
1515916751,1,3
1515918560,2,1
1515920614,0,2
1515924425,2,0
1515926229,2,1
1515928154,1,0
1515930043,2,1
1515932095,1,0
1515934126,0,2
1515936268,3,4
1515938194,2,2
1515940126,3,1
1515942084,1,1
1515943960,1,2
1515945890,1,1
1515947814,2,3
1515949738,1,0
1515951625,1,3
1515953564,0,1
1515955485,1,0
1515957410,3,0
1515959332,2,0
1515962117,650,0
1515966070,8,0
1515967886,2,0
1515969893,19,0
1515972372,3,1
1515974594,2,3
1515976584,26,1
1515978388,2,3
1515980208,0,2
1515982270,3,0
1515984273,3,0
1515986302,4,82
1515988127,2,2
1515990164,1,2
1515991965,0,7
1515994010,3,15
1515996080,10,1168
1515998025,16,51
1515999863,11,12
1516001948,1,1
1516003931,0,2
1516007800,2,1
1516011873,0,1
1516013787,1,1
1516017519,2,1
1516019322,4,0
1516021305,0,1
1516023171,0,1
1516025477,1,4
1516027453,44,2
1516031307,1,0
1516033145,2,2
1516035398,0,1
1516039282,1,0
1516041165,1,2
1516043079,0,1
1516044999,0,3
1516047390,2,666
1516049306,0,1
1516051133,1,0
1516053151,1,1
1516055065,5,3
1516057290,0,2
1516059284,2,3
1516061334,1,1
1516063230,0,25
1516065160,1,1
1516067079,2,0
1516069002,0,2
1516070921,1,3
1516072826,1,5
1516074752,1,2
1516076676,0,1
1516078592,4,0
1516080517,2,48
1516082480,17,9
1516084358,280,75
1516086280,616,67
1516088211,1012,0
1516090131,0,1
1516092043,4,0
1516094218,2,1
1516096108,1,0
1516098041,1,0
1516100170,1,0
1516102365,1,0
1516104294,2,2
1516106193,1,4
1516108367,1,0
1516110274,0,39
1516116049,1,0
1516117966,3,1
1516120684,0,1
1516122532,27,0
1516124431,0,1
1516126372,3,0
1516128269,74,0
1516132100,3,1
1516134034,2,2
1516137869,1,0
1516139789,0,8
1516141726,0,3
1516145808,2,2
1516147694,1,2
1516149654,2,0
1516151803,2,1
1516153983,0,2
1516157807,0,1
1516159699,172,1
1516163553,0,1
1516165736,1,3
1516167637,1,8
1516169592,15,14
1516171724,17,834
1516173637,2,1
1516175559,0,1041
1516177482,5,2
1516179685,4,3
1516182014,0,1
1516184150,1,1
1516186134,0,1
1516187937,0,2
1516189747,0,1
1516191866,1,2
1516193877,1,2
1516195816,3,0
1516199663,541,0
1516201539,329,1
1516203525,2,3
1516205392,1,0
1516207652,3,8
1516209633,0,18
1516211569,1,2
1516213472,0,2
1516215465,0,114
1516217325,126,1
1516219676,1,2
1516221769,1,1
1516223593,374,1
1516225624,1,0
1516227668,1,0
1516229714,2,0
1516231702,0,1
1516233548,0,1
1516235385,1,0
1516237378,0,2
1516239203,3,1
1516241175,1,0
1516242998,1902,0
1516244946,3522,1
1516247128,2729,70
1516250987,1,1
1516252955,1,1
1516254768,1,0
1516256733,2,2
1516258929,1,1
1516260949,2,2
1516262905,2,3
1516264736,123,3
1516266588,3,3
1516268523,1,0
1516270366,1,1
1516272836,1,0
1516276932,2,0
1516279118,9,1
1516280934,140,1
1516282819,908,3
1516284824,0,57
1516286657,0,817
1516288705,1,13
1516290744,1,3
1516292989,1,2
1516294973,205,1
1516296997,1,1
1516299207,1,0
1516301415,2,0
1516303502,4,87
1516305551,0,1
1516307793,2,0
1516309662,4,331
1516311899,3,2
1516314070,1,1
1516315960,1,2
1516318139,1,0
1516320087,1,0
1516321965,1,1
1516326043,1,3
1516328309,3,5
1516330370,3,3754
1516332515,2,3785
1516334848,1,668
1516337089,1,1
1516339258,2,0
1516341145,10,0
1516343332,26,1
1516345284,9,1
1516347150,34,2
1516349082,3,2
1516350970,5,162
1516353147,0,3
1516355063,3,1
1516356996,2,0
1516360820,1,0
1516362738,0,1
1516364670,2,9
1516366739,1,1
1516368991,0,143
1516370939,1,0
1516372843,2,0
1516374762,1,1
1516376689,0,1
1516378843,1,1
1516380752,187,1075
1516382974,1,151
1516385085,117,0
1516387000,2,1
1516388829,2,6
1516391013,3,1
1516392974,43,2
1516395170,2,1
1516397329,0,1
1516399322,3,1
1516401168,2,1
1516403320,2,1
1516405226,1,2
1516407155,1,0
1516409068,0,1
1516410997,2,1
1516412910,56,0
1516414892,1,4
1516416748,2,2
1516418721,1,2
1516420583,1,2
1516422479,1,1
1516424512,3,2
1516426607,3,1
