DateTime,Entries,UniqueIPs
1515739709,2948,2948
1515741877,2954,2954
1515743792,2307,2307
1515745728,1947,1947
1515748607,1945,1945
1515750538,1944,1944
1515752430,1950,1950
1515754363,1949,1949
1515756269,1948,1948
1515758215,1945,1945
1515760366,1946,1946
1515762298,1949,1949
1515766128,1868,1868
1515769963,2229,2229
1515771871,2221,2221
1515773701,2202,2202
1515775730,2203,2203
1515777637,2202,2202
1515779553,2205,2205
1515781732,2206,2206
1515783874,2207,2207
1515785812,2229,2229
1515787708,2078,2078
1515789645,2033,2033
1515791571,1945,1945
1515793485,1923,1923
1515795418,1920,1920
1515798742,1921,1921
1515800940,1922,1922
1515802890,1922,1922
1515804998,1920,1920
1515807011,1922,1922
1515809073,1698,1698
1515812942,1456,1456
1515817014,1455,1455
1515818903,1402,1402
1515820835,1400,1400
1515822857,1407,1407
1515824920,1427,1427
1515826907,1445,1445
1515828760,1436,1436
1515830789,1437,1437
1515832611,1432,1432
1515834640,1433,1433
1515836678,1432,1432
1515838832,1426,1426
1515840740,1427,1427
1515842664,1428,1428
1515846534,1427,1427
1515848486,1428,1428
1515850370,1433,1433
1515852286,1433,1433
1515854205,1434,1434
1515856358,1029,1029
1515858296,1028,1028
1515860215,1029,1029
1515862172,1031,1031
1515864020,1030,1030
1515865953,1030,1030
1515867881,1029,1029
1515870086,1028,1028
1515872223,1027,1027
1515874192,1023,1023
1515876054,1024,1024
1515877986,1020,1020
1515881870,1004,1004
1515883734,1003,1003
1515885657,1003,1003
1515887571,1004,1004
1515889512,1003,1003
1515891467,1005,1005
1515893357,1006,1006
1515895309,1007,1007
1515897261,1009,1009
1515899080,1008,1008
1515901075,1101,1101
1515902986,1105,1105
1515904953,1110,1110
1515906773,1110,1110
1515908752,1349,1349
1515910644,2260,2260
1515912855,2346,2346
1515914698,2336,2336
1515916751,2334,2334
1515918560,2335,2335
1515920614,2333,2333
1515924425,2335,2335
1515926229,2336,2336
1515928154,2337,2337
1515930043,2338,2338
1515932095,2339,2339
1515934126,2337,2337
1515936268,2336,2336
1515938194,2336,2336
1515940126,2338,2338
1515942084,2338,2338
1515943960,2337,2337
1515945890,2337,2337
1515947814,2336,2336
1515949738,2337,2337
1515951625,2335,2335
1515953564,2334,2334
1515955485,2335,2335
1515957410,2338,2338
1515959332,2340,2340
1515962117,2990,2990
1515966070,2998,2998
1515967886,3000,3000
1515969893,3019,3019
1515972372,3021,3021
1515974594,3020,3020
1515976584,3045,3045
1515978388,3044,3044
1515980208,3042,3042
1515982270,3045,3045
1515984273,3048,3048
1515986302,2970,2970
1515988127,2970,2970
1515990164,2969,2969
1515991965,2962,2962
1515994010,2950,2950
1515996080,1792,1792
1515998025,1757,1757
1515999863,1756,1756
1516001948,1756,1756
1516003931,1754,1754
1516007800,1755,1755
1516011873,1754,1754
1516013787,1754,1754
1516017519,1755,1755
1516019322,1759,1759
1516021305,1758,1758
1516023171,1757,1757
1516025477,1754,1754
1516027453,1796,1796
1516031307,1797,1797
1516033145,1797,1797
1516035398,1796,1796
1516039282,1797,1797
1516041165,1796,1796
1516043079,1795,1795
1516044999,1792,1792
1516047390,1128,1128
1516049306,1127,1127
1516051133,1128,1128
