DateTime,AddedIPs,RemovedIPs
1515802890,2,4
1515804999,11,2
1515807012,4,2
1515809073,0,224
1515812942,3,246
1515814854,2,2
1515817014,1,1
1515818903,5,54
1515820836,1,4
1515822857,21,17
1515824921,44,25
1515826907,49,29
1515828760,1,9
1515830790,3,2
1515832611,1,6
1515834640,5,6
1515836678,1,1
1515838832,0,6
1515840740,2,1
1515842664,1,1
1515844617,2,0
1515846534,1,5
1515848487,6,5
1515850370,5,2
1515852286,2,2
1515854205,3,2
1515856358,2,407
1515858296,2,4
1515860215,1,0
1515862173,5,3
1515864021,2,2
1515865953,4,4
1515867882,2,2
1515870086,0,4
1515872223,1,1
1515874193,1,6
1515876054,2,3
1515877987,6,5
1515879891,1,1
1515881870,0,16
1515883735,1,2
1515885658,2,2
1515887571,4,3
1515889512,1,2
1515891467,3,6
1515893358,5,5
1515895309,4,1
1515897262,4,0
1515899080,0,2
1515901076,96,4
1515902986,7,0
1515904954,6,5
1515906774,4,2
1515908752,249,9
1515910644,949,37
1515912855,142,58
1515914698,2,12
1515916751,2,3
1515918560,5,1
1515920614,0,3
1515922584,1,2
1515924426,5,0
1515926230,7,1
1515928154,3,1
1515930044,3,3
1515932096,2,0
1515934127,4,6
1515936268,4,5
1515938195,3,2
1515940127,4,0
1515942084,3,3
1515943960,4,3
1515945891,4,1
1515947814,5,3
1515949739,3,1
1515951625,1,5
1515953565,1,1
1515955485,1,0
1515957410,5,0
1515959333,2,2
1515962118,650,1
1515964099,2,7
1515966070,9,1
1515967887,3,0
1515969894,26,1
1515972373,5,2
1515974594,4,4
1515976584,27,3
1515978389,3,3
1515980209,1,4
1515982270,4,3
1515984273,5,2
1515986302,5,83
1515988128,6,4
1515990164,1,4
1515991966,4,10
1515994011,7,16
1515996080,13,1168
1515998025,16,54
1515999864,12,13
1516001948,3,1
1516003932,1,5
1516005863,3,1
1516007800,4,2
1516009965,0,1
1516011873,2,6
1516013787,2,3
1516015707,2,0
1516017519,2,3
1516019323,4,2
1516021305,0,4
1516023171,1,1
1516025478,2,4
1516027454,44,3
1516029287,2,2
1516031308,2,5
1516033146,8,3
1516035398,3,5
1516037325,3,1
1516039282,7,0
1516041165,2,3
1516043080,1910,1
1516044999,1,3
1516047391,4,663
1516049307,0,2
1516051134,1,2
1516053152,1,1
1516055065,7,5
1516057291,2,5
1516059284,3,4
1516061335,2,3
1516063230,1,25
1516065160,3,3
1516067080,4,1
1516069002,2,3
1516070922,3,5
1516072826,2,6
1516074753,1,5
1516076677,2,1
1516078593,4,4
1516080517,6,50
1516082480,17,12
1516084358,280,74
1516086280,616,68
1516088211,956,2
1516090132,1,2
1516092043,4,1
1516094218,3,2
1516096109,4,0
1516098042,4,1
1516100171,1,2
1516102366,5,1
1516104294,2,2
1516106194,3,4
1516108368,1,1
1516110274,0,38
1516112213,1,0
1516114131,3,1
1516116050,3,2
1516117967,4,1
1516120685,2,5
1516122532,27,4
1516124432,2,2
1516126373,3,3
1516128269,76,0
1516132101,9,2
1516134034,3,4
1516135966,1,0
1516137869,4,0
1516139790,2,8
1516141726,3,5
1516143693,4,2
1516145808,7,3
1516147694,3,3
