DateTime,Entries,UniqueIPs
1515802890,1973,1973
1515804999,1982,1982
1515807012,1984,1984
1515809073,1760,1760
1515812942,1517,1517
1515814854,1517,1517
1515817014,1517,1517
1515818903,1468,1468
1515820836,1465,1465
1515822857,1469,1469
1515824921,1488,1488
1515826907,1508,1508
1515828760,1500,1500
1515830790,1501,1501
1515832611,1496,1496
1515834640,1495,1495
1515836678,1495,1495
1515838832,1489,1489
1515840740,1490,1490
1515842664,1490,1490
1515844617,1492,1492
1515846534,1488,1488
1515848487,1489,1489
1515850370,1492,1492
1515852286,1492,1492
1515854205,1493,1493
1515856358,1088,1088
1515858296,1086,1086
1515860215,1087,1087
1515862173,1089,1089
1515864021,1089,1089
1515865953,1089,1089
1515867882,1089,1089
1515870086,1085,1085
1515872223,1085,1085
1515874193,1080,1080
1515876054,1079,1079
1515877987,1080,1080
1515879891,1080,1080
1515881870,1064,1064
1515883735,1063,1063
1515885658,1063,1063
1515887571,1064,1064
1515889512,1063,1063
1515891467,1060,1060
1515893358,1060,1060
1515895309,1063,1063
1515897262,1067,1067
1515899080,1065,1065
1515901076,1157,1157
1515902986,1164,1164
1515904954,1165,1165
1515906774,1167,1167
1515908752,1407,1407
1515910644,2319,2319
1515912855,2403,2403
1515914698,2393,2393
1515916751,2392,2392
1515918560,2396,2396
1515920614,2393,2393
1515922584,2392,2392
1515924426,2397,2397
1515926230,2403,2403
1515928154,2405,2405
1515930044,2405,2405
1515932096,2407,2407
1515934127,2405,2405
1515936268,2404,2404
1515938195,2405,2405
1515940127,2409,2409
1515942084,2409,2409
1515943960,2410,2410
1515945891,2413,2413
1515947814,2415,2415
1515949739,2417,2417
1515951625,2413,2413
1515953565,2413,2413
1515955485,2414,2414
1515957410,2419,2419
1515959333,2419,2419
1515962118,3068,3068
1515964099,3063,3063
1515966070,3071,3071
1515967887,3074,3074
1515969894,3099,3099
1515972373,3102,3102
1515974594,3102,3102
1515976584,3126,3126
1515978389,3126,3126
1515980209,3123,3123
1515982270,3124,3124
1515984273,3127,3127
1515986302,3049,3049
1515988128,3051,3051
1515990164,3048,3048
1515991966,3042,3042
1515994011,3033,3033
1515996080,1878,1878
1515998025,1840,1840
1515999864,1839,1839
1516001948,1841,1841
1516003932,1837,1837
1516005863,1839,1839
1516007800,1841,1841
1516009965,1840,1840
1516011873,1836,1836
1516013787,1835,1835
1516015707,1837,1837
1516017519,1836,1836
1516019323,1838,1838
1516021305,1834,1834
1516023171,1834,1834
1516025478,1832,1832
1516027454,1873,1873
1516029287,1873,1873
1516031308,1870,1870
1516033146,1875,1875
1516035398,1873,1873
1516037325,1875,1875
1516039282,1882,1882
1516041165,1881,1881
1516043080,3790,3790
1516044999,3788,3788
1516047391,3129,3129
1516049307,3127,3127
1516051134,3126,3126
1516053152,3126,3126
1516055065,3128,3128
1516057291,3125,3125
1516059284,3124,3124
1516061335,3123,3123
1516063230,3099,3099
1516065160,3099,3099
1516067080,3102,3102
1516069002,3101,3101
1516070922,3099,3099
1516072826,3095,3095
1516074753,3091,3091
1516076677,3092,3092
1516078593,3092,3092
1516080517,3048,3048
1516082480,3053,3053
1516084358,3259,3259
1516086280,3807,3807
1516088211,4761,4761
1516090132,4760,4760
1516092043,4763,4763
1516094218,4764,4764
1516096109,4768,4768
1516098042,4771,4771
1516100171,4770,4770
1516102366,4774,4774
1516104294,4774,4774
1516106194,4773,4773
1516108368,4773,4773
1516110274,4735,4735
1516112213,4736,4736
1516114131,4738,4738
1516116050,4739,4739
1516117967,4742,4742
1516120685,4739,4739
1516122532,4762,4762
1516124432,4762,4762
1516126373,4762,4762
1516128269,4838,4838
1516132101,4845,4845
1516134034,4844,4844
1516135966,4845,4845
1516137869,4849,4849
1516139790,4843,4843
1516141726,4841,4841
1516143693,4843,4843
1516145808,4847,4847
1516147694,4847,4847
1516149654,4852,4852
1516151804,4852,4852
1516153984,4849,4849
1516155874,4849,4849
1516157807,4852,4852
1516159700,5024,5024
1516161685,5028,5028
1516163553,5028,5028
1516165737,5032,5032
1516167638,5025,5025
1516169593,5032,5032
1516171724,4218,4218
1516173637,4213,4213
1516175559,3226,3226
1516177483,3228,3228
1516179685,3230,3230
1516182014,3228,3228
1516184151,3228,3228
1516186135,1299,1299
1516187938,1298,1298
1516189747,1295,1295
1516191867,1305,1305
1516193878,1306,1306
1516195817,1311,1311
1516197746,1314,1314
1516199663,1858,1858
1516201539,2182,2182
1516203526,2183,2183
1516205393,2183,2183
1516207653,2177,2177
1516209633,2166,2166
1516211569,2163,2163
1516213472,2164,2164
1516215465,2049,2049
1516217325,2173,2173
1516219677,2172,2172
1516221769,2173,2173
1516223594,2549,2549
1516225625,2548,2548
1516227668,2548,2548
1516229715,2546,2546
1516231702,2543,2543
1516233548,2538,2538
1516235385,2538,2538
