DateTime,Entries,UniqueIPs
1512342159,72,72
1512364145,71,71
1512386210,70,70
1512408275,71,71
1512430363,81,81
1512452469,80,80
1512474489,79,79
1512497049,80,80
1512518921,79,79
1512541011,77,77
1512563087,74,74
1512584991,71,71
1512606976,67,67
1512629060,66,66
1512673105,65,65
1512695330,67,67
1512717393,66,66
1512783170,64,64
1512827329,64,64
1512849392,63,63
1512871497,64,64
1512915686,65,65
1512937966,67,67
1512959814,66,66
1512981864,65,65
1513003953,64,64
1513026254,54,54
1513048149,59,59
1513114127,57,57
1513136203,58,58
1513158274,60,60
1513180115,61,61
1513202203,61,61
1513224277,61,61
1513257629,63,63
1513301570,63,63
1513323622,62,62
1513345712,60,60
1513389879,59,59
1513411988,60,60
1513434051,61,61
1513477994,59,59
1513500019,61,61
1513521869,63,63
1513543956,60,60
1513588147,68,68
1513610004,75,75
1513632041,75,75
1513654101,71,71
1513719897,75,75
1513741967,74,74
1513764097,73,73
1513852609,72,72
1513897346,72,72
1513919306,71,71
1513941417,71,71
1513985812,72,72
1514007881,70,70
1514117887,65,65
1514139865,64,64
1514183894,59,59
1514205853,54,54
1514227964,54,54
1514249920,54,54
1514271881,57,57
1514315799,57,57
1514337767,53,53
1514359751,50,50
1514382039,56,56
1514404125,54,54
1514425979,55,55
1514491956,54,54
1514514024,55,55
1514535872,56,56
1514557784,57,57
1514602007,56,56
1514646158,57,57
1514689976,58,58
1514712097,59,59
1514734286,58,58
1514756234,60,60
1514778283,61,61
1514800213,62,62
1514866370,60,60
1514888464,58,58
1514998600,52,52
1515154181,54,54
1515176223,53,53
1515198264,52,52
1515220529,54,54
1515242657,63,63
1515286589,65,65
1515308487,64,64
1515330502,65,65
1515352609,62,62
1515374816,64,64
1515418724,66,66
1515440664,67,67
1515485056,66,66
1515529059,65,65
1515551066,64,64
1515573171,67,67
1515595227,71,71
1515617272,74,74
1515661280,76,76
1515683302,77,77
1515705430,76,76
1515727714,74,74
1515749804,73,73
1515771874,73,73
1515793953,72,72
1515816141,71,71
1515838391,65,65
1515860449,65,65
1515882820,64,64
1515904955,64,64
1515927160,70,70
1515949327,69,69
1516015983,66,66
1516038024,67,67
1516059893,68,68
1516103817,69,69
1516125678,70,70
1516147696,68,68
1516169594,69,69
1516191868,66,66
1516214110,61,61
1516236333,59,59
1516280168,59,59
1516324564,58,58
1516346687,57,57
1516391015,56,56
1516412913,57,57
1516456886,58,58
1516479187,56,56
1516545141,58,58
1516588842,57,57
1516654878,58,58
1516677356,59,59
1516699242,56,56
1516721549,57,57
1516743931,55,55
1516765978,56,56
