DateTime,AddedIPs,RemovedIPs
1515798744,4,1
1515800942,2,97
1515802891,2,2
1515805000,1,24
1515807014,0,10
1515809075,0,21
1515811116,1,6
1515812944,0,1
1515814855,0,7
1515817016,1,10
1515818905,1,9
1515820837,1,14
1515822859,0,7
1515824922,1,13
1515826909,2,4
1515828762,1,10
1515830793,0,7
1515832612,2,4
1515834642,2,12
1515836680,0,6
1515838834,7,10
1515840742,16,7
1515842666,4,4
1515844618,6,9
1515846536,1,29
1515848488,9,2
1515850372,12,5
1515852288,4,1
1515854207,3,6
1515856361,7,12
1515858298,5,8
1515860217,8,29
1515862174,10,5
1515864022,13,1
1515865955,10,6
1515867884,11,1
1515870088,12,2
1515872225,15,2
1515874194,4,1
1515876056,14,8
1515877988,11,3
1515879892,6,7
1515881872,6,3
1515883736,21,1
1515885659,6,176
1515887573,5,0
1515889515,4,2
1515891469,11,1
1515893359,7,0
1515895312,5,0
1515897263,0,1
1515899081,1,1
1515901077,1,0
1515902989,4,1
1515904958,1328,1
1515906776,0,1
1515908755,1,0
1515910647,0,1
1515912858,1,1
1515916754,0,1
1515918563,4,0
1515920617,5,2
1515922587,8,1
1515924429,4,2
1515926233,2,14
1515928157,7,2
1515930048,3,5
1515932099,3,3
1515934129,5,5
1515936271,2,7
1515938198,6,3
1515940132,10,6
1515942087,0,4
1515943963,5,7
1515945893,1,6
1515947817,7,5
1515949742,6,15
1515951628,11,7
1515953567,6,12
1515955488,3,9
1515957413,6,13
1515959336,12,3
1515962120,4,19
1515964101,2,16
1515966072,7,7
1515967889,6,6
1515969896,1,23
1515972375,6,8
1515974596,12,6
1515976586,7,5
1515978390,0,10
1515980211,1,10
1515982272,1,0
1515984275,1,0
1515986304,3,4
1515988130,2,2
1515990166,0,512
1515991967,0,818
1515994014,0,1
1515996082,1,0
1515998026,0,1
1516003934,0,1
1516005866,4,6
1516007803,12,8
1516009968,11,8
1516011876,9,0
1516013790,5,7
1516015708,2,7
1516017521,4,4
1516019324,4,4
1516021307,1,3
1516023173,4,4
1516025479,12,11
1516027455,13,7
1516029289,5,3
1516031309,1,4
1516033147,4,7
1516035400,10,1
1516037326,26,11
1516039284,6,9
1516041167,7,5
1516043081,11,6
1516045001,10,20
1516047392,11,3
1516049309,19,1
1516051136,5,3
1516053154,6,11
1516055067,8,2
1516057293,12,4
1516059287,8,12
1516061338,9,14
1516063233,7,2
1516065163,20,1
1516067083,7,0
1516069005,5,1
1516070925,7,7
1516072829,4,0
1516074756,3,2
1516076680,1,0
1516078596,8,0
1516080520,8,0
1516082483,9,1
1516084361,10,0
1516086283,13,0
1516088214,10,0
1516090134,9,0
1516092045,6,5
1516094220,8,9
1516096111,7,9
1516098044,4,6
1516100173,11,3
1516102368,6,4
1516104297,6,4
1516106196,19,3
1516108370,91,0
1516110276,52,2
1516112215,54,4
1516114133,91,3
1516116052,10,3
1516117969,15,0
1516120687,23,1
1516122534,16,1
1516124434,10,5
1516126375,13,0
1516128271,11,2
1516130191,13,3
1516132103,1,3
1516134037,1,3
1516135969,2,2
1516137872,0,1
1516139793,4,1
1516141729,3,2
1516143722,1,3
1516145811,2,6
1516147698,1,2
1516149657,1,1
1516151806,2,7
1516153989,5,1
1516155876,1,3
1516157809,2,2
1516159702,2,1
1516161687,2,3
1516163555,1,2
1516165739,0,4
1516167640,2,1
1516169596,2,2
1516171726,2,4
1516173640,1,6
1516175561,1,2
1516177484,2,3
1516179687,2,1
1516182016,1,0
1516184153,1,1
1516186136,4,2
1516187940,3,4
1516189749,1,1
