DateTime,Entries,UniqueIPs
1515798744,705,705
1515800942,610,610
1515802891,610,610
1515805000,587,587
1515807014,577,577
1515809075,556,556
1515811116,551,551
1515812944,550,550
1515814855,543,543
1515817016,534,534
1515818905,526,526
1515820837,513,513
1515822859,506,506
1515824922,494,494
1515826909,492,492
1515828762,483,483
1515830793,476,476
1515832612,474,474
1515834642,464,464
1515836680,458,458
1515838834,455,455
1515840742,464,464
1515842666,464,464
1515844618,461,461
1515846536,433,433
1515848488,440,440
1515850372,447,447
1515852288,450,450
1515854207,447,447
1515856361,442,442
1515858298,439,439
1515860217,418,418
1515862174,423,423
1515864022,435,435
1515865955,439,439
1515867884,449,449
1515870088,459,459
1515872225,472,472
1515874194,475,475
1515876056,481,481
1515877988,489,489
1515879892,488,488
1515881872,491,491
1515883736,511,511
1515885659,341,341
1515887573,346,346
1515889515,348,348
1515891469,358,358
1515893359,365,365
1515895312,370,370
1515897263,369,369
1515899081,369,369
1515901077,370,370
1515902989,373,373
1515904958,1700,1700
1515906776,1699,1699
1515908755,1700,1700
1515910647,1699,1699
1515912858,1699,1699
1515916754,1698,1698
1515918563,1702,1702
1515920617,1705,1705
1515922587,1712,1712
1515924429,1714,1714
1515926233,1702,1702
1515928157,1707,1707
1515930048,1705,1705
1515932099,1705,1705
1515934129,1705,1705
1515936271,1700,1700
1515938198,1703,1703
1515940132,1707,1707
1515942087,1703,1703
1515943963,1701,1701
1515945893,1696,1696
1515947817,1698,1698
1515949742,1689,1689
1515951628,1693,1693
1515953567,1687,1687
1515955488,1681,1681
1515957413,1674,1674
1515959336,1683,1683
1515962120,1668,1668
1515964101,1654,1654
1515966072,1654,1654
1515967889,1654,1654
1515969896,1632,1632
1515972375,1630,1630
1515974596,1636,1636
1515976586,1638,1638
1515978390,1628,1628
1515980211,1619,1619
1515982272,1620,1620
1515984275,1621,1621
1515986304,1620,1620
1515988130,1620,1620
1515990166,1108,1108
1515991967,290,290
1515994014,289,289
1515996082,290,290
1515998026,289,289
1516003934,288,288
1516005866,286,286
1516007803,290,290
1516009968,293,293
1516011876,302,302
1516013790,300,300
1516015708,295,295
1516017521,295,295
1516019324,295,295
1516021307,293,293
1516023173,293,293
1516025479,294,294
1516027455,300,300
1516029289,302,302
1516031309,299,299
1516033147,296,296
1516035400,305,305
1516037326,320,320
1516039284,317,317
1516041167,319,319
1516043081,324,324
1516045001,314,314
1516047392,322,322
1516049309,340,340
1516051136,342,342
1516053154,337,337
1516055067,343,343
1516057293,351,351
1516059287,347,347
1516061338,342,342
1516063233,347,347
1516065163,366,366
1516067083,373,373
1516069005,377,377
1516070925,377,377
1516072829,381,381
1516074756,382,382
1516076680,383,383
1516078596,391,391
1516080520,399,399
1516082483,407,407
1516084361,417,417
1516086283,430,430
1516088214,440,440
1516090134,449,449
1516092045,450,450
1516094220,449,449
1516096111,447,447
1516098044,445,445
1516100173,453,453
1516102368,455,455
1516104297,457,457
1516106196,473,473
1516108370,564,564
1516110276,614,614
1516112215,664,664
1516114133,752,752
1516116052,759,759
1516117969,774,774
1516120687,796,796
1516122534,811,811
1516124434,816,816
1516126375,829,829
1516128271,838,838
1516130191,848,848
1516132103,846,846
1516134037,844,844
1516135969,844,844
1516137872,843,843
1516139793,846,846
1516141729,847,847
1516143722,845,845
1516145811,841,841
1516147698,840,840
1516149657,840,840
1516151806,835,835
1516153989,839,839
1516155876,837,837
1516157809,837,837
1516159702,838,838
1516161687,837,837
1516163555,836,836
1516165739,832,832
1516167640,833,833
1516169596,833,833
1516171726,831,831
1516173640,826,826
1516175561,825,825
1516177484,824,824
1516179687,825,825
1516182016,826,826
1516184153,826,826
1516186136,828,828
1516187940,827,827
1516189749,827,827
1516191870,827,827
1516193879,826,826
1516195822,829,829
1516197749,796,796
1516199666,762,762
