DateTime,AddedIPs,RemovedIPs
1515807016,20,17
1515809077,9,7
1515811117,13,18
1515812946,17,27
1515814857,12,21
1515817018,11,17
1515818907,14,20
1515820839,6,20
1515822860,15,14
1515824924,15,16
1515826910,19,23
1515828764,21,14
1515830795,20,16
1515832614,31,14
1515834643,15,17
1515836681,24,21
1515838836,20,20
1515840744,16,33
1515842668,5,36
1515844620,12,19
1515846538,5,28
1515848490,9,11
1515850374,24,17
1515852291,13,14
1515854209,12,27
1515856363,6,40
1515858302,8,27
1515860220,6,33
1515862177,17,45
1515864025,11,30
1515865958,11,42
1515867886,10,29
1515870090,9,31
1515872228,11,41
1515874196,21,35
1515876057,20,35
1515877990,16,65
1515879894,8,51
1515881873,11,35
1515883738,11,29
1515885661,14,22
1515887575,24,21
1515889518,19,14
1515891471,13,15
1515893361,8,21
1515895314,11,16
1515897265,6,19
1515899083,6,21
1515901079,12,24
1515902990,6,20
1515904960,2468,25
1515906778,2952,12
1515908757,8,17
1515910648,5,19
1515912860,4,26
1515914704,1,27
1515916758,6,45
1515918567,5,48
1515920620,2,43
1515922590,9,36
1515924432,3,28
1515926238,14,26
1515928160,10,14
1515930051,7,8
1515932102,10,9
1515934132,9,7
1515936273,6,27
1515938200,29,21
1515940136,50,16
1515942089,45,5
1515943965,33,9
1515945896,41,7
1515947819,50,13
1515949745,33,16
1515951630,22,7
1515953570,19,11
1515955491,6,7
1515957415,4,6
1515959338,18,17
1515962122,14,26
1515964103,8,20
1515966074,10,9
1515967891,4,9
1515969898,8,12
1515972377,13,17
1515974599,17,33
1515976589,17,21
1515978394,31,15
1515980214,32,11
1515982274,39,9
1515984277,42,5
1515986306,24,8
1515988132,6,13
1515990169,8,994
1515991969,7,2387
1515994016,4,2054
1515996084,9,6
1515998028,19,6
1515999867,26,6
1516001952,32,3
1516003936,24,6
1516005868,25,3
1516007805,24,5
1516009970,29,5
1516011878,20,9
1516013791,27,12
1516015710,29,11
1516017523,25,6
1516019326,15,7
1516021309,7,12
1516023175,8,7
1516025482,9,30
1516027458,12,36
1516029292,3,25
1516031312,19,31
1516033150,13,37
1516035403,15,38
1516037329,13,22
1516039287,13,20
1516041170,9,12
1516043084,10,6
1516045003,13,15
1516047395,23,11
1516049311,15,6
1516051138,15,10
1516053156,21,10
1516055071,18,7
1516057296,25,13
1516059290,14,10
1516061341,15,12
1516063236,15,14
1516065166,12,30
1516067085,18,31
1516069008,10,26
1516070927,17,42
1516072831,8,16
1516074758,4,7
1516076682,22,7
1516078598,4,5
1516080522,14,6
1516082485,15,9
1516084364,15,17
1516086285,15,32
1516088216,23,45
1516090136,18,25
1516092047,24,24
1516094222,23,42
1516096113,32,25
1516098046,31,25
1516100176,40,35
1516102370,38,44
1516104299,27,22
1516106198,27,12
1516108373,22,10
1516110279,26,9
1516112217,24,5
1516114134,12,12
1516116054,33,7
1516117971,38,15
1516120689,62,18
1516122537,20,9
1516124436,18,15
1516126377,26,12
1516128273,13,10
1516130193,10,11
1516132104,14,16
1516134039,16,14
1516135971,13,12
1516137874,15,18
1516139795,17,15
1516141732,9,18
1516143724,11,11
1516145814,12,23
1516147701,10,17
1516149659,16,14
1516151808,9,10
1516153993,6,19
1516155879,38,12
1516157812,47,11
1516159705,55,9
1516161690,55,7
1516163559,49,22
1516165744,57,8
1516167643,33,15
1516169599,34,11
1516171729,32,12
1516173643,10,16
1516175564,11,12
1516177488,14,18
1516179691,10,14
1516182020,12,21
1516184156,14,25
1516186140,16,25
1516187943,14,23
1516189752,14,21
1516191873,18,24
1516193883,23,22
1516195828,22,15
1516197752,22,15
1516199669,28,15
1516201545,21,14
1516203533,28,30
1516205399,28,38
1516207659,27,28
1516209638,37,19
1516211575,23,13
1516213476,32,18
1516215469,37,11
1516217329,31,7
1516219681,20,17
1516221773,19,15
1516223598,11,6
1516225630,12,13
1516227672,12,9
1516229719,13,14
1516231706,23,7
1516233552,23,14
1516235389,23,11
1516237382,23,10
1516239208,34,3
1516241180,20,10
1516243003,12,24
1516244952,6,18
1516247133,14,34
1516249032,19,39
1516250992,12,32
1516252961,12,35
1516254773,13,30
1516256741,19,29
1516258936,20,22
1516260956,19,13
1516262912,16,12
1516264743,17,11
1516266595,22,11
1516268530,19,12
1516270372,19,12
1516272842,31,15
1516274931,22,18
1516276938,32,22
1516279124,17,19
1516280946,9,20
1516282825,15,19
1516284831,8,27
1516286663,21,23
1516288711,17,36
1516290750,12,29
1516292995,14,33
1516294979,20,29
1516297003,22,26
1516299213,34,28
1516301421,24,41
1516303510,37,37
1516305557,35,31
1516307800,31,24
1516309669,14,13
1516311910,25,15
1516314078,15,14
1516315967,13,11
1516318148,18,28
1516320096,15,24
1516321972,18,29
1516323874,18,30
1516326050,23,35
1516328314,27,24
1516330375,21,19
1516332521,15,14
1516334853,5,23
1516337094,10,21
1516339263,9,13
1516341150,22,13
1516343337,12,18
1516345289,6,20
1516347156,16,18
1516349087,27,20
1516350976,14,16
1516353152,21,28
1516355067,12,18
1516357001,7,29
1516358911,9,24
1516360826,16,26
1516362742,7,40
1516364675,9,22
1516366744,22,13
1516368999,23,23
1516370944,31,13
1516372849,27,23
1516374767,29,18
1516376694,28,10
1516378849,40,11
1516380757,44,16
1516382983,61,27
1516385092,45,31
1516387006,28,31
1516388832,24,27
1516391020,35,32
1516392978,41,24
1516395173,29,35
1516397332,25,19
1516399325,9,18
1516401172,12,11
1516403324,14,15
1516405230,5,18
1516407159,17,18
1516409072,4,17
1516411001,14,20
1516412917,14,20
1516414896,8,21
1516416751,19,20
1516418725,31,16
1516420586,31,7
1516422484,34,6
1516424517,15,8
1516426611,25,17
1516428548,12,15
1516430458,9,6
1516432354,6,12
1516434515,12,21
1516436457,1327,25
1516438375,3004,18
1516440512,1131,15
1516442698,7,9
1516444951,18,7
1516447169,11,15
1516449150,12,6
1516451159,21,11
1516453008,18,18
1516454961,14,21
1516456893,10,25
1516459031,14,19
1516460902,11,22
1516462864,17,25
1516464774,34,37
1516466685,28,41
1516468644,14,48
1516470555,12,59
1516472451,6,36
1516474385,8,39
1516476293,9,32
1516478222,9,51
1516480144,9,43
1516482090,13,40
1516483968,11,25
1516485887,11,5
1516487781,6,9
1516489738,10,15
1516491659,11,6
1516493565,8,14
1516495493,12,3
1516497398,9,16
1516499328,9,12
1516501238,8,11
1516503146,11,19
1516505088,14,35
1516506993,33,42
1516508915,24,40
1516510899,45,26
1516512787,46,30
1516514672,39,22
1516516638,26,14
1516518506,34,8
1516520436,34,7
1516522380,22,2
1516524276,10,22
1516526220,10,6
1516528119,6,10
1516530234,7,18
1516532204,20,23
1516534104,11,13
1516536118,9,14
1516537940,10,27
1516539880,9,22
1516542037,16,1327
1516543959,6,2486
1516545878,10,1667
1516547786,5,15
1516549709,7,29
1516551622,14,60
1516553541,10,18
1516555483,7,11
1516557382,1,12
1516559302,8,9
1516561287,10,7
1516563146,5,5
1516565072,13,9
1516567006,5,10
1516568905,5,23
1516570822,11,13
1516572765,10,13
1516574690,12,8
1516576631,9,7
1516578449,8,13
1516580417,8,13
1516582602,21,15
1516584507,7,9
1516586516,8,12
1516588350,12,7
1516590284,10,11
1516592200,7,24
1516594105,4,36
1516596022,10,35
1516597963,8,46
1516599884,7,59
1516601796,9,41
1516603713,4,46
1516605626,9,55
1516607544,13,44
1516609477,9,31
1516611391,14,10
1516613309,5,5
1516615284,7,9
1516617137,8,8
1516619236,16,21
1516621214,11,10
1516623040,8,7
1516624842,6,7
1516626740,5,7
1516628798,15,19
1516630611,12,5
1516632533,23,10
1516634424,19,6
1516636368,15,12
1516638531,19,12
1516640484,13,11
1516642371,12,6
1516644273,25,3
1516646181,18,8
1516648135,36,11
1516650051,33,7
1516651970,37,10
1516653879,40,8
1516656615,46,13
1516658483,29,6
1516660375,37,9
1516662288,34,8
1516664090,37,10
1516666100,52,11
1516668027,43,8
1516669958,43,20
1516671876,41,8
1516673799,29,6
1516675708,37,11
1516677661,31,8
1516679544,23,4
1516681477,24,11
1516683398,24,6
1516685308,23,7
1516687306,19,12
1516689199,20,6
1516691073,27,6
1516692987,9,14
1516694905,26,5
1516696827,13,15
1516698757,5,10
1516700693,4,5
1516702588,15,9
1516704508,61,6
1516706436,9,16
1516708345,4,8
1516710303,9,8
1516712177,6,4
1516714165,7,5
1516716137,9,11
1516718218,17,25
1516720113,22,14
1516722038,31,19
1516723964,38,16
1516725888,38,14
1516727812,56,12
1516730759,84,28
1516732847,46,15
1516734769,153,15
1516736679,61,20
1516738648,46,13
1516740536,48,15
1516742495,50,20
1516744368,56,19
1516746310,41,12
1516748237,48,14
1516750751,60,20
1516752772,35,22
1516754683,24,14
1516756601,32,15
1516758523,24,19
1516760421,8,9
1516762335,13,12
1516764282,14,12
1516766176,6,14
1516768149,5,14
1516770104,13,11
1516771972,8,14
1516773902,10,13
1516775811,2,7
1516777730,5,10
1516779867,3,8
1516781757,7,17
1516783695,10,6
1516785704,6,4
1516787560,6,6
1516789497,5,18
1516791404,5,60
