DateTime,Entries,UniqueIPs
1513178925,4,4
1513181470,3,3
1513189257,4,4
1513202925,5,5
1513237714,6,6
1513258596,4,4
1513264347,3,3
1513276117,2,2
1513278087,3,3
1513279970,4,4
1513289599,3,3
1513293414,4,4
1513305159,5,5
1513322418,4,4
1513324331,5,5
1513365137,4,4
1513367043,3,3
1513368991,4,4
1513375294,5,5
1513379315,4,4
1513381223,5,5
1513392767,4,4
1513411019,3,3
1513434509,4,4
1513440783,5,5
1513452271,6,6
1513456124,5,5
1513459975,4,4
1513467663,3,3
1513469589,4,4
1513521649,3,3
1513527385,2,2
1513537293,3,3
1513539152,2,2
1513557188,1,1
1513568677,2,2
1513597966,3,3
1513607799,4,4
1513623723,3,3
1513648976,4,4
1513654691,3,3
1513684351,2,2
1513694466,1,1
1513700215,2,2
1513704174,3,3
1513705986,4,4
1513710101,5,5
1513717372,6,6
1513723103,7,7
1513735291,6,6
1513756355,7,7
1513776805,8,8
1513782560,9,9
1513786407,9,9
1513790570,9,9
1513793669,8,8
1513798654,7,7
1513800541,8,8
1513802481,7,7
1513806342,8,8
1513808627,7,7
1513818992,8,8
1513822830,9,9
1513828525,10,10
1513830517,11,11
1513834606,13,13
1513836530,15,15
1513842265,16,16
1513844466,15,15
1513852615,17,17
1513854535,18,18
1513858474,19,19
1513864381,18,18
1513866279,19,19
1513870371,20,20
1513874201,19,19
1513876355,18,18
1513878311,19,19
1513888677,19,19
1513895534,18,18
1513901673,20,20
1513907416,19,19
1513909296,18,18
1513913383,19,19
1513915465,19,19
1513917638,18,18
1513921457,16,16
1513923400,14,14
1513927252,15,15
1513929152,16,16
1513935155,17,17
1513939155,15,15
1513941130,15,15
1513944876,15,15
1513952437,14,14
1513956268,13,13
1513965154,12,12
1513968955,14,14
1513972791,14,14
1513986991,12,12
1513995166,13,13
1514000916,11,11
1514002827,12,12
1514006683,13,13
1514010505,14,14
1514014363,12,12
1514016270,13,13
1514022023,13,13
1514025868,14,14
1514027797,13,13
1514031887,13,13
1514041482,14,14
1514043392,14,14
1514045303,15,15
1514053095,16,16
1514054915,16,16
1514056830,15,15
1514058759,14,14
1514062593,15,15
1514066488,16,16
1514074146,17,17
1514080034,18,18
1514082274,17,17
1514084210,18,18
1514088087,19,19
1514089968,18,18
1514094044,18,18
1514095967,18,18
1514102048,16,16
1514105851,17,17
1514107798,16,16
1514111797,15,15
1514117891,14,14
1514119826,15,15
1514121690,16,16
1514129395,14,14
1514131449,13,13
1514139422,12,12
1514141341,11,11
1514143680,12,12
1514145689,13,13
1514147558,14,14
1514149508,13,13
1514153564,12,12
1514159243,12,12
1514161254,13,13
1514167093,12,12
1514170905,11,11
1514174801,10,10
1514176617,11,11
1514178652,12,12
1514180456,11,11
1514182564,10,10
1514192489,9,9
1514206578,8,8
1514208608,7,7
1514212576,8,8
1514214427,9,9
1514221288,10,10
1514228918,9,9
1514230841,8,8
1514234687,7,7
1514236593,8,8
1514246125,7,7
1514248092,6,6
1514263457,4,4
1514275289,6,6
1514285158,7,7
1514294692,8,8
1514300548,6,6
1514304363,7,7
1514308262,6,6
1514314908,7,7
1514319208,8,8
1514323042,8,8
1514326864,9,9
1514333483,10,10
1514344368,11,11
1514354498,12,12
1514360210,11,11
1514362124,11,11
1514365949,12,12
1514370026,11,11
1514376092,12,12
1514380116,12,12
1514382045,13,13
1514390212,13,13
1514395985,14,14
1514401908,13,13
1514403864,15,15
1514405820,14,14
1514409712,13,13
1514413400,12,12
1514417328,11,11
1514429314,10,10
1514441543,9,9
1514449231,8,8
1514453073,7,7
1514463416,6,6
1514465451,5,5
1514467458,4,4
1514477561,3,3
1514481616,2,2
1514489562,1,1
1514531552,1,1
1514617401,0,0
1514652989,1,1
1514668845,2,2
1514709869,3,3
1514740357,3,3
1514748015,4,4
1514754996,3,3
1514767288,4,4
1514773235,5,5
1514783564,6,6
1514797283,6,6
1514803237,7,7
1514821277,8,8
1514825060,9,9
1514827010,8,8
1514834927,7,7
1514853863,6,6
1514859876,5,5
1514869706,5,5
1514883687,4,4
1514890295,3,3
1514898397,4,4
1514906455,3,3
1514910293,2,2
1514935226,3,3
1514939079,4,4
1514947012,5,5
1514954688,6,6
1514956614,5,5
1514970084,6,6
1514983472,5,5
1514991399,6,6
1514999103,7,7
1515001014,8,8
1515006766,9,9
1515133541,5,5
1515143176,4,4
1515145035,3,3
1515147018,4,4
1515164697,5,5
1515182486,6,6
1515190127,7,7
1515192064,8,8
1515196622,9,9
1515200516,8,8
1515204288,7,7
1515216046,6,6
1515225699,8,8
1515233902,7,7
1515237788,8,8
1515247609,9,9
1515251419,9,9
1515253402,10,10
1515255323,14,14
1515257497,17,17
1515259313,20,20
1515261292,21,21
1515269074,20,20
1515274818,21,21
1515276685,20,20
1515278509,19,19
1515282355,18,18
1515286320,19,19
1515300144,20,20
1515311925,18,18
1515313795,19,19
1515323552,18,18
1515325436,19,19
1515335002,18,18
1515336954,18,18
1515338824,17,17
1515340780,15,15
1515342638,11,11
1515344511,8,8
1515346367,6,6
1515348433,8,8
1515354524,9,9
1515360288,8,8
1515372767,7,7
1515374828,8,8
1515386931,8,8
1515400311,7,7
1515402113,8,8
1515411940,7,7
1515415857,8,8
1515423687,7,7
1515429545,8,8
1515433332,8,8
1515435548,8,8
1515439434,9,9
1515441251,8,8
1515443305,9,9
1515456508,10,10
1515460353,9,9
1515468273,10,10
1515474455,9,9
1515480259,10,10
1515487947,9,9
1515489880,10,10
1515493674,11,11
1515501436,10,10
1515505249,11,11
1515507180,12,12
1515515065,13,13
1515517016,12,12
1515518939,11,11
1515521145,12,12
1515525190,11,11
1515530922,10,10
1515533128,11,11
1515534995,12,12
1515536967,13,13
1515543187,14,14
1515554674,15,15
1515564563,17,17
1515566454,16,16
1515576072,16,16
1515577959,17,17
1515579945,16,16
1515590131,17,17
1515592121,16,16
1515593973,16,16
1515597847,17,17
1515601683,16,16
1515605500,17,17
1515607315,15,15
1515617277,16,16
1515619106,16,16
1515621098,15,15
1515625149,14,14
1515629275,13,13
