DateTime,AddedIPs,RemovedIPs
1515807017,78,85
1515809078,16,102
1515811118,27,121
1515812946,18,97
1515814857,21,86
1515817019,34,88
1515818908,25,54
1515820840,28,83
1515822861,14,35
1515824925,26,37
1515826911,27,37
1515828764,20,39
1515830795,33,24
1515832615,23,21
1515834644,38,37
1515836682,37,108
1515838837,28,50
1515840744,44,30
1515842669,28,28
1515844621,29,117
1515846539,16,167
1515848491,38,111
1515850375,37,143
1515852291,22,155
1515854210,41,129
1515856364,34,144
1515858302,35,126
1515860220,34,122
1515862178,36,104
1515864026,34,99
1515865958,46,76
1515867887,517,33
1515870091,580,49
1515872228,549,31
1515874197,472,17
1515876058,350,22
1515877991,411,30
1515879894,294,33
1515881874,342,30
1515883738,263,19
1515885662,253,931
1515887575,235,1519
1515889518,224,21
1515891472,225,31
1515893362,180,81
1515895314,211,16
1515897266,170,27
1515899084,144,22
1515901080,158,16
1515902991,127,31
1515904962,1592,24
1515906779,120,21
1515908757,147,21
1515910649,124,22
1515912861,132,29
1515914705,88,21
1515916758,129,36
1515918567,96,21
1515920621,130,40
1515922591,93,36
1515924433,110,20
1515926238,284,38
1515928161,448,23
1515930054,430,34
1515932103,528,25
1515934133,540,23
1515936274,528,34
1515938201,489,31
1515940138,475,31
1515942090,483,34
1515943966,502,30
1515945897,484,34
1515947820,508,35
1515949746,470,36
1515951631,429,26
1515953571,426,301
1515955492,421,441
1515957416,367,448
1515959339,372,413
1515962123,516,569
1515964104,328,380
1515966075,336,317
1515967892,290,314
1515969899,324,282
1515972378,391,312
1515974600,363,271
1515976590,153,236
1515978395,130,181
1515980215,198,183
1515982275,220,217
1515984278,219,162
1515986307,207,145
1515988133,133,150
1515990170,32,800
1515991970,32,930
1515994018,57,151
1515996085,37,141
1515998029,30,108
1515999868,18,118
1516001953,50,108
1516003937,25,118
1516005869,41,112
1516007806,328,114
1516009971,488,98
1516011879,399,234
1516013792,427,362
1516015711,401,477
1516017524,367,449
1516019327,381,448
1516021310,397,512
1516023176,310,474
1516025483,438,574
1516027459,330,501
1516029292,235,490
1516031313,216,540
1516033151,212,471
1516035404,360,590
1516037330,206,468
1516039288,304,432
1516041171,236,428
1516043085,197,374
1516045004,330,418
1516047396,169,441
1516049312,192,356
1516051139,242,304
1516053157,136,368
1516055072,159,323
1516057297,253,317
1516059291,125,335
1516061342,104,334
1516063237,283,136
1516065166,141,157
1516067086,242,211
1516069009,194,207
1516070928,297,223
1516072832,163,188
1516074759,293,148
1516076683,267,24
1516078599,72,39
1516080523,58,51
1516082486,60,34
1516084365,53,25
1516086286,356,19
1516088217,228,48
1516090137,391,24
1516092048,266,41
1516094223,375,258
1516096114,324,390
1516098047,317,366
1516100177,339,461
1516102371,324,446
1516104300,422,387
1516106199,215,401
1516108374,470,409
1516110280,357,327
1516112218,316,353
1516114135,377,296
1516116055,291,248
1516117972,292,209
1516120690,402,332
1516122538,254,251
1516124437,249,204
1516126378,183,357
1516128274,302,163
1516130194,180,228
1516132105,299,257
1516134040,166,128
1516135972,162,204
1516137875,354,213
1516139796,128,129
1516141733,122,167
1516143725,287,215
1516145815,144,128
1516147702,117,92
1516149660,281,286
1516151809,140,141
1516153995,337,315
1516155880,154,133
1516157813,329,315
1516159706,430,164
1516161691,328,288
1516163560,337,253
1516165745,385,47
1516167644,229,53
1516169601,291,53
1516171730,337,140
1516173644,328,315
1516175565,262,312
1516177489,308,271
1516179692,364,367
1516182021,407,300
1516184157,404,373
1516186141,337,256
1516187945,256,281
1516189753,315,333
1516191875,320,319
1516193884,334,392
1516195831,311,207
1516197753,269,394
1516199670,350,266
1516201546,310,354
1516203534,346,229
1516205400,239,378
1516207660,313,270
1516209639,271,375
1516211576,324,204
1516213478,162,290
1516215470,272,238
1516217330,224,350
1516219682,209,357
1516221774,221,118
1516223599,161,309
1516225631,192,185
1516227673,155,137
1516229720,168,284
1516231707,209,155
1516233553,132,119
1516235390,177,241
1516237383,156,156
1516239209,206,189
1516241181,258,270
1516243004,248,293
1516244953,259,216
1516247134,298,456
1516249033,290,316
1516250993,354,260
1516252962,283,360
1516254774,305,317
1516256742,336,236
1516258937,347,338
1516260957,331,374
1516262913,303,337
1516264744,311,282
1516266596,299,296
1516268531,328,372
1516270373,316,370
1516272844,435,431
1516274932,344,331
1516276939,340,298
1516279125,358,348
1516280947,305,303
1516282826,452,349
1516284832,279,402
1516286664,243,313
1516288712,249,314
1516290751,263,340
1516292996,242,351
1516294980,222,321
1516297004,199,222
1516299214,234,296
1516301423,202,314
1516303512,158,215
1516305558,188,234
1516307801,173,235
1516309670,121,136
1516311912,229,241
1516314079,174,160
1516315968,118,155
1516318149,140,243
1516320097,101,137
1516321973,142,194
1516323875,140,162
1516326051,75,253
1516328315,60,316
1516330376,78,271
1516332522,65,315
1516334854,72,312
1516337095,55,372
1516339264,69,339
1516341150,53,330
1516343338,59,362
1516345290,61,319
1516347157,68,319
1516349088,57,293
1516350977,72,331
1516353153,62,366
1516355068,48,325
1516357002,72,343
1516358912,54,329
1516360827,65,334
1516362743,51,364
1516364676,68,298
1516366745,47,369
1516369001,81,339
1516370945,37,493
1516372850,52,257
1516374768,38,256
1516376695,44,240
1516378849,89,275
1516380758,55,209
1516382984,30,223
1516385093,36,235
1516387007,51,203
1516388833,40,144
1516391021,47,194
1516392979,42,188
1516395174,42,149
1516397333,43,184
1516399326,70,223
1516401173,46,136
1516403325,71,137
1516405231,2464,107
1516407160,44,128
1516409073,57,160
1516411002,35,106
1516412919,39,64
1516414897,45,50
1516416752,34,74
1516418726,38,75
1516420587,31,58
1516422484,39,38
1516424518,43,61
1516426611,53,78
1516428549,39,42
1516430459,42,57
1516432354,44,47
1516434516,49,75
1516436458,833,64
1516438376,697,57
1516440513,79,57
1516442699,79,60
1516444952,164,73
1516447170,89,66
1516449151,66,50
1516451160,124,61
1516453009,71,45
1516454962,97,64
1516456895,131,37
1516459032,68,51
1516460903,75,42
1516462865,91,39
1516464775,51,80
1516466686,66,48
1516468646,92,29
1516470556,42,26
1516472452,35,37
1516474386,40,41
1516476294,32,34
1516478223,40,42
1516480145,21,38
1516482091,35,27
1516483969,36,43
1516485888,24,56
1516487782,58,54
1516489739,86,70
1516491660,24,2539
1516493566,56,45
1516495494,21,56
1516497399,33,33
1516499329,28,35
1516501239,23,48
1516503147,22,39
1516505088,22,37
1516506993,25,32
1516508915,33,38
1516510900,30,44
1516512788,28,54
1516514673,38,35
1516516639,36,46
1516518508,31,45
1516520437,41,48
1516522381,27,36
1516524277,38,43
1516526220,35,63
1516528120,29,61
1516530235,145,122
1516532205,200,111
1516534105,201,63
1516536119,630,110
1516537941,199,92
1516539880,212,76
1516542038,398,941
1516543960,202,761
1516545878,215,50
1516547786,207,97
1516549710,214,76
1516551623,196,45
1516553542,221,88
1516555484,213,72
1516557383,191,32
1516559302,200,52
1516561287,209,32
1516563147,198,31
1516565073,200,40
1516567007,208,24
1516568905,200,36
1516570823,202,40
1516572766,201,21
1516574690,210,70
1516576632,197,76
1516578449,185,38
1516580418,109,42
1516582602,28,29
1516584507,22,38
1516586517,14,20
1516588351,19,20
1516590285,22,35
1516592200,22,16
1516594106,24,27
1516596023,29,29
1516597964,20,29
1516599884,28,31
1516601797,35,47
1516603713,37,37
1516605626,36,42
1516607545,33,40
1516609478,45,28
1516611392,65,36
1516613310,68,36
1516615285,51,25
1516617138,58,183
1516619237,102,213
1516621215,106,226
1516623040,49,600
1516624843,46,205
1516626741,50,208
1516628798,72,404
1516630611,57,190
1516632534,42,210
1516634424,49,200
1516636369,59,222
1516638532,53,232
1516640485,60,214
1516642372,41,209
1516644274,36,194
1516646181,50,202
1516648136,72,213
1516650051,63,202
1516651971,38,202
1516653879,47,205
1516656616,44,289
1516658484,43,195
1516660376,217,206
1516662288,34,191
1516664092,43,185
1516666101,50,185
1516668027,56,22
1516669958,50,24
1516671877,54,14
1516673799,48,17
1516675709,46,29
1516677661,69,22
1516679544,47,26
1516681478,63,32
1516683398,64,22
1516685309,60,32
1516687306,54,34
1516689199,65,34
1516691074,56,37
1516692988,59,36
1516694906,63,35
1516696828,56,51
1516698757,48,64
1516700693,77,52
1516702589,58,53
1516704509,70,56
1516706436,75,143
1516708346,56,50
1516710303,66,39
1516712177,65,52
1516714165,66,65
1516716138,87,67
1516718218,67,58
1516720113,75,47
1516722039,57,47
1516723964,60,52
1516725888,64,53
1516727812,59,50
1516730760,80,59
1516732848,53,57
1516734770,46,69
1516736680,51,57
1516738648,64,40
1516740537,81,46
1516742498,49,43
1516744369,54,31
1516746310,93,36
1516748238,47,37
1516750752,62,58
1516752772,55,130
1516754683,49,164
1516756601,43,57
1516758524,33,57
1516760422,48,46
1516762336,38,48
1516764282,63,72
1516766176,51,46
1516768149,47,67
1516770105,62,54
1516771973,41,82
1516773903,66,54
1516775812,75,67
1516777730,53,61
1516779868,60,75
