DateTime,AddedIPs,RemovedIPs
1513010679,1,1
1513012602,0,1
1513014713,1,0
1513017413,1,0
1513023146,1,0
1513028899,0,1
1513030847,0,2
1513034682,1,1
1513036587,0,1
1513038511,0,1
1513042374,1,0
1513044287,0,1
1513046189,2,0
1513051966,1,0
1513053884,1,0
1513055787,1,1
1513059646,1,0
1513061568,1,0
1513065415,2,1
1513067310,0,1
1513073093,1,0
1513075017,1,0
1513076909,2,0
1513078851,1,0
1513082679,1,0
1513084610,1,1
1513092276,1,0
1513096396,1,1
1513100392,1,1
1513102356,0,1
1513108129,1,0
1513110016,0,1
1513113859,1,0
1513117973,2,0
1513120142,1,1
1513132142,1,1
1513134097,1,0
1513138326,1,1
1513140268,1,1
1513142195,0,1
1513144106,2,0
1513145976,1,1
1513148207,0,1
1513152103,0,2
1513157814,1,0
1513159724,0,1
1513161718,1,1
1513163554,0,2
1513165479,0,1
1513167427,0,1
1513169342,1,1
1513171354,0,1
1513178926,0,1
1513181471,2,0
1513183481,0,1
1513195292,1,0
1513199084,0,1
1513202926,1,0
1513205078,0,2
1513206986,1,1
1513212746,0,1
1513214707,0,1
1513218521,0,1
1513220493,0,1
1513224284,0,1
1513226214,0,1
1513230044,0,2
1513231961,0,2
1513233896,1,1
1513237716,1,0
1513239624,1,0
1513241545,1,0
1513245391,1,1
1513248277,0,1
1513254454,1,1
1513262423,2,0
1513264348,1,0
1513266456,0,1
1513268284,1,1
1513274197,1,0
1513276118,0,1
1513279971,1,0
1513281887,0,1
1513289601,0,1
1513301259,1,0
1513320490,0,1
1513322419,0,1
1513326290,0,1
1513328101,0,1
1513331928,1,1
1513333949,1,0
1513341638,0,1
1513347851,0,2
1513349781,0,1
1513353697,0,1
1513359345,0,1
1513363264,1,0
1513367045,0,1
1513392768,1,0
1513394901,1,0
1513399014,1,0
1513411021,2,0
1513417066,0,1
1513420856,0,1
1513428498,1,0
1513438375,1,0
1513450354,1,1
1513463791,1,0
1513479398,0,1
1513481316,0,1
1513485170,0,1
1513496687,0,2
1513513962,0,1
1513523570,1,1
1513537294,0,1
1513551155,1,1
1513576371,1,0
1513580213,1,0
1513588155,1,0
1513597968,1,0
1513605881,1,0
1513609702,0,1
1513615461,1,0
1513625584,0,1
1513633484,1,0
1513645115,1,0
1513656513,1,0
1513662362,1,1
1513673795,0,1
1513686387,1,0
1513688490,0,1
1513692530,0,1
1513702127,0,1
1513720979,0,1
1513731524,0,1
1513742933,0,1
1513754477,0,1
1513756356,2,0
1513767162,1,0
1513772967,0,1
1513784498,0,1
1513804390,1,0
1513817074,0,1
1513818993,1,0
1513824690,1,0
1513834607,1,0
1513842266,0,2
1513854536,0,1
1513872296,2,0
1513895535,0,1
1513908760,0,1
1513912818,0,1
1513922508,0,1
1513938217,0,1
1513948240,1,0
1513957733,0,2
1513961562,1,0
1513965416,1,0
1513971226,2,0
1513975062,1,0
1513976927,1,0
1513986992,1,0
1513988936,1,0
1513991057,1,0
1514029716,1,0
1514047225,0,1
1514051069,0,1
1514056831,0,1
1514062594,0,1
1514064524,0,1
1514066489,2,0
1514072212,0,1
1514076058,1,1
1514077973,0,1
1514080036,1,0
1514082275,1,0
1514105852,1,0
1514107799,1,0
1514116006,0,1
1514137480,1,0
1514151651,0,1
1514153565,0,1
1514163242,0,1
1514167095,0,2
1514168916,1,0
1514180458,1,0
1514192491,0,1
1514194377,0,1
1514196286,1,0
1514200137,1,0
1514221289,1,0
1514225073,0,1
1514238436,3,0
1514255581,0,1
1514267086,0,1
1514277280,1,0
1514283104,0,1
1514286998,0,1
1514306215,1,1
1514310534,1,0
1514324949,0,3
1514326865,1,0
1514346293,1,0
1514364028,1,1
1514373886,1,0
1514384230,1,0
1514386365,1,0
1514392123,0,1
1514395987,1,1
1514397800,0,1
1514403865,1,0
1514413401,0,1
1514431269,0,1
1514437487,1,0
1514441545,1,0
1514445389,0,1
1514451160,0,1
1514461241,0,1
1514471822,0,1
1514483531,0,1
1514493414,0,1
1514497226,0,1
1514499148,1,0
1514509005,0,1
1514510923,2,0
