DateTime,AddedIPs,RemovedIPs
1512497053,0,1
1512606980,0,1
1512673111,1,0
1512783173,15,0
1512959817,2,0
1513003958,1,0
1513070190,0,1
1513521872,0,1
1513588157,0,1
1513610007,0,1
1513741973,1,0
1513764103,0,2
1513786411,1,0
1513830520,1,0
1513852618,2,0
1513985816,0,12
1514007885,0,3
1514117895,1,0
1514359754,0,1
1514469950,0,2
1514954351,0,1
1515133544,1,0
1515200053,0,2
1515664342,1,0
1515730140,15,0
1515818692,1,0
1515929113,0,5
1515951361,5,0
1516259815,0,1
1516348036,1,0
1516536542,1,0
1516624362,0,1
