DateTime,Entries,UniqueIPs
1512342217,995,995
1512429651,997,997
1512516735,999,999
1512604113,1004,1004
1512691293,1001,1001
1512778543,992,992
1512865721,983,983
1512952852,968,968
1513039961,967,967
1513127084,971,971
1513214325,971,971
1513301579,972,972
1513388659,972,972
1513476147,973,973
1513563152,974,974
1513650267,975,975
1513737667,975,975
1513824692,973,973
1513911876,970,970
1513998997,954,954
1514086133,933,933
1514173231,924,924
1514260366,919,919
1514347833,918,918
1514434850,920,920
1514522208,921,921
1514609742,922,922
1514697052,916,916
1514784354,911,911
1514871414,910,910
1514958541,910,910
1515176741,904,904
1515264033,901,901
1515351313,901,901
1515438360,900,900
1515526271,898,898
1515613409,895,895
1515700587,892,892
1515787716,889,889
1515875197,897,897
1515962851,919,919
1516050095,927,927
1516137422,933,933
1516224603,938,938
1516311914,948,948
1516399001,948,948
1516486121,948,948
1516573287,945,945
1516660379,947,947
1516747483,950,950
