DateTime,AddedIPs,RemovedIPs
1512430369,1,0
1512452477,0,1
1512497054,1,1
1512629064,0,1
1512717399,0,2
1512783174,0,1
1512827334,1,0
1513026258,1,1
1513224286,1,0
1513389883,0,1
1513434055,0,1
1513477998,0,1
1513632045,0,1
1513675997,1,0
1513697881,1,0
1513741973,1,0
1513764103,1,0
1513786411,1,0
1513830521,0,1
1513919310,1,0
1514007885,1,0
1514029933,1,0
1514051847,0,1
1514095971,1,0
1514139871,1,0
1514161730,1,0
1514205857,1,0
1514359755,0,1
1514382049,0,1
1514514028,0,1
1514579807,1,1
1514623961,0,1
1514756237,0,1
1514866374,1,0
1514932471,1,1
1514976373,1,0
1514998605,1,0
1515133544,2,2
1515155568,1,0
1515244610,1,0
1515266664,0,1
1515509154,1,0
1515553462,1,1
1515597851,0,2
1515752083,0,2
1515774305,1,0
1515818693,1,1
1515951362,1,0
1516061821,1,0
1516105966,0,2
1516171959,0,1
1516237780,0,1
1516259815,0,1
1516348036,0,1
1516370482,0,1
1516414901,0,1
1516459036,1,0
1516624362,1,0
1516668267,0,1
1516690333,1,0
