DateTime,AddedIPs,RemovedIPs
1515350429,1,2
1515352617,0,1
1515354529,0,1
1515358375,3,0
1515360291,1,0
1515362311,0,1
1515368928,0,1
1515372770,1,3
1515374833,1,0
1515380675,2,1
1515382754,0,1
1515384842,0,1
1515386934,1,1
1515388762,0,1
1515392643,2,1
1515394608,2,0
1515400314,0,1
1515402116,1,0
1515404229,1,0
1515406246,2,0
1515411943,0,1
1515413887,1,0
1515415860,1,1
1515419765,1,1
1515421594,2,2
1515423690,0,1
1515425673,0,1
1515427716,0,2
1515429548,0,1
1515431434,1,0
1515433335,2,0
1515437453,0,1
1515439437,2,0
1515441253,1,0
1515445314,1,1
1515447417,0,1
1515450491,1,0
1515452515,2,1
1515460355,5,1
1515462484,0,1
1515466455,0,1
1515468276,8,1
1515470492,0,1
1515472370,1,0
1515474458,0,2
1515476440,1,0
1515478429,1,0
1515480262,1,0
1515482208,0,1
1515484114,1,0
1515489883,1,1
1515493677,0,2
1515497632,2,0
1515499502,0,2
1515501439,1,1
1515503325,1,0
1515509154,0,2
1515511252,1,0
1515515067,1,0
1515517019,1,1
1515518941,1,2
1515521147,1,0
1515525193,0,2
1515527078,1,0
1515529068,4,1
1515530925,0,1
1515533131,1,0
1515534998,0,1
1515536970,1,0
1515538929,2,1
1515541066,3,0
1515543190,1,0
1515545103,1,0
1515547012,1,5
1515550834,1,0
1515552838,2,0
1515554677,0,7
1515556928,1,0
1515558776,2,1
1515560785,3,0
1515562623,1,1
1515564567,0,2
1515566457,1,1
1515568394,1,1
1515570278,0,1
1515572217,1,0
1515574109,1,0
1515576075,0,1
1515579948,1,1
1515582091,1,0
1515584055,2,2
1515585900,2,0
1515587837,1,1
1515590134,0,1
1515597852,1,0
1515601686,1,0
1515603528,0,1
1515605502,1,1
1515607318,1,1
1515609271,4,0
1515613411,0,1
1515615316,2,2
1515617281,0,1
1515621100,0,1
1515625152,1,2
1515627046,2,4
1515629277,1,1
1515631227,1,2
1515635551,1,0
1515637508,0,2
1515639390,1,2
1515641316,2,0
1515643294,1,1
1515645156,0,3
1515647572,3,4
1515649625,7,1
1515651611,1,0
1515655579,0,2
1515657726,1,1
1515659689,0,1
1515661788,0,1
1515665879,0,1
1515669860,0,1
1515671701,0,2
1515673563,1,1
1515675466,1,0
1515681235,5,1
1515683109,3,0
1515685298,0,1
1515687345,2,1
1515689577,1,0
1515695813,0,4
1515699648,1,0
1515701562,1,2
1515703473,2,0
1515711534,0,1
1515713509,1,1
1515715370,0,1
1515717176,0,1
1515719337,2,0
1515723417,0,1
1515725303,0,1
1515727253,0,1
1515729177,1,1
1515733494,1,2
1515735411,1,8
1515737567,0,2
1515739468,1,0
1515743328,2,2
1515745242,1,0
1515749079,1,1
1515752933,2,0
1515756770,1,0
1515758684,1,1
1515760834,1,1
1515762763,2,1
1515767083,1,5
1515769002,0,1
1515770911,0,1
1515772888,0,1
1515774777,0,2
1515776690,1,2
1515778587,1,0
1515784596,0,1
1515786783,0,1
1515788912,0,1
1515790895,1,0
1515792750,0,1
1515794574,0,2
1515798749,0,2
1515800947,0,1
1515805006,0,4
1515807019,0,1
1515809080,2,0
1515814860,2,1
