DateTime,Entries,UniqueIPs
1512342228,3,3
1512452478,4,4
1512805318,3,3
1512915692,2,2
1512937970,3,3
1512959818,2,2
1513048160,1,1
1513092280,2,2
1513257634,3,3
1513543962,2,2
1513588158,3,3
1513697881,2,2
1513764103,3,3
1513874666,2,2
1513897353,3,3
1513941422,4,4
1514095972,5,5
1514183898,4,4
1514271885,5,5
1514491960,4,4
1514623961,5,5
1514668039,7,7
1514756238,8,8
1514866375,7,7
1515266665,6,6
1515310368,5,5
1515332446,4,4
1515354530,3,3
1515376604,4,4
1515531535,3,3
1515597852,2,2
1515752084,3,3
1515929115,3,3
1515973757,3,3
1516039910,4,4
1516061822,5,5
1516281958,6,6
1516558383,5,5
1516602321,4,4
1516624363,5,5
1516646416,4,4
1516668267,3,3
1516734083,4,4
