DateTime,AddedIPs,RemovedIPs
1515762764,15,0
1515764853,16,0
1515767083,19,0
1515769003,16,0
1515770911,12,0
1515772889,13,0
1515774777,8,0
1515776691,14,0
1515778587,8,0
1515780544,0,1
1515782680,0,3
1515784596,0,7
1515786784,0,4
1515788913,0,3
1515790895,0,4
1515792751,0,2
1515794574,0,4
1515796611,0,3
1515798750,1,6
1515800948,0,6
1515802898,0,2
1515805006,0,6
1515807020,0,2
1515809080,0,7
1515811121,0,9
1515812949,0,8
1515814860,0,4
1515817021,0,11
1515842672,0,1
1515844624,0,8
1515846541,0,10
1515848494,0,12
1515850377,1,17
1515852294,0,18
1515854213,0,14
1515856366,0,15
1515858305,0,14
1515860223,0,9
1515862180,0,11
1515864028,0,12
1515865961,4,3
1515867890,154,0
1515870093,148,0
1515872231,155,0
1515874199,112,0
1515876061,82,0
1515877993,77,0
1515879897,54,0
1515881876,60,0
1515883741,47,0
1515885665,34,1
1515887578,29,0
1515889521,34,0
1515891474,25,0
1515893365,26,0
1515895317,23,0
1515897268,18,0
1515899087,14,0
1515901083,15,0
1515902993,14,0
1515904965,7,0
1515906784,12,0
1515908760,13,0
1515910652,13,0
1515912863,8,0
1515914709,7,0
1515916761,11,0
1515918570,3,0
1515920624,8,0
1515922594,6,0
1515924435,6,0
1515926241,3,0
1515928163,96,0
1515930056,101,0
1515932106,148,0
1515934136,126,0
1515936277,130,1
1515938203,107,0
1515940144,100,0
1515942092,104,0
1515943969,107,0
1515945899,111,0
1515947823,103,0
1515949748,96,0
1515951634,54,0
1515953574,64,108
1515955495,53,136
1515957419,57,135
1515959342,53,124
1515962126,52,139
1515964107,43,81
1515966078,30,60
1515967895,17,55
1515969902,20,46
1515972381,41,48
1515974603,28,34
1515976592,21,36
1515978398,14,18
1515980218,33,28
1515982278,40,24
1515984281,38,16
1515986310,25,15
1515988136,16,14
1515990173,0,8
1515991973,0,11
1515994022,0,16
1515996088,1,11
1515998032,0,11
1515999871,0,6
1516001956,0,12
1516003940,0,6
1516005871,0,4
1516007809,47,8
1516009974,116,6
1516011882,76,5
1516013795,95,54
1516015714,89,114
1516017527,65,123
1516019330,64,111
1516021312,55,117
1516023178,37,110
1516025486,38,117
1516027461,25,109
1516029295,24,102
1516031316,17,117
1516033154,18,99
1516035407,17,127
1516037333,14,67
1516039290,17,65
1516041174,14,55
1516043088,13,40
1516045007,18,67
1516047399,15,44
1516049315,12,41
1516051143,11,36
1516053161,8,28
1516055075,11,21
1516057301,17,19
1516059294,10,36
1516061346,10,26
1516063240,13,19
1516065170,7,19
1516067089,12,36
1516069012,13,35
1516070931,13,36
1516072836,13,23
1516074762,19,16
1516076686,14,0
1516078602,3,0
1516080527,2,1
1516082490,3,0
1516086289,19,0
1516088220,11,0
