DateTime,AddedIPs,RemovedIPs
1512401315,0,1
1512480035,1,0
1512481961,12,0
1512565504,0,13
1512576074,1,0
1512663639,8,1
1512748134,0,8
1512933428,2,0
1513017415,0,2
1513088537,5,0
1513173183,0,5
1513190917,2,0
1513276120,0,2
1513294516,9,0
1513353699,3,0
1513381226,0,6
1513438377,0,6
1513550431,6,0
1513635511,0,6
1513679494,1,0
1513681470,7,0
1513765059,0,8
1513988186,5,0
1514043395,3,0
1514076060,0,5
1514129398,0,3
1514151164,1,0
1514238438,7,1
1514323045,0,7
1514395077,5,0
1514479665,0,5
1514503091,4,0
1514505173,1,0
1514589995,1,4
1514592138,5,0
1514644846,5,0
1514677861,0,6
1514729352,0,6
1514831699,3,0
1514896374,1,0
1514919182,0,3
1514979640,0,1
1515011424,3,0
1515133546,2,3
1515166612,0,2
1515185805,2,0
1515249608,3,0
1515272828,0,1
1515335006,0,4
1515453406,1,0
1515455324,2,0
1515538382,0,3
1515619480,6,0
1515705440,0,6
1515782200,1,0
1515867890,0,1
1515877244,2,0
1515962127,0,2
1516038761,4,0
1516124441,0,4
1516145819,2,0
1516199673,4,0
1516233556,0,1
1516284835,0,5
1516312884,4,0
1516399932,16,4
1516401818,19,0
1516485892,0,15
1516489274,3,20
1516574223,0,3
1516646417,2,0
1516648592,4,0
1516732850,0,2
1516742921,2,4
