DateTime,AddedIPs,RemovedIPs
1514619465,0,2
1514623296,0,2
1514627334,1,0
1514644848,1,0
1514651569,1,1
1514653471,1,0
1514655401,1,0
1514657318,1,0
1514661419,0,1
1514663517,0,1
1514667542,1,0
1514677862,1,0
1514683967,16,0
1514685886,1,1
1514689986,0,1
1514699807,1,0
1514701753,1,0
1514703892,1,0
1514707730,1,0
1514713495,1,1
1514731251,0,1
1514737004,0,1
1514738917,0,1
1514740838,0,1
1514742758,1,0
1514744678,0,1
1514748530,1,0
1514754531,0,1
1514758975,1,0
1514765339,0,1
1514767293,1,0
1514769109,0,5
1514771198,0,5
1514773239,0,1
1514779508,1,0
1514785481,1,1
1514787416,0,1
1514789317,0,1
1514793158,0,1
1514799164,1,0
1514801100,0,1
1514803242,1,0
1514833005,1,0
1514834931,0,1
1514838750,1,0
1514843911,0,7
1514845976,0,1
1514853867,1,1
1514865885,1,1
1514871883,1,1
1514873793,1,0
1514879564,1,0
1514881723,2,0
1514885809,0,1
1514890299,1,1
1514896375,8,0
1514898401,1,0
1514908382,1,0
1514919184,1,1
1514925274,0,1
1514931415,3,0
1514937167,1,0
1514941011,0,1
1514947017,1,0
1514948930,1,0
1514952754,0,1
1514958546,0,1
1514960441,0,1
1514966216,0,1
1514968121,0,2
1514975809,0,1
1514981675,0,7
1514983476,0,1
1514985650,1,1
1514995293,7,1
1514997181,2,0
1514999107,7,0
1515004862,1,0
1515006770,1,0
1515018544,0,3
1515133547,11,23
1515135394,1,0
1515141186,1,0
1515157110,1,0
1515158919,0,1
1515160889,1,0
1515162781,1,0
1515164701,1,1
1515172513,1,1
1515180527,1,0
1515182490,0,1
1515186294,1,0
1515190131,1,0
1515200522,0,1
1515202372,1,0
1515210034,0,2
1515211965,0,2
1515216051,0,1
1515217952,0,1
1515221806,0,1
1515227815,0,1
1515230108,25,0
1515239649,1,0
1515243728,0,1
1515251424,1,1
1515259318,0,1
1515273639,0,1
1515275536,0,1
1515289005,0,1
1515290939,2,0
1515296892,1,0
1515316692,1,28
1515320529,1,0
1515326466,0,1
1515328597,1,0
1515330506,2,0
1515334346,1,0
1515340131,1,0
1515349711,1,0
1515357399,1,0
1515367931,1,0
1515369894,1,0
1515371835,1,0
1515373733,0,1
1515375704,1,1
1515377566,0,1
1515381652,1,0
1515383571,0,1
1515389558,1,0
1515395806,1,0
1515397715,1,0
1515401548,1,0
1515403742,0,1
1515405682,0,1
1515407562,1,0
1515411401,2,0
1515415236,0,1
1515417162,0,2
1515420985,1,1
1515422905,1,0
1515426763,0,1
1515436833,0,1
1515442616,0,1
1515444521,3,0
1515454494,0,1
1515456513,0,1
1515458473,1,1
1515460357,0,1
1515466457,1,0
1515468278,2,1
1515470495,2,0
