DateTime,AddedIPs,RemovedIPs
1515807021,0,14
1515809082,2,10
1515811122,8,19
1515812950,5,12
1515814861,3,17
1515817023,1,16
1515818911,3,0
1515820843,2,0
1515822865,2,2
1515824929,0,1
1515826915,4,4
1515828768,3,4
1515830799,4,4
1515832618,0,3
1515834648,0,5
1515836686,4,12
1515838840,2,2
1515840751,4,2
1515842673,2,3
1515844625,0,21
1515846543,0,39
1515848495,3,10
1515850380,2,25
1515852296,1,26
1515854215,3,16
1515856369,6,23
1515858307,9,27
1515860225,2,10
1515862183,3,20
1515864032,3,13
1515865963,6,9
1515867892,35,6
1515870096,39,4
1515872233,45,3
1515874201,50,2
1515876062,31,6
1515877994,38,5
1515879898,24,1
1515881878,38,4
1515883742,20,1
1515885666,37,6
1515887579,25,2
1515889522,30,4
1515891475,25,4
1515893366,19,0
1515895318,24,2
1515897269,23,10
1515899088,13,4
1515901084,20,3
1515902995,22,1
1515904967,17,2
1515906787,12,1
1515908762,11,3
1515910654,17,0
1515912865,12,4
1515914711,12,3
1515916763,16,3
1515918573,13,4
1515920626,12,1
1515922596,6,3
1515924438,7,3
1515926243,14,0
1515928166,14,6
1515930059,14,1
1515932108,19,0
1515934138,21,2
1515936279,20,3
1515938205,16,1
1515940148,16,2
1515942095,16,5
1515943971,7,6
1515945902,19,4
1515947826,19,2
1515949751,15,2
1515951636,16,4
1515953576,19,26
1515955497,17,29
1515957421,10,50
1515959344,14,36
1515962129,17,54
1515964110,12,42
1515966081,11,25
1515967898,5,35
1515969905,14,24
1515972384,13,45
1515974605,15,25
1515976595,11,29
1515978400,6,22
1515980220,15,22
1515982279,14,31
1515984282,14,17
1515986312,14,16
1515988137,5,17
1515990174,6,21
1515991974,5,11
1515994023,3,17
1515996089,10,14
1515998033,3,11
1515999872,2,12
1516001957,11,13
1516003942,4,16
1516005873,7,16
1516007810,37,8
1516009975,75,7
1516011883,55,14
1516013796,68,10
1516015716,77,16
1516017528,74,15
1516019332,73,21
1516021314,84,11
1516023180,63,16
1516025488,71,20
1516027464,47,17
1516029297,40,13
1516031318,29,15
1516033156,29,16
1516035409,38,23
1516037336,15,18
1516039292,26,17
1516041176,26,17
1516043090,15,8
1516045009,35,18
1516047402,19,16
1516049318,28,7
1516051146,33,17
1516053163,10,6
1516055078,19,7
1516057303,36,14
1516059297,9,15
1516061348,13,10
1516063243,35,11
1516065172,11,11
1516067092,26,13
1516069014,27,14
1516070934,35,13
1516072838,25,13
1516074764,38,6
1516076689,32,5
1516078605,4,6
1516080529,3,1
1516082492,2,7
1516084370,4,1
1516086291,33,3
1516088222,29,11
1516090143,36,4
