DateTime,AddedIPs,RemovedIPs
1512401316,0,3
1512480036,6,0
1512577003,5,3
1512663641,1,5
1512748135,0,4
1512933430,1,0
1513017417,0,1
1513087971,10,0
1513171739,0,10
1513190668,1,0
1513276618,0,1
1513353343,3,0
1513438379,0,3
1513550431,9,0
1513635513,0,9
1513679495,11,0
1513986995,1,10
1513988939,2,0
1514043396,2,0
1514074151,0,2
1514076062,0,2
1514129400,0,2
1514151165,5,0
1514238439,10,3
1514323047,0,1
1514339120,6,9
1514395990,4,0
1514425494,0,6
1514479666,0,6
1514503093,4,0
1514589997,5,2
1514644848,6,0
1514675814,0,3
1514729353,0,10
1514831700,9,0
1514896376,5,0
1514919184,0,7
1514979642,0,7
1515010803,5,0
1515133548,6,4
1515166614,0,1
1515185502,1,4
1515249610,5,0
1515335007,0,8
1515364870,4,0
1515450493,0,4
1515453406,8,0
1515539321,0,8
1515619482,5,0
1515663885,1,0
1515707571,0,5
1515749082,0,1
1515779783,14,0
1515781735,1,0
1515865963,0,15
1515876755,1,0
1515879112,3,0
1515962129,0,4
1516038273,4,0
1516040212,6,0
1516123472,0,10
1516143731,2,0
1516145821,3,0
1516199676,11,0
1516231713,0,1
1516233558,0,1
1516284838,0,14
1516312427,14,0
1516398034,1,0
1516399933,1,14
1516483974,0,1
1516488992,5,1
1516491273,6,0
1516574224,0,11
1516614532,2,0
1516648593,9,0
1516700699,0,2
1516730764,0,9
1516741277,6,0
