DateTime,Entries,UniqueIPs
1512342250,3,3
1512401316,0,0
1512480036,6,6
1512577003,8,8
1512663641,4,4
1512748135,0,0
1512933430,1,1
1513017417,0,0
1513087971,10,10
1513171739,0,0
1513190668,1,1
1513276618,0,0
1513353343,3,3
1513438379,0,0
1513550431,9,9
1513635513,0,0
1513679495,11,11
1513986995,2,2
1513988939,4,4
1514043396,6,6
1514074151,4,4
1514076062,2,2
1514129400,0,0
1514151165,5,5
1514238439,12,12
1514323047,11,11
1514339120,8,8
1514395990,12,12
1514425494,6,6
1514479666,0,0
1514503093,4,4
1514589997,7,7
1514644848,13,13
1514675814,10,10
1514729353,0,0
1514831700,9,9
1514896376,14,14
1514919184,7,7
1514979642,0,0
1515010803,5,5
1515133548,7,7
1515166614,6,6
1515185502,3,3
1515249610,8,8
1515335007,0,0
1515364870,4,4
1515450493,0,0
1515453406,8,8
1515539321,0,0
1515619482,5,5
1515663885,6,6
1515707571,1,1
1515749082,0,0
1515779783,14,14
1515781735,15,15
1515865963,0,0
1515876755,1,1
1515879112,4,4
1515962129,0,0
1516038273,4,4
1516040212,10,10
1516123472,0,0
1516143731,2,2
1516145821,5,5
1516199676,16,16
1516231713,15,15
1516233558,14,14
1516284838,0,0
1516312427,14,14
1516398034,15,15
1516399933,2,2
1516483974,1,1
1516488992,5,5
1516491273,11,11
1516574224,0,0
1516614532,2,2
1516648593,11,11
1516700699,9,9
1516730764,0,0
1516741277,6,6
