DateTime,AddedIPs,RemovedIPs
1515807022,90,97
1515809083,96,77
1515811123,94,116
1515812951,134,66
1515814862,99,114
1515817024,123,102
1515818912,100,66
1515820844,99,1082
1515822866,91,1511
1515824930,102,76
1515826916,104,91
1515828769,104,111
1515830800,83,86
1515832619,98,76
1515834649,112,89
1515836687,99,93
1515838841,495,115
1515840752,2219,95
1515842674,1877,84
1515844626,118,69
1515846544,93,69
1515848496,87,103
1515850381,90,98
1515852297,107,93
1515854216,96,102
1515856370,105,152
1515858308,136,102
1515860226,89,878
1515862184,125,88
1515864033,106,109
1515865964,123,109
1515867894,80,111
1515870097,84,127
1515872234,89,128
1515874201,83,100
1515876063,89,117
1515877995,81,116
1515879899,131,92
1515881878,100,129
1515883743,87,114
1515885666,170,88
1515887580,72,100
1515889523,265,95
1515891476,74,74
1515893367,72,87
1515895319,90,104
1515897270,93,83
1515899089,76,144
1515901085,94,83
1515902996,80,86
1515904968,72,135
1515906788,74,90
1515908763,78,99
1515910655,79,90
1515912866,123,126
1515914713,84,101
1515916764,131,94
1515918574,70,79
1515920627,83,135
1515922597,98,109
1515924439,78,91
1515926244,61,1607
1515928167,796,2071
1515930062,83,920
1515932110,85,104
1515934139,100,78
1515936280,95,108
1515938206,97,93
1515940150,108,101
1515942096,107,110
1515943972,93,126
1515945903,97,101
1515947827,104,126
1515949752,92,101
1515951638,80,144
1515953577,82,86
1515955498,91,73
1515957423,133,121
1515959346,90,77
1515962130,166,138
1515964112,99,104
1515966082,87,130
1515967899,117,91
1515969906,93,101
1515972385,98,214
1515974606,86,73
1515976596,68,268
1515978401,90,77
1515980221,87,85
1515982280,92,94
1515984283,92,92
1515986313,121,94
1515988138,91,70
1515990176,79,86
1515992167,79,74
1515994024,74,82
1515996090,98,91
1515998034,91,78
1515999873,72,110
1516001958,140,91
1516003942,92,134
1516005874,129,84
1516007811,68,85
1516009976,79,107
1516011884,89,85
1516013797,87,830
1516015717,69,96
1516017529,81,82
1516019333,90,83
1516021315,110,97
1516023181,116,85
1516025489,115,118
1516027465,115,118
1516029298,97,101
1516031319,892,114
1516033157,4327,81
1516035410,259,101
1516037337,77,73
1516039293,91,102
1516041176,87,77
1516043091,2109,112
1516045010,3879,96
1516047403,4811,129
1516049319,3683,85
1516051147,3361,78
1516053164,2360,98
1516055079,80,120
1516057304,143,89
1516059298,74,73
1516061349,83,93
1516063244,63,81
1516065173,78,93
1516067093,91,84
1516069016,70,83
1516070935,83,82
1516072839,66,104
1516074766,95,97
1516076690,387,90
1516078606,618,71
1516080531,542,64
1516082494,142,76
1516084371,71,73
1516086292,67,67
1516088223,86,126
1516090144,128,72
1516092054,86,121
1516094230,142,70
1516096121,73,78
1516098054,70,90
1516100183,98,83
1516102378,374,82
1516104307,103,75
1516106206,70,79
1516108380,102,90
1516110287,85,90
1516112225,85,76
1516114142,64,91
1516116061,97,96
1516117978,120,1000
1516120697,131,2529
1516122544,83,77
1516124443,65,73
1516126385,69,71
1516128281,86,116
1516130201,87,88
1516132113,69,127
1516134047,105,95
1516135980,83,125
1516137882,64,99
1516139802,72,70
1516141742,81,89
1516143732,85,161
1516145822,65,86
1516147710,559,76
1516149667,1465,68
1516151816,199,85
1516154006,80,107
1516155887,73,65
1516157820,76,92
1516159713,82,75
1516161698,72,76
1516163566,76,530
1516165752,102,661
1516167650,73,468
1516169608,69,77
1516171737,78,65
1516173651,73,79
1516175573,489,128
1516177496,76,102
1516179699,117,101
1516182028,95,144
1516184165,124,88
1516186148,81,80
1516187953,60,2008
1516189761,79,3929
1516191883,87,4531
1516193894,2907,4181
1516195840,3411,3808
1516197759,1662,3212
1516199677,1278,65
1516201553,1114,85
1516203541,1197,135
1516205407,2126,115
1516207667,3698,107
1516209646,2987,89
1516211583,2972,75
1516213485,2786,83
1516215476,3016,99
1516217337,552,76
1516219689,145,96
1516221781,85,133
1516223605,137,75
1516225638,119,100
1516227679,191,99
1516229727,94,78
1516231714,85,79
1516233560,296,334
1516235396,174,1605
1516237390,882,830
1516239216,900,87
1516241188,881,83
1516243011,870,91
1516244960,920,81
1516247142,908,85
1516249040,715,104
1516251000,120,79
1516252969,89,115
1516254781,89,56
1516256751,84,66
1516258946,96,93
1516260965,76,78
1516262921,72,663
1516264752,97,111
1516266604,162,75
1516268539,108,94
1516270381,66,87
1516272851,141,114
1516274940,71,72
1516276947,87,114
1516279133,78,86
1516280956,71,87
1516282834,69,86
1516284840,68,94
1516286672,84,95
1516288720,96,76
1516290759,80,109
1516293006,112,129
1516294989,108,96
1516297012,118,119
1516299222,2763,107
1516301432,7016,86
1516303522,3415,97
1516305567,88,141
1516307810,101,85
1516309680,86,520
1516311925,132,4611
1516314086,81,3242
1516315976,184,2184
1516318158,187,2672
1516320104,65,2560
