DateTime,Entries,UniqueIPs
1515807022,9785,9785
1515809083,9804,9804
1515811123,9782,9782
1515812951,9850,9850
1515814862,9835,9835
1515817024,9856,9856
1515818912,9890,9890
1515820844,8907,8907
1515822866,7487,7487
1515824930,7513,7513
1515826916,7526,7526
1515828769,7519,7519
1515830800,7516,7516
1515832619,7538,7538
1515834649,7561,7561
1515836687,7567,7567
1515838841,7947,7947
1515840752,10071,10071
1515842674,11864,11864
1515844626,11913,11913
1515846544,11937,11937
1515848496,11921,11921
1515850381,11913,11913
1515852297,11927,11927
1515854216,11921,11921
1515856370,11874,11874
1515858308,11908,11908
1515860226,11119,11119
1515862184,11156,11156
1515864033,11153,11153
1515865964,11167,11167
1515867894,11136,11136
1515870097,11093,11093
1515872234,11054,11054
1515874201,11037,11037
1515876063,11009,11009
1515877995,10974,10974
1515879899,11013,11013
1515881878,10984,10984
1515883743,10957,10957
1515885666,11039,11039
1515887580,11011,11011
1515889523,11181,11181
1515891476,11181,11181
1515893367,11166,11166
1515895319,11152,11152
1515897270,11162,11162
1515899089,11094,11094
1515901085,11105,11105
1515902996,11099,11099
1515904968,11036,11036
1515906788,11020,11020
1515908763,10999,10999
1515910655,10988,10988
1515912866,10985,10985
1515914713,10968,10968
1515916764,11005,11005
1515918574,10996,10996
1515920627,10944,10944
1515922597,10933,10933
1515924439,10920,10920
1515926244,9374,9374
1515928167,8099,8099
1515930062,7262,7262
1515932110,7243,7243
1515934139,7265,7265
1515936280,7252,7252
1515938206,7256,7256
1515940150,7263,7263
1515942096,7260,7260
1515943972,7227,7227
1515945903,7223,7223
1515947827,7201,7201
1515949752,7192,7192
1515951638,7128,7128
1515953577,7124,7124
1515955498,7142,7142
1515957423,7154,7154
1515959346,7167,7167
1515962130,7195,7195
1515964112,7190,7190
1515966082,7147,7147
1515967899,7173,7173
1515969906,7165,7165
1515972385,7049,7049
1515974606,7062,7062
1515976596,6862,6862
1515978401,6875,6875
1515980221,6877,6877
1515982280,6875,6875
1515984283,6875,6875
1515986313,6902,6902
1515988138,6923,6923
1515990176,6916,6916
1515992167,6921,6921
1515994024,6913,6913
1515996090,6920,6920
1515998034,6933,6933
1515999873,6895,6895
1516001958,6944,6944
1516003942,6902,6902
1516005874,6947,6947
1516007811,6930,6930
1516009976,6902,6902
1516011884,6906,6906
1516013797,6163,6163
1516015717,6136,6136
1516017529,6135,6135
1516019333,6142,6142
1516021315,6155,6155
1516023181,6186,6186
1516025489,6183,6183
1516027465,6180,6180
1516029298,6176,6176
1516031319,6954,6954
1516033157,11200,11200
1516035410,11358,11358
1516037337,11362,11362
1516039293,11351,11351
