DateTime,Entries,UniqueIPs
1512342266,640,640
1512386222,635,635
1512452484,635,635
1512497056,634,634
1512518928,635,635
1512585011,648,648
1512606983,647,647
1512673114,646,646
1512717402,110,110
1512739388,119,119
1512761323,120,120
1512871513,121,121
1512937972,80,80
1512959820,79,79
1512981880,82,82
1513003961,83,83
1513026262,82,82
1513070196,149,149
1513092287,161,161
1513136210,160,160
1513158282,159,159
1513180123,142,142
1513224292,154,154
1513279480,155,155
1513301591,158,158
1513323630,158,158
1513434059,157,157
1513565813,156,156
1513588164,155,155
1513632048,156,156
1513654110,157,157
1513830527,144,144
1513852626,142,142
1513897358,138,138
1513919313,137,137
1513985819,136,136
1514073727,137,137
1514095977,138,138
1514117904,139,139
1514139875,138,138
1514161734,137,137
1514205859,125,125
1514227970,70,70
1514249933,23,23
1514271887,25,25
1514293741,26,26
1514315806,25,25
1514337773,24,24
1514359757,39,39
1514382056,67,67
1514469952,68,68
1514491962,68,68
1514514031,68,68
1514602021,69,69
1514623964,70,70
1514712104,69,69
1514756241,69,69
1514778290,71,71
1514822214,1807,1807
1514844316,1806,1806
1514866377,1805,1805
1514932475,1804,1804
1514954354,1794,1794
1515133551,1795,1795
1515155571,1803,1803
1515177776,1806,1806
1515200057,1829,1829
1515222403,1832,1832
1515244614,2102,2102
1515266668,3385,3385
1515354538,3384,3384
1515376607,3385,3385
1515398696,3383,3383
1515420754,1982,1982
1515509160,1983,1983
1515575625,1984,1984
1515597860,1986,1986
1515686211,1987,1987
1515708115,1989,1989
1515730146,1988,1988
1515752087,1988,1988
1515774311,1984,1984
1515796617,1980,1980
1515818696,1954,1954
1515840755,2186,2186
1515862694,598,598
1515906790,599,599
1516017894,583,583
1516128028,584,584
1516150120,582,582
1516171963,581,581
1516193895,585,585
1516215883,587,587
1516237784,588,588
1516259821,586,586
1516281963,587,587
1516303959,2388,2388
1516370488,2388,2388
1516392629,2715,2715
1516414910,2717,2717
1516437049,2717,2717
1516459049,2435,2435
1516635398,2434,2434
1516657464,2436,2436
1516734548,2437,2437
1516778721,2436,2436
