DateTime,AddedIPs,RemovedIPs
1512429661,0,101
1512604121,0,9
1512691309,0,3
1512778557,0,754
1513039970,2,5
1513127092,5,1
1513214332,0,1
1513301592,0,198
1513388665,0,1337
1513476154,0,1
1513563158,0,4
1513650275,1,0
1513911883,1,0
1513999008,0,1
1514086143,1,0
1514173235,0,1
1514260371,0,1
1514522212,1,0
1514609751,1,1
1514697058,0,396
1514784360,1,0
1514871419,1063,0
1514958550,0,17
1515176750,0,4
1515264038,1179,0
1515613422,1,1
1515700592,1,0
1515875204,290,1
1515962858,0,1
1516224624,2,0
1516311929,1,0
1516399008,173,0
1516573294,0,1
1516747489,0,1
