DateTime,AddedIPs,RemovedIPs
1515802903,3,2
1515805011,6,5
1515807024,3,2
1515809084,5,4
1515811125,5,8
1515812953,9,2
1515814864,8,3
1515817026,6,1
1515818914,5,3
1515820846,3,10
1515822867,7,1
1515824932,5,7
1515826918,5,8
1515828770,6,3
1515830801,0,4
1515832621,8,7
1515834651,10,5
1515836688,2,5
1515838843,4,7
1515840756,5,3
1515842676,7,4
1515844628,3,6
1515846546,1,2
1515848498,5,6
1515850382,6,4
1515852299,2,9
1515854218,3,4
1515856371,6,7
1515858310,1,7
1515860228,3,7
1515862186,7,6
1515864035,3,3
1515865965,6,7
1515867896,10,3
1515870098,8,7
1515872236,4,2
1515874203,7,3
1515876065,5,4
1515877996,6,4
1515879900,4,6
1515881880,1,3
1515883744,1,7
1515885668,2,5
1515887581,10,4
1515889525,9,5
1515891478,9,6
1515893368,4,3
1515895321,6,4
1515897272,8,6
1515899091,6,7
1515901087,6,10
1515902998,5,4
1515904969,6,6
1515906792,5,2
1515908765,9,6
1515910657,8,3
1515912868,9,6
1515914716,4,4
1515916766,7,1
1515918575,6,7
1515920629,11,9
1515922599,8,3
1515924441,6,1
1515926246,6,7
1515928168,3,7
1515930063,8,4
1515932112,9,0
1515934141,5,2
1515936282,7,5
1515938208,2,3
1515940159,7,3
1515942097,11,3
1515943974,6,3
1515945905,8,2
1515947828,4,9
1515949754,6,2
1515951639,3,3
1515953579,4,7
1515955500,12,8
1515957426,7,4
1515959347,5,4
1515962132,5,7
1515964114,5,4
1515966083,3,2
1515967901,2,1
1515969908,4,0
1515972387,5,0
1515974608,4,10
1515976598,5,4
1515978403,8,5
1515980223,6,2
1515982281,2,5
1515984285,7,6
1515986315,5,0
1515988140,5,6
1515990177,5,42
1515992168,7,8
1515994026,1,4
1515996092,7,7
1515998036,5,5
1515999875,3,5
1516001960,4,2
1516003944,7,3
1516005875,3,4
1516007813,5,3
1516009977,4,7
1516011886,6,3
1516013800,7,5
1516015718,5,2
1516017531,5,8
1516019335,5,4
1516021316,4,5
1516023183,5,4
1516025491,4,4
1516027466,6,8
1516029300,6,2
1516031321,5,11
1516033159,4,4
1516035412,0,2
1516037339,1,2
1516039295,0,4
1516041178,3,7
1516043092,8,7
1516045012,5,6
1516047404,2,5
1516049321,6,3
1516051150,0,5
1516053166,6,2
1516055081,6,4
1516057306,4,3
1516059300,5,1
1516061351,3,5
1516063246,5,7
1516065175,3,5
1516067095,7,6
1516069018,3,1
1516070937,7,7
1516072841,3,5
1516074768,6,66
1516076692,6,6
1516078608,4,5
1516080533,1,1
1516082496,5,6
1516084373,3,6
1516086294,5,4
1516088225,5,4
1516090146,4,6
1516092056,4,3
1516094232,5,5
1516096123,3,4
1516098056,3,4
1516100185,3,9
1516102380,6,6
1516104309,5,5
1516106208,8,7
1516108382,5,4
1516110289,12,4
1516112227,3,4
1516114144,6,8
1516116064,3,7
1516117980,6,5
