DateTime,AddedIPs,RemovedIPs
1515450496,1,0
1515452521,0,1
1515456516,0,1
1515458476,1,2
1515460360,0,2
1515462491,0,1
1515464447,0,1
1515466461,0,2
1515472375,1,0
1515474463,1,1
1515476445,1,0
1515478434,1,1
1515480267,1,3
1515482213,3,0
1515485991,1,0
1515487954,0,2
1515489887,0,3
1515491793,0,1
1515493682,0,1
1515499507,0,1
1515501443,0,1
1515503329,0,1
1515507186,1,1
1515513206,2,0
1515517023,0,1
1515518945,0,1
1515521151,1,0
1515523239,0,4
1515525198,0,3
1515527084,2,1
1515529073,1,0
1515535003,1,0
1515536976,0,1
1515538935,3,0
1515541072,1,0
1515545110,1,1
1515547019,1,0
1515548948,1,0
1515556935,1,0
1515558783,0,1
1515560793,1,1
1515562630,0,1
1515564572,1,1
1515566462,1,1
1515568399,0,3
1515570284,2,0
1515572223,2,1
1515576082,1,0
1515577969,2,0
1515584062,1,0
1515590141,1,0
1515592130,1,1
1515595831,1,0
1515597863,2,0
1515599673,1,2
1515601692,2,0
1515607324,2,1
1515609278,1,0
1515613425,1,2
1515615322,3,1
1515621105,1,1
1515625157,1,3
1515629283,0,1
1515631232,1,1
1515633678,0,1
1515635568,0,1
1515637516,2,0
1515639396,2,0
1515641322,1,0
1515643313,0,1
1515645163,1,0
1515647578,0,1
1515649630,1,0
1515651617,0,1
1515653582,2,1
1515657732,2,3
1515659694,0,1
1515661793,1,1
1515663887,0,2
1515665884,1,0
1515669866,0,1
1515673569,1,0
1515675471,0,1
1515677332,2,0
1515679338,0,1
1515683114,0,2
1515685302,0,2
1515687349,2,1
1515689581,0,1
1515691701,1,0
1515693916,2,2
1515695817,0,1
1515699652,0,1
1515701566,1,3
1515707574,3,1
1515711538,1,1
1515713514,1,0
1515715374,2,0
1515717181,0,1
1515719343,1,0
1515721498,1,0
1515723423,0,2
1515725308,2,1
1515727258,1,2
1515729183,1,0
1515731340,0,1
1515733500,1,0
1515735416,1,1
1515737572,2,0
1515739473,1,2
1515745249,0,2
1515747172,0,1
1515749084,4,0
1515751000,0,1
1515754894,1,0
1515756775,1,0
1515758688,0,1
1515760838,4,0
1515762767,2,2
1515764860,2,0
1515770916,2,0
1515772893,0,2
1515778591,2,2
1515780548,0,1
1515782683,1,0
1515786789,0,1
1515788918,2,0
1515790901,1,0
1515794578,1,3
1515796619,0,1
1515800953,0,3
1515805011,2,1
1515807024,1,1
1515812953,1,3
1515814864,1,1
1515817026,1,0
1515818914,2,0
1515820846,0,1
1515822867,0,3
1515824932,0,1
1515834651,2,4
1515836688,1,0
1515840757,0,1
1515842676,0,1
1515844628,1,0
1515846546,1,4
1515848498,4,2
1515850383,0,2
1515856372,2,1
1515858310,0,1
1515864035,0,1
1515865966,1,1
1515870099,0,1
1515872236,1,0
1515874204,1,1
1515876065,0,1
1515877997,1,1
1515879901,1,1
1515883745,1,0
1515885669,1,0
1515889525,1,0
1515891478,1,2
1515893369,1,1
1515897272,1,0
1515899091,0,1
1515901087,2,1
1515902998,2,0
1515904970,0,2
1515906793,2,1
1515912868,1,0
1515914716,1,0
1515916766,1,0
1515920629,0,1
1515922599,0,2
1515924441,1,0
1515928169,2,0
1515930064,1,1
1515932112,1,0
1515934141,3,4
1515936283,0,1
1515938208,1,0
1515942098,1,1
1515943974,2,1
1515945905,2,0
1515947829,3,0
1515951640,0,1
1515957426,1,0
1515959348,0,2
1515964114,2,1
1515966084,0,1
1515969908,1,1
1515972387,1,1
1515974608,2,0
1515976598,0,2
1515978403,1,0
1515980224,1,1
1515984285,3,1
1515986315,1,0
1515988141,3,2
1515990178,0,2
1515992169,4,1
1515994026,2,1
1515996092,1,0
1515998036,0,1
1515999875,1,1
1516001960,1,0
1516003944,1,1
1516005875,1,0
1516007813,1,0
1516011887,1,1
1516013800,1,2
1516015719,1,0
1516017531,0,2
1516019335,0,2
1516021317,0,1
1516023183,1,0
1516025491,0,1
1516029300,2,1
1516031321,1,3
1516033159,1,1
1516035412,0,3
1516037339,3,0
1516039295,1,0
1516041178,1,0
1516045012,1,1
1516047405,2,0
1516051151,0,2
1516055081,2,1
1516057307,2,0
1516059300,1,1
1516061352,0,2
1516065176,1,1
1516067095,1,1
1516069018,2,1
1516070937,1,2
1516072842,0,1
1516074768,0,3
1516078608,0,4
1516080533,4,2
1516082496,0,1
1516086295,1,1
1516088226,1,1
1516090147,1,1
1516092057,0,1
1516094232,1,1
1516096123,2,0
1516098056,0,1
1516100185,0,1
1516102380,4,1
1516108383,0,1
1516112227,1,0
1516114144,2,1
1516116064,1,2
1516120699,1,1
1516122546,0,2
1516124446,2,1
1516126387,0,2
1516128283,2,0
1516132115,2,1
1516134050,0,2
1516141744,1,2
1516143734,0,2
1516145825,0,1
1516149669,2,0
1516151818,1,1
1516154009,0,1
1516155889,2,2
1516157822,3,1
1516161700,2,0
1516165754,3,0
1516167652,0,4
1516169611,3,0
1516173653,0,1
1516175575,2,1
1516177498,0,1
1516182031,0,2
1516184166,0,1
1516186149,2,0
1516189761,1,4
1516191884,2,0
1516193897,1,0
1516197760,3,0
1516199678,1,1
1516201554,0,3
1516205408,0,1
1516207669,1,0
1516209649,2,0
1516211586,0,2
1516213488,3,1
1516215479,0,1
1516219692,0,2
1516223608,2,0
1516225641,1,0
1516227682,1,1
1516235399,1,1
1516237393,0,1
1516239219,2,1
1516243014,0,5
1516244964,2,0
1516247145,0,1
1516249043,0,1
1516251004,0,1
1516252972,0,2
1516256754,1,3
1516258949,4,0
1516260968,0,1
1516262924,1,1
1516266608,2,0
1516270384,3,0
1516272854,0,2
1516274944,0,1
1516276950,1,1
1516279136,1,1
1516280959,0,1
1516282837,1,1
1516284843,0,2
1516286676,0,1
1516288723,1,0
1516294992,1,3
1516297015,2,0
1516299225,0,3
1516301436,3,0
1516309683,0,2
1516311932,0,1
1516314090,1,1
1516321983,1,1
1516326068,1,2
1516330386,1,1
1516332531,1,1
1516334864,1,0
1516343347,1,1
1516345298,0,4
1516347165,3,0
1516349095,1,1
1516353160,0,2
1516355076,0,1
1516357009,0,2
1516358919,1,0
1516362752,0,1
1516366752,0,1
1516369008,0,1
1516370953,1,0
1516372857,1,0
1516374775,0,1
1516380767,2,1
1516382993,1,2
1516388840,0,3
1516391028,4,0
1516392987,1,0
1516395183,1,0
1516397342,1,0
1516399336,1,1
1516401182,1,0
1516403334,1,0
1516407169,0,1
1516411010,1,1
1516416762,0,1
1516418734,1,1
1516420596,0,1
1516428557,0,1
1516430467,1,0
1516432362,0,2
1516434524,2,2
1516444961,0,1
1516447181,2,0
1516453019,1,0
1516456907,1,1
1516459051,1,1
1516466697,3,1
1516468658,0,1
1516470566,0,1
1516474397,2,0
1516476305,2,1
1516478233,2,3
1516480156,4,1
1516482100,0,2
1516483977,1,0
1516485897,1,1
1516487791,0,1
1516489747,0,1
