DateTime,AddedIPs,RemovedIPs
1515368933,1,0
1515370925,2,1
1515372775,0,1
1515376907,0,3
1515378746,1,1
1515380681,1,0
1515382759,0,1
1515384847,1,0
1515386939,2,0
1515390744,0,1
1515394614,1,0
1515396489,0,1
1515400320,1,1
1515402122,0,1
1515404234,0,1
1515410058,0,1
1515411949,2,1
1515413892,0,2
1515415867,2,0
1515417709,0,2
1515421600,1,0
1515423695,2,3
1515425678,1,3
1515427722,1,0
1515431439,1,0
1515433340,1,1
1515435556,1,2
1515439442,0,2
1515441258,1,0
1515443313,6,0
1515445320,0,1
1515450497,1,2
1515452521,1,0
1515454497,1,1
1515456516,2,2
1515458477,1,0
1515460361,0,1
1515466461,1,0
1515468283,1,1
1515470499,1,0
1515474463,1,1
1515480267,2,2
1515482214,2,0
1515485991,1,0
1515489888,1,0
1515493682,1,0
1515495708,0,1
1515497637,1,1
1515501444,0,1
1515503329,0,1
1515507187,1,0
1515511257,0,1
1515513207,0,1
1515515072,3,1
1515517023,0,1
1515523239,0,2
1515525198,0,1
1515527084,1,0
1515529073,1,10
1515533136,1,0
1515535003,4,0
1515536977,2,0
1515538935,1,2
1515541073,1,3
1515543197,1,1
1515545110,0,1
1515547019,1,0
1515550841,1,1
1515552846,3,1
1515554685,1,2
1515556935,1,0
1515560793,0,1
1515562630,1,0
1515564572,1,0
1515566463,1,2
1515568400,0,1
1515570285,1,0
1515574116,0,1
1515576082,0,1
1515577969,1,1
1515584063,0,1
1515587844,1,0
1515590142,1,0
1515593984,0,1
1515599673,1,0
1515601693,1,2
1515605509,0,1
1515607324,2,0
1515611340,0,1
1515613427,1,0
1515617287,1,0
1515619115,1,1
1515621105,0,5
1515622961,0,1
1515625157,2,0
1515627052,0,1
1515629284,1,1
1515633679,0,2
1515635568,0,1
1515637518,1,0
1515639396,1,4
1515643314,1,1
1515645163,1,0
1515647578,3,0
1515649630,1,0
1515651617,0,3
1515655585,1,1
1515657732,0,1
1515659695,1,1
1515661794,1,0
1515663888,0,1
1515667978,1,0
1515669866,1,2
1515673569,1,0
1515675471,0,2
1515677332,1,0
1515679338,2,0
1515681241,0,2
1515683114,1,0
1515685302,0,1
1515687349,1,1
1515689582,0,2
1515693917,1,1
1515699653,0,1
1515703478,0,1
1515707574,1,0
1515709484,2,0
1515711539,2,1
1515715374,1,1
1515717181,2,0
1515723423,1,2
1515727259,1,0
1515729183,1,2
1515731340,1,0
1515735417,0,1
1515741419,0,1
1515745249,0,2
1515747172,1,0
1515749084,0,1
1515751001,0,2
1515756775,0,1
1515760839,0,1
1515762767,2,1
1515764860,1,2
1515770916,0,1
1515772893,1,2
1515778591,0,1
1515780548,1,0
1515782684,1,0
1515786789,1,0
1515788918,1,1
1515792754,1,0
1515794578,2,1
1515796619,0,2
1515798755,2,2
1515800953,2,0
1515802903,0,2
1515805012,0,1
1515809085,0,1
1515812954,1,2
1515814865,0,1
1515817026,0,1
1515818914,1,0
1515830802,1,0
1515834651,1,0
1515842677,1,0
1515844628,2,0
1515846546,1,1
1515848498,2,0
1515850383,1,0
1515852299,0,1
1515858311,1,0
1515862186,1,0
1515867896,0,1
1515870099,0,1
1515872236,0,1
1515874204,0,3
1515876065,1,0
1515879901,1,1
1515881881,1,2
1515883745,0,1
1515885669,2,1
1515887582,0,1
1515889526,2,0
1515895321,1,0
1515899092,0,2
1515902998,2,0
1515904970,1,0
1515908765,0,1
1515910657,1,1
1515914717,1,0
1515918576,0,1
1515920630,0,1
1515926247,0,1
1515930064,1,2
1515932113,1,1
1515934142,0,2
1515936283,1,3
1515938209,1,0
1515940160,1,0
1515943975,0,1
1515949755,1,0
1515953580,0,1
1515959348,1,0
1515962132,1,2
1515964115,2,0
1515966084,0,1
1515967901,0,1
