DateTime,AddedIPs,RemovedIPs
1515807025,12,3
1515809085,2,1
1515811126,8,9
1515812954,7,21
1515814865,5,17
1515817027,8,10
1515818915,7,15
1515820847,4,9
1515822868,9,7
1515824933,12,4
1515826919,11,14
1515828771,19,9
1515830803,17,13
1515832622,21,9
1515834652,10,12
1515836689,12,18
1515838844,8,16
1515840758,8,22
1515842677,1,19
1515844629,4,13
1515846547,3,14
1515848499,4,6
1515850384,9,10
1515852300,6,12
1515854219,3,20
1515856374,2,31
1515858311,2,18
1515860229,0,21
1515862187,4,32
1515864036,2,21
1515865966,2,34
1515867897,1,23
1515870100,4,27
1515872237,3,30
1515874205,8,23
1515876066,12,28
1515877998,7,36
1515879902,2,41
1515881881,4,28
1515883746,1,22
1515885670,9,15
1515887582,12,12
1515889526,11,9
1515891479,10,8
1515893370,4,13
1515895322,2,12
1515897273,1,13
1515899092,1,13
1515901088,2,16
1515902999,2,18
1515904971,2,16
1515906794,3,12
1515908766,3,11
1515910658,1,15
1515912869,1,16
1515914718,0,26
1515916767,0,43
1515918577,2,41
1515920631,2,35
1515922600,5,27
1515924442,3,15
1515926247,4,18
1515928170,0,8
1515930065,0,4
1515932113,1,4
1515934143,0,3
1515936284,1,16
1515938209,25,17
1515940161,45,7
1515942099,42,1
1515943975,29,4
1515945906,37,1
1515947830,42,4
1515949756,29,5
1515951641,18,1
1515953581,11,1
1515955501,1,2
1515957427,0,3
1515959349,7,6
1515962133,10,15
1515964115,2,9
1515966085,7,5
1515967902,0,2
1515969910,1,0
1515972388,6,9
1515974609,12,22
1515976599,11,17
1515978404,22,12
1515980225,22,4
1515982283,33,2
1515984286,30,2
1515986316,19,1
1515988142,1,4
1515990179,3,3
1515992170,7,4
1515994027,1,3
1515996093,3,1
1515998037,13,1
1515999876,20,2
1516001961,27,0
1516003946,21,3
1516005876,22,1
1516007814,19,3
1516009979,25,1
1516011888,18,4
1516013801,23,0
1516015719,21,1
1516017532,18,0
1516019336,4,1
1516021317,2,1
1516023184,1,4
1516025492,0,23
1516027467,2,32
1516029301,1,21
1516031322,3,26
1516033160,5,29
1516035413,5,32
1516037340,3,17
1516039296,3,15
1516041179,3,4
1516043094,3,2
1516045013,7,7
1516047406,6,7
1516049322,6,3
1516051152,3,3
1516053168,12,6
1516055082,14,2
1516057308,21,4
1516059301,9,5
1516061353,11,7
1516063248,9,7
1516065177,5,22
1516067096,11,20
1516069019,6,21
1516070938,7,30
1516072843,3,10
1516074769,2,2
1516076694,1,2
1516078610,1,3
1516080534,0,2
1516082497,7,4
1516084375,8,11
1516086296,11,26
1516088227,18,40
1516090148,9,23
1516092058,15,21
1516094234,21,37
1516096125,28,22
1516098057,21,22
1516100187,33,31
1516102381,30,34
1516104311,21,17
1516106209,25,0
1516108384,17,2
1516110290,18,1
1516112229,18,0
1516114145,7,3
1516116065,24,2
1516117983,27,2
1516120700,40,6
1516122548,5,3
1516124447,10,3
1516126388,21,3
1516128284,3,3
1516130204,2,4
1516132116,4,7
1516134051,8,0
1516135983,10,3
1516137886,14,7
1516139805,10,7
1516141746,3,15
1516143735,1,7
1516145826,7,17
1516147713,5,12
1516149671,5,10
1516151819,4,4
1516154011,3,12
1516155890,31,8
1516157823,43,4
1516159716,49,2
1516161702,51,4
1516163570,49,1
1516165755,53,1
1516167653,30,1
1516169612,29,5
1516171741,27,7
1516173654,4,10
1516175576,6,10
1516177499,9,9
1516179702,6,8
1516182032,9,17
1516184168,7,16
1516186150,11,15
1516187957,10,15
1516189763,8,17
1516191885,15,21
1516193899,14,17
1516195842,16,12
1516197761,12,7
1516199679,22,8
1516201555,14,7
1516203543,16,20
1516205410,20,22
1516207670,25,14
1516209650,28,3
1516211587,16,8
1516213489,27,11
1516215480,31,1
1516217341,21,2
1516219693,11,4
1516221785,7,9
1516223609,4,4
1516225642,5,9
1516227683,2,3
1516229731,3,3
1516231718,16,4
1516233564,20,7
1516235400,17,3
1516237394,19,2
1516239220,24,2
1516241192,14,5
1516243015,8,20
1516244965,4,13
1516247146,8,26
1516249044,7,34
1516251005,6,29
1516252973,8,31
1516254786,8,25
1516256756,13,25
1516258950,13,17
1516260969,17,7
1516262925,12,6
1516264757,10,7
1516266609,19,8
1516268543,16,9
1516270385,15,5
1516272856,19,11
1516274945,15,13
1516276951,18,15
1516279137,12,11
1516280960,8,15
1516282839,6,15
1516284844,6,16
1516286677,12,16
1516288724,10,28
1516290763,6,14
1516293018,6,28
