DateTime,AddedIPs,RemovedIPs
1516392766,1,0
1516393463,14,5
1516394190,6,7
1516395152,7,15
1516395864,5,17
1516396607,6,0
1516397309,7,13
1516398270,11,7
1516398986,7,15
1516399720,8,26
1516400434,8,0
1516401146,2,12
1516402112,6,0
1516402898,4,45
1516403793,5,0
1516404869,8,0
1516405698,5,14
1516406420,1,0
1516407135,1,16
1516407850,8,8
1516408594,2,10
1516409557,9,0
1516410514,6,19
1516411468,6,4
1516412428,9,16
1516413387,7,3
1516414355,8,6
1516415311,3,15
1516416272,14,19
1516417237,9,10
1516418196,7,11
1516419177,14,18
1516420113,3,8
1516421088,11,11
1516421798,4,8
1516422746,3,6
1516423454,11,12
1516424171,3,0
1516424891,4,9
1516425644,8,7
1516426595,6,11
1516427558,0,10
1516428516,6,10
1516429467,10,8
1516430443,0,7
1516431140,7,6
1516431963,3,4
1516432586,4,6
1516433310,4,5
1516434019,5,10
1516434739,8,0
1516435475,4,2
1516436440,6,11
1516437394,15,7
1516438358,5,21
1516439324,3,9
1516440039,9,8
1516440741,1,0
1516441464,2,5
1516442186,7,3
1516443154,4,16
1516444110,3,0
1516445564,8,15
1516446277,5,4
1516446988,4,0
1516447948,8,7
1516448663,2,9
1516449387,6,4
1516450227,9,8
1516451072,5,0
1516452014,16,9
1516452989,7,0
1516453952,5,12
1516454933,8,8
1516455867,7,13
1516456833,5,14
1516458042,7,13
1516458999,8,8
1516459945,5,5
1516460664,6,14
1516461396,5,0
1516462099,2,11
1516462829,2,8
1516463789,10,3
1516464757,5,11
1516465712,11,12
1516466421,4,3
1516467148,10,11
1516467867,8,12
1516468603,9,0
1516469536,9,8
1516470252,7,11
1516470986,7,4
1516471701,6,0
1516472432,8,13
1516473395,5,7
1516474357,7,15
1516475336,5,25
1516476269,4,5
1516477226,13,12
1516478190,7,3
1516479157,6,27
1516480125,5,8
1516481072,8,10
1516481779,6,0
1516482512,12,13
1516483220,4,0
1516483951,10,7
1516484661,7,19
1516485382,10,29
1516486102,2,0
1516486831,7,11
1516487545,5,0
1516488277,5,4
1516488979,4,14
1516489718,10,0
1516490677,8,10
1516491636,11,17
1516492340,7,3
1516493076,5,9
1516494039,5,0
1516494749,2,9
1516495467,6,5
1516496182,8,5
1516496904,4,9
1516497878,9,4
1516498588,8,14
1516499304,8,0
1516500029,2,7
1516500749,5,10
1516501460,10,5
1516502184,9,16
1516502906,13,8
1516503641,7,9
1516504332,9,0
1516505057,7,22
1516505769,6,4
1516506498,7,11
1516507215,6,7
1516507934,5,9
1516508650,3,9
1516509386,7,10
1516510357,9,7
1516511318,2,8
1516512019,9,7
1516512751,4,1
1516513466,4,9
1516514182,5,8
1516515162,5,5
1516515860,4,11
1516516594,4,7
1516517301,3,0
1516518034,3,5
1516518746,3,15
1516519464,3,5
1516520181,3,7
1516520910,3,5
1516521625,8,4
1516522353,2,13
1516523061,5,2
1516523790,7,9
1516524500,7,6
1516525235,2,5
1516526196,6,13
1516526898,9,7
1516527624,5,5
1516528595,6,3
1516529301,2,8
1516530024,5,0
1516530756,6,7
1516531461,7,11
1516532181,5,6
1516532905,10,9
1516533621,3,15
1516534346,7,0
1516535069,9,16
1516535786,6,13
1516536527,3,0
1516537469,17,9
1516538170,11,12
1516538903,6,8
1516539621,6,0
1516540342,4,7
1516541049,6,13
1516542013,8,7
1516542728,8,2
1516543465,5,12
1516544433,5,9
1516545130,8,3
1516545857,5,16
1516546568,2,4
1516547319,5,6
1516548019,5,5
1516548745,5,8
1516549463,3,11
1516550190,5,5
1516551160,10,13
1516551863,8,11
1516552584,9,11
1516553310,7,16
1516554039,9,7
1516554741,6,9
