DateTime,AddedIPs,RemovedIPs
1516392766,21,35
1516393463,71,55
1516394190,64,63
1516395152,58,62
1516395864,44,45
1516396607,58,40
1516397309,42,55
1516398270,54,52
1516398986,47,55
1516399720,36,53
1516400434,47,47
1516401146,32,33
1516402112,59,90
1516402898,32,30
1516403793,67,64
1516404869,63,85
1516405698,49,45
1516406420,40,67
1516407135,40,42
1516407850,60,51
1516408594,39,56
1516409557,52,38
1516410514,42,44
1516411468,61,40
1516412428,58,56
1516413387,50,53
1516414355,57,63
1516415311,36,52
1516416272,72,67
1516417237,38,42
1516418196,46,77
1516419177,64,59
1516420113,44,34
1516421088,51,52
1516421798,38,53
1516422746,55,56
1516423454,59,33
1516424171,33,24
1516424891,20,52
1516425644,40,31
1516426595,47,43
1516427558,29,31
1516428516,59,59
1516429467,58,59
1516430443,43,33
1516431140,41,40
1516431963,35,34
1516432586,45,42
1516433310,48,28
1516434019,41,26
1516434739,41,41
1516435475,41,33
1516436440,44,49
1516437394,68,58
1516438358,38,45
1516439324,57,54
1516440039,64,49
1516440741,53,44
1516441464,49,35
1516442186,49,35
1516443154,43,58
1516444110,47,49
1516445564,74,66
1516446277,40,39
1516446988,54,62
1516447948,60,59
1516448663,43,54
1516449387,54,43
1516450227,45,51
1516451072,69,53
1516452014,78,69
1516452989,75,55
1516453952,48,58
1516454933,71,75
1516455867,78,71
1516456833,85,76
1516458042,77,57
1516458999,66,63
1516459945,70,68
1516460664,40,35
1516461396,49,69
1516462099,43,45
1516462829,51,50
1516463789,80,66
1516464757,55,74
1516465712,63,69
1516466421,55,51
1516467148,55,51
1516467867,47,70
1516468603,62,43
1516469536,69,64
1516470252,50,50
1516470986,57,54
1516471701,56,67
1516472432,72,44
1516473395,50,50
1516474357,76,65
1516475336,50,53
1516476269,64,55
1516477226,62,60
1516478190,50,51
1516479157,63,65
1516480125,53,55
1516481072,75,83
1516481779,63,46
1516482512,51,63
1516483220,57,48
1516483951,50,54
1516484661,52,54
1516485382,66,88
1516486102,35,46
1516486831,79,44
1516487545,50,45
1516488277,56,72
1516488979,40,55
1516489718,57,50
1516490677,42,36
1516491636,58,63
1516492340,48,36
1516493076,31,57
1516494039,68,89
1516494749,53,54
1516495467,77,41
1516496182,39,57
1516496904,45,95
1516497878,68,54
1516498588,64,55
1516499304,44,50
1516500029,52,34
1516500749,46,79
1516501460,73,50
1516502184,52,37
1516502906,45,56
1516503641,53,44
1516504332,33,53
1516505057,39,45
1516505769,48,48
1516506498,44,35
1516507215,36,47
1516507934,31,32
1516508650,32,44
1516509386,37,33
1516510357,52,45
1516511318,27,66
1516512019,45,39
1516512751,52,45
1516513466,51,39
1516514182,44,47
1516515162,63,49
1516515860,52,30
1516516594,34,50
1516517301,46,37
1516518034,43,42
1516518746,31,38
1516519464,51,41
1516520181,38,64
1516520910,61,25
1516521625,39,28
1516522353,27,60
1516523061,46,103
1516523790,110,46
1516524500,59,38
1516525235,42,44
1516526196,73,60
1516526898,46,38
1516527624,25,32
1516528595,72,64
1516529301,59,48
1516530024,48,62
1516530756,67,44
1516531461,51,79
1516532181,52,46
1516532905,52,70
1516533621,62,47
1516534346,68,47
1516535069,60,55
1516535786,57,37
1516536527,34,44
1516537469,70,50
1516538170,57,54
1516538903,58,43
1516539621,36,50
1516540342,53,45
1516541049,53,57
1516542013,70,57
1516542728,73,51
1516543465,57,41
1516544433,74,76
1516545130,65,58
1516545857,43,40
1516546568,24,40
1516547319,56,51
1516548019,47,46
1516548745,54,58
1516549463,42,40
1516550190,45,62
1516551160,75,68
1516551863,56,57
1516552584,66,52
1516553310,54,40
1516554039,51,54
1516554741,36,41
1516555463,58,59
1516556181,63,57
1516556905,49,49
1516557631,57,57
1516558346,54,75
1516559061,81,73
1516559790,75,60
1516560751,56,59
1516561720,78,84
1516562670,82,63
1516563382,39,39
1516564107,58,66
1516564827,49,59
1516565562,53,79
1516566262,50,58
1516566983,54,67
1516567702,62,55
1516568451,46,55
1516569142,29,59
1516569865,65,68
1516570580,60,68
1516571311,59,49
1516572033,54,57
1516572744,58,61
1516573466,50,57
1516574198,57,55
1516575163,49,64
1516576610,68,79
1516577682,59,72
1516578416,38,44
1516579253,44,52
1516580204,59,51
1516581153,72,79
1516582119,67,51
1516583064,56,78
1516584033,82,59
1516584995,46,47
1516585949,50,69
1516586914,76,64
1516587868,47,72
1516588830,82,54
1516589796,58,75
1516590744,49,49
1516591451,56,69
1516592174,57,40
1516592897,52,42
1516593629,52,35
1516594336,36,72
1516595057,50,44
1516595770,35,71
1516596496,44,41
1516597222,51,37
1516597937,47,46
1516598659,27,55
1516599375,49,43
1516600337,57,44
1516601317,44,62
1516602277,47,35
1516603215,59,66
1516603929,47,47
1516604662,52,54
1516605370,41,46
1516606199,64,43
1516607081,47,54
1516608036,69,73
1516608729,55,56
1516609454,66,54
1516610172,56,52
1516610916,65,72
1516611879,52,46
1516612832,65,91
1516613796,77,53
1516614514,44,36
1516615228,73,39
1516615951,33,46
1516616663,52,64
1516617383,55,73
1516618102,54,37
1516618836,47,41
1516619549,30,46
1516620262,71,29
1516620985,49,44
1516621948,72,70
1516623025,62,59
1516623868,31,76
1516624827,48,44
1516625790,73,53
1516626533,50,49
1516627226,39,44
1516627949,53,44
1516628669,30,39
1516629634,72,53
1516630594,59,53
1516631552,63,64
1516632517,43,48
1516633477,41,53
1516634183,60,44
1516634904,45,58
1516635621,63,46
1516636352,51,54
1516637068,35,40
1516637797,60,47
1516638513,56,55
1516639474,68,58
1516640180,47,51
1516640906,30,47
1516641622,51,52
1516642355,48,39
1516643063,56,47
1516643782,45,53
1516644499,53,57
1516645223,61,46
1516645944,58,48
1516646666,55,46
1516647385,31,25
1516648117,50,48
1516649068,67,62
1516650031,47,68
1516650986,65,60
1516651955,77,59
1516652662,45,54
1516653386,45,45
1516654103,44,68
1516654838,63,48
1516655798,73,51
1516657007,67,101
1516657702,57,51
1516658431,34,34
1516659141,45,48
1516659865,42,56
1516660828,67,69
1516661539,43,53
1516662273,34,52
1516663235,51,44
1516664055,51,88
1516664892,65,63
1516665625,37,47
1516666334,60,42
1516667057,45,47
1516667770,42,63
1516668496,30,33
1516669219,48,67
1516669938,53,59
1516670650,64,54
1516671372,54,59
1516672340,53,54
1516673055,54,48
1516673778,51,71
1516674487,54,64
1516675227,59,70
1516675940,49,36
1516676676,45,49
1516677633,44,46
1516678341,50,38
1516679069,38,47
1516680037,73,53
1516680735,45,53
1516681455,26,36
1516682170,47,39
1516682897,38,35
1516683620,39,36
1516684384,53,43
1516685062,42,48
1516685792,34,31
1516686746,54,142
1516687716,102,62
1516688418,69,48
1516689175,48,55
1516689863,32,39
1516690585,51,35
1516691551,58,75
1516692509,56,53
1516693314,51,31
1516693941,45,35
1516694667,38,55
1516695393,47,40
1516696350,58,49
1516697062,43,44
1516697786,47,43
1516698503,38,26
1516699230,52,41
1516699942,40,48
1516700669,43,40
1516701388,46,40
1516702117,51,58
1516702820,41,60
1516703547,68,38
1516704265,58,56
1516704983,24,26
1516705949,60,81
1516706907,67,26
1516707868,61,49
1516708836,43,34
1516709790,52,60
1516710492,54,47
1516711209,49,30
1516711947,41,59
1516712671,30,19
1516713389,48,59
1516714101,39,38
1516714830,44,33
1516715543,16,43
1516716274,64,33
1516716981,40,44
1516717704,37,42
1516718670,40,39
1516719632,60,47
1516720604,30,48
1516721538,64,57
1516722252,29,27
1516723246,76,53
1516723948,31,46
1516724667,53,33
1516725394,59,46
1516726104,36,52
1516726826,61,46
1516727797,61,50
1516728752,45,44
1516729483,60,58
1516730931,82,63
1516731610,32,45
1516732353,55,39
1516733313,50,50
1516734024,52,38
1516734747,23,42
1516735464,77,43
1516736199,46,60
1516737155,53,36
1516738121,40,66
1516739082,63,45
1516739779,36,41
1516740513,58,57
1516741228,42,42
1516741951,36,38
1516742911,72,77
1516743878,61,69
1516744836,50,52
1516745806,50,67
1516746751,48,64
1516747466,59,62
1516748211,46,45
1516748901,22,49
1516749626,59,46
1516750700,57,72
1516751319,24,23
1516752281,37,46
1516753220,56,66
1516753930,37,28
1516754659,48,55
1516755369,42,42
1516756122,27,31
1516757069,52,46
1516757794,32,53
1516758505,44,52
1516759242,32,30
1516759940,48,43
1516760664,22,41
1516761380,70,64
1516762109,51,49
1516762822,37,29
1516763546,44,51
1516764264,44,49
1516764989,29,29
1516765705,46,43
1516766430,45,48
1516767157,34,37
1516768132,47,66
1516768861,36,33
1516769543,55,30
1516770515,44,55
1516771219,46,42
1516771955,24,24
1516772661,36,40
1516773385,32,45
1516774348,43,56
1516775072,54,47
1516775793,29,31
1516776507,64,37
1516777231,24,35
1516777949,44,40
1516778665,59,43
1516779382,29,45
1516780101,58,51
1516780837,40,57
1516782049,54,54
1516782740,36,30
1516783464,50,44
1516784438,47,59
1516785386,62,56
1516786116,46,61
1516786823,36,38
1516787543,44,30
1516788270,33,28
1516788985,34,38
1516789708,55,43
1516790433,70,47
1516791386,48,41
1516792357,50,35
