DateTime,AddedIPs,RemovedIPs
1516215839,10,18
1516217720,0,1312
1516218631,1287,0
1516219613,4,19
1516220444,3,2
1516222577,5,58
1516223447,3,0
1516225353,2,41
1516226330,0,1184
1516227266,1179,0
1516228247,0,25
1516228945,3,5
1516230935,2,16
1516231715,5,0
1516232729,4,38
1516234243,3,10
1516235236,3,1
1516236333,1,22
1516237846,8,19
1516238942,4,0
1516241443,5,55
1516242641,1,24
1516243538,3,3
1516244481,1,7
1516245339,0,1
1516246107,1,0
1516247135,2,17
1516248642,1,8
1516250031,1,21
1516251026,1,2
1516252018,0,4
1516252842,1,0
1516253749,3,1
1516255563,3,3
1516256443,1,1
1516258575,5,95
1516260294,2,0
1516262152,9,11
1516263050,2,8
1516263880,7,0
1516264969,1,16
1516265804,3,5
1516266647,2,0
1516267846,1,8
1516268731,1,1
1516270244,2,11
1516273014,4,28
1516273840,1,0
1516275755,11,6
1516277054,8,11
1516278044,8,1
1516278519,1,0
1516279357,4,24
1516281271,13,11
1516282254,9,11
1516283134,32,5
1516284873,2,7
1516286155,3,23
1516286546,3,0
1516288447,0,805
1516289305,818,0
1516290165,8,25
1516291018,5,25
1516291849,2,1
1516292861,3,0
1516293766,4,9
1516295745,8,2
1516296787,5,8
1516297347,4,0
1516298219,2,5
1516299273,5,0
1516300105,11,0
1516300950,5,1
1516302256,10,7
1516303207,0,807
1516304426,818,0
1516305236,4,0
1516306243,10,5
1516307128,8,0
1516308043,3,6
1516310138,13,3
1516310906,2,0
1516311746,6,3
1516312598,3,1
1516313662,0,849
1516315361,860,0
1516317046,10,4
1516317845,3,0
1516318843,2,7
1516319794,1,0
1516320645,3,5
1516321483,1,0
1516322353,3,16
1516322555,1,0
1516324254,5,5
1516325343,2,1
1516326342,1,8
1516328066,4,3
1516329014,2,3
1516329939,1,2
1516331200,1,2
1516331673,1,0
1516332657,1,0
1516333543,0,1
1516334918,3,2
1516336113,3,0
1516337033,0,849
1516338685,847,0
1516339846,2,6
1516340723,0,843
1516341682,840,0
1516342542,1,0
1516343562,2,1
1516345500,10,2
1516346079,2,0
1516346906,1,1
1516347756,2,2
1516349448,4,2
1516350506,2,0
1516351363,0,1
1516353535,8,6
1516354530,1,3
1516356873,2,4
1516358555,1,4
1516359420,1,4
1516360404,0,847
1516361526,842,0
1516362333,3,3
1516363413,1,4
1516364440,3,0
1516367680,13,10
1516368644,5,4
1516369525,6,1
1516372107,11,3
1516372956,6,0
1516374000,10,22
1516374938,7,2
1516375843,7,20
1516376734,5,0
1516378244,3,31
1516380152,3,35
1516381201,2,15
1516382137,3,0
1516382905,4,1
1516383749,6,28
1516384596,62,0
1516385443,8,11
1516386463,3,1
1516387362,2,10
1516388928,5,2
1516391785,6,4
1516392642,3,3
1516394140,5,4
1516395376,5,1
1516396244,7,0
1516397444,13,5
1516398343,11,2
1516399290,7,0
1516400130,6,0
1516401046,6,12
1516401748,4,5
1516402603,7,0
1516403664,7,5
1516404958,8,8
1516406173,12,6
1516407046,11,0
1516407264,1,0
1516408233,9,3
1516408946,2,1
1516410872,11,3
1516412561,13,4
1516413415,11,3
1516414244,5,0
1516415134,7,0
1516416045,9,0
1516416938,15,0
1516418065,15,2
1516418913,14,0
1516419938,15,3
1516420935,10,2
1516422042,6,0
1516423224,15,3
1516424184,7,0
1516425265,10,2
1516426846,15,5
1516428644,17,2
1516429534,11,0
1516430446,8,2
1516431536,8,4
1516432545,6,0
1516433447,11,9
1516434341,8,2
1516435316,12,4
1516436134,11,0
1516437343,17,7
1516438524,16,1
1516439439,10,0
1516440303,11,0
1516441366,18,3
1516442603,14,4
1516443525,9,0
1516444525,5,3
1516445788,9,1
1516446650,4,6
1516448295,2,9
1516449381,2,9
1516450246,2,4
1516452045,5,15
1516452924,6,0
1516453277,3,1
1516454133,6,0
1516455745,9,4
1516456589,5,3
1516457664,5,6
1516458523,5,0
1516459345,4,16
1516460801,4,6
1516461646,1,0
1516462522,3,6
1516463728,4,0
1516464643,4,6
1516464872,1,0
1516465814,2,8
1516468244,2,6
1516470161,3,14
1516471280,2,6
1516472142,2,0
1516473016,2,15
1516473934,2,0
1516475664,5,8
1516477351,10,12
1516478198,5,6
1516479044,6,1
1516480105,0,1
1516480946,2,11
1516482937,0,6
1516483836,1,6
1516484735,1,2
1516485685,1,3
1516486464,2,0
1516487304,2,0
1516488150,0,9
1516489850,2,3
1516492581,4,8
1516493738,3,0
1516495236,3,6
1516496186,2,1
1516497041,1,4
1516498964,0,6
1516499811,0,1
1516500640,2,0
1516501711,2,0
1516502728,3,6
1516503393,1,1
1516504246,1,0
1516506144,7,9
1516507158,5,0
1516508936,1,1
1516509755,3,8
1516510597,4,5
1516511445,4,2
1516513354,17,4
1516514202,8,0
1516515044,7,8
1516516952,15,3
1516517800,9,4
1516518645,11,0
1516519511,3,2
1516520446,5,9
1516521827,8,2
1516522840,7,0
1516524048,5,3
1516525541,6,1
1516526445,1,0
1516527761,3,5
1516529009,0,2
1516530940,1,0
1516531828,1,1
1516533273,3,1
1516534134,1,0
1516535138,16,3
1516536642,0,2
1516537839,4,14
1516538738,3,3
1516539673,1,6
1516540480,4,0
1516543554,4,16
1516544447,1,1
1516545746,0,10
1516546592,1,0
1516547442,4,3
1516548505,2,1
1516549535,2,5
1516551048,2,7
1516552252,1,9
1516553138,2,9
1516554080,2,6
1516555704,1,0
1516556558,0,9
1516557438,3,0
1516558536,2,1
1516560156,1,10
1516561015,2,7
1516561841,2,0
1516562917,1,1
1516563938,0,3
1516564595,1,1
1516565447,0,7
1516566421,3,0
1516568200,3,17
1516569046,2,1
1516571536,2,12
1516572644,2,11
1516574545,3,6
1516575412,3,6
1516576245,1,0
1516578145,6,9
1516578997,1,3
1516580076,1,1
1516580992,1,9
1516581753,1,0
1516582606,0,15
1516583446,2,0
1516584652,2,10
1516587265,6,21
1516588842,3,21
1516589780,1,20
1516590083,1,0
1516590934,1,0
1516591904,0,13
1516592550,0,5
1516593409,3,8
1516596043,0,14
1516597844,2,15
1516599440,4,20
1516600582,3,14
1516601445,0,2
1516602539,1,0
1516603826,1,20
1516604994,2,21
1516606255,3,31
1516607138,0,8
1516607823,1,25
1516609525,1,0
1516610447,2,35
1516611300,2,0
1516612244,1,116
1516613454,2,21
1516614155,1,0
1516615026,2,21
1516616663,2,0
1516617751,3,4
1516618773,5,2
1516619648,2,0
1516620527,1,0
1516621346,0,6
1516623269,5,15
1516624364,3,12
1516625426,0,4
1516626396,2,10
1516627885,1,15
1516630058,2,13
1516631443,1,11
1516632149,1,3
1516634383,3,7
1516635235,3,10
1516636215,1,0
1516637271,2,1
1516639238,2,2
1516641348,5,2
1516642254,3,3
1516643801,1,1
1516644648,2,0
1516645713,2,0
1516647385,4,14
1516648243,3,14
1516649317,2,0
1516650335,2,4
1516651844,1,2
1516653650,1,2
1516654581,1,1
1516657363,5,2
1516658405,2,4
1516659339,1,0
1516660107,3,0
1516661139,2,7
1516663016,5,4
1516663705,1,0
1516664738,1,3
1516666239,14,1
1516667039,14,0
1516668053,26,3
1516669000,16,1
1516669842,20,0
1516670905,21,0
1516672749,58,10
1516673669,31,0
1516674643,22,3
1516675348,17,2
1516677044,49,5
1516677995,27,1
1516678847,24,8
1516679792,24,0
1516680645,11,8
1516681713,27,0
1516682743,22,15
1516684243,31,11
1516685202,21,0
1516686042,19,12
1516686952,19,0
1516687848,14,7
1516688668,17,1
