DateTime,Entries,UniqueIPs
1516215839,9556,9556
1516217720,8244,8244
1516218631,9531,9531
1516219613,9516,9516
1516220444,9517,9517
1516222577,9464,9464
1516223447,9467,9467
1516225353,9428,9428
1516226330,8244,8244
1516227266,9423,9423
1516228247,9398,9398
1516228945,9396,9396
1516230935,9382,9382
1516231715,9387,9387
1516232729,9353,9353
1516234243,9346,9346
1516235236,9348,9348
1516236333,9327,9327
1516237846,9316,9316
1516238942,9320,9320
1516241443,9270,9270
1516242641,9247,9247
1516243538,9247,9247
1516244481,9241,9241
1516245339,9240,9240
1516246107,9241,9241
1516247135,9226,9226
1516248642,9219,9219
1516250031,9199,9199
1516251026,9198,9198
1516252018,9194,9194
1516252842,9195,9195
1516253749,9197,9197
1516255563,9197,9197
1516256443,9197,9197
1516258575,9107,9107
1516260294,9109,9109
1516262152,9107,9107
1516263050,9101,9101
1516263880,9108,9108
1516264969,9093,9093
1516265804,9091,9091
1516266647,9093,9093
1516267846,9086,9086
1516268731,9086,9086
1516270244,9077,9077
1516273014,9053,9053
1516273840,9054,9054
1516275755,9059,9059
1516277054,9056,9056
1516278044,9063,9063
1516278519,9064,9064
1516279357,9044,9044
1516281271,9046,9046
1516282254,9044,9044
1516283134,9071,9071
1516284873,9066,9066
1516286155,9046,9046
1516286546,9049,9049
1516288447,8244,8244
1516289305,9062,9062
1516290165,9045,9045
1516291018,9025,9025
1516291849,9026,9026
1516292861,9029,9029
1516293766,9024,9024
1516295745,9030,9030
1516296787,9027,9027
1516297347,9031,9031
1516298219,9028,9028
1516299273,9033,9033
1516300105,9044,9044
1516300950,9048,9048
1516302256,9051,9051
1516303207,8244,8244
1516304426,9062,9062
1516305236,9066,9066
1516306243,9071,9071
1516307128,9079,9079
1516308043,9076,9076
1516310138,9086,9086
1516310906,9088,9088
1516311746,9091,9091
1516312598,9093,9093
1516313662,8244,8244
1516315361,9104,9104
1516317046,9110,9110
1516317845,9113,9113
1516318843,9108,9108
1516319794,9109,9109
1516320645,9107,9107
1516321483,9108,9108
1516322353,9095,9095
1516322555,9096,9096
1516324254,9096,9096
1516325343,9097,9097
1516326342,9090,9090
1516328066,9091,9091
1516329014,9090,9090
1516329939,9089,9089
1516331200,9088,9088
1516331673,9089,9089
1516332657,9090,9090
1516333543,9089,9089
1516334918,9090,9090
1516336113,9093,9093
1516337033,8244,8244
1516338685,9091,9091
1516339846,9087,9087
1516340723,8244,8244
1516341682,9084,9084
1516342542,9085,9085
1516343562,9086,9086
1516345500,9094,9094
1516346079,9096,9096
1516346906,9096,9096
1516347756,9096,9096
1516349448,9098,9098
1516350506,9100,9100
1516351363,9099,9099
1516353535,9101,9101
1516354530,9099,9099
1516356873,9097,9097
1516358555,9094,9094
1516359420,9091,9091
1516360404,8244,8244
1516361526,9086,9086
1516362333,9086,9086
1516363413,9083,9083
1516364440,9086,9086
1516367680,9089,9089
1516368644,9090,9090
1516369525,9095,9095
1516372107,9103,9103
1516372956,9109,9109
1516374000,9097,9097
1516374938,9102,9102
1516375843,9089,9089
1516376734,9094,9094
1516378244,9066,9066
1516380152,9034,9034
1516381201,9021,9021
1516382137,9024,9024
1516382905,9027,9027
1516383749,9005,9005
1516384596,9067,9067
1516385443,9064,9064
1516386463,9066,9066
1516387362,9058,9058
1516388928,9061,9061
1516391785,9063,9063
1516392642,9063,9063
1516394140,9064,9064
1516395376,9068,9068
1516396244,9075,9075
1516397444,9083,9083
1516398343,9092,9092
1516399290,9099,9099
1516400130,9105,9105
1516401046,9099,9099
1516401748,9098,9098
1516402603,9105,9105
1516403664,9107,9107
1516404958,9107,9107
1516406173,9113,9113
1516407046,9124,9124
1516407264,9125,9125
1516408233,9131,9131
1516408946,9132,9132
1516410872,9140,9140
1516412561,9149,9149
1516413415,9157,9157
1516414244,9162,9162
1516415134,9169,9169
1516416045,9178,9178
1516416938,9193,9193
1516418065,9206,9206
1516418913,9220,9220
1516419938,9232,9232
1516420935,9240,9240
1516422042,9246,9246
1516423224,9258,9258
1516424184,9265,9265
1516425265,9273,9273
1516426846,9283,9283
1516428644,9298,9298
1516429534,9309,9309
1516430446,9315,9315
1516431536,9319,9319
1516432545,9325,9325
1516433447,9327,9327
1516434341,9333,9333
1516435316,9341,9341
1516436134,9352,9352
1516437343,9362,9362
1516438524,9377,9377
1516439439,9387,9387
1516440303,9398,9398
1516441366,9413,9413
1516442603,9423,9423
1516443525,9432,9432
1516444525,9434,9434
1516445788,9442,9442
1516446650,9440,9440
1516448295,9433,9433
1516449381,9426,9426
1516450246,9424,9424
1516452045,9414,9414
1516452924,9420,9420
1516453277,9422,9422
1516454133,9428,9428
1516455745,9433,9433
1516456589,9435,9435
1516457664,9434,9434
1516458523,9439,9439
1516459345,9427,9427
1516460801,9425,9425
1516461646,9426,9426
1516462522,9423,9423
1516463728,9427,9427
1516464643,9425,9425
1516464872,9426,9426
1516465814,9420,9420
1516468244,9416,9416
1516470161,9405,9405
1516471280,9401,9401
1516472142,9403,9403
1516473016,9390,9390
1516473934,9392,9392
1516475664,9389,9389
1516477351,9387,9387
1516478198,9386,9386
1516479044,9391,9391
1516480105,9390,9390
1516480946,9381,9381
1516482937,9375,9375
1516483836,9370,9370
1516484735,9369,9369
1516485685,9367,9367
1516486464,9369,9369
1516487304,9371,9371
1516488150,9362,9362
1516489850,9361,9361
1516492581,9357,9357
1516493738,9360,9360
1516495236,9357,9357
1516496186,9358,9358
1516497041,9355,9355
1516498964,9349,9349
1516499811,9348,9348
1516500640,9350,9350
1516501711,9352,9352
1516502728,9349,9349
1516503393,9349,9349
1516504246,9350,9350
1516506144,9348,9348
1516507158,9353,9353
1516508936,9353,9353
1516509755,9348,9348
1516510597,9347,9347
1516511445,9349,9349
1516513354,9362,9362
1516514202,9370,9370
1516515044,9369,9369
1516516952,9381,9381
1516517800,9386,9386
1516518645,9397,9397
1516519511,9398,9398
1516520446,9394,9394
1516521827,9400,9400
1516522840,9407,9407
1516524048,9409,9409
1516525541,9414,9414
1516526445,9415,9415
1516527761,9413,9413
1516529009,9411,9411
1516530940,9412,9412
1516531828,9412,9412
1516533273,9414,9414
1516534134,9415,9415
1516535138,9428,9428
1516536642,9426,9426
1516537839,9416,9416
1516538738,9416,9416
1516539673,9411,9411
1516540480,9415,9415
1516543554,9403,9403
1516544447,9403,9403
1516545746,9393,9393
1516546592,9394,9394
1516547442,9395,9395
1516548505,9396,9396
1516549535,9393,9393
1516551048,9388,9388
1516552252,9380,9380
1516553138,9373,9373
1516554080,9369,9369
1516555704,9370,9370
1516556558,9361,9361
1516557438,9364,9364
1516558536,9365,9365
1516560156,9356,9356
1516561015,9351,9351
1516561841,9353,9353
1516562917,9353,9353
1516563938,9350,9350
1516564595,9350,9350
1516565447,9343,9343
1516566421,9346,9346
1516568200,9332,9332
1516569046,9333,9333
1516571536,9323,9323
1516572644,9314,9314
1516574545,9311,9311
1516575412,9308,9308
1516576245,9309,9309
1516578145,9306,9306
1516578997,9304,9304
1516580076,9304,9304
1516580992,9296,9296
1516581753,9297,9297
1516582606,9282,9282
1516583446,9284,9284
1516584652,9276,9276
1516587265,9261,9261
1516588842,9243,9243
1516589780,9224,9224
1516590083,9225,9225
1516590934,9226,9226
1516591904,9213,9213
1516592550,9208,9208
1516593409,9203,9203
1516596043,9189,9189
1516597844,9176,9176
1516599440,9160,9160
1516600582,9149,9149
1516601445,9147,9147
1516602539,9148,9148
1516603826,9129,9129
1516604994,9110,9110
1516606255,9082,9082
1516607138,9074,9074
1516607823,9050,9050
1516609525,9051,9051
1516610447,9018,9018
1516611300,9020,9020
1516612244,8905,8905
1516613454,8886,8886
1516614155,8887,8887
1516615026,8868,8868
1516616663,8870,8870
1516617751,8869,8869
1516618773,8872,8872
1516619648,8874,8874
1516620527,8875,8875
1516621346,8869,8869
1516623269,8859,8859
1516624364,8850,8850
1516625426,8846,8846
1516626396,8838,8838
1516627885,8824,8824
1516630058,8813,8813
1516631443,8803,8803
1516632149,8801,8801
1516634383,8797,8797
1516635235,8790,8790
1516636215,8791,8791
1516637271,8792,8792
1516639238,8792,8792
1516641348,8795,8795
1516642254,8795,8795
1516643801,8795,8795
1516644648,8797,8797
1516645713,8799,8799
1516647385,8789,8789
1516648243,8778,8778
1516649317,8780,8780
1516650335,8778,8778
1516651844,8777,8777
1516653650,8776,8776
1516654581,8776,8776
1516657363,8779,8779
1516658405,8777,8777
1516659339,8778,8778
1516660107,8781,8781
1516661139,8776,8776
1516663016,8777,8777
1516663705,8778,8778
1516664738,8776,8776
