DateTime,AddedIPs,RemovedIPs
1515864286,1,0
1515866139,0,2
1515867050,0,1
1515868248,0,2
1515870279,1,1
1515872154,0,2
1515873319,1,0
1515874486,0,2
1515875406,2,1
1515876371,1,0
1515878078,1,1
1515879043,1,0
1515881678,1,1
1515883351,2,0
1515885049,0,1
1515887144,1,3
1515888878,3,0
1515889718,1,0
1515890745,1,2
1515892252,0,2
1515894160,1,1
1515895136,1,0
1515897648,0,1
1515899748,1,0
1515900622,1,0
1515901547,1,0
1515903272,2,0
1515904950,1,2
1515908762,0,1
1515910249,2,0
1515912966,0,4
1515915752,0,1
1515917195,1,0
1515918053,1,0
1515921052,0,1
1515923138,1,3
1515924652,1,0
1515926552,1,2
1515927409,2,0
1515930337,1,0
1515931857,2,2
1515932999,2,0
1515935577,1,0
1515938203,1,0
1515940849,6,0
1515941932,2,1
1515942870,2,0
1515946546,1,1
1515947311,1,0
1515948168,1,1
1515949906,0,3
1515950730,1,1
1515952377,1,0
1515953447,0,1
1515955254,0,1
1515957281,1,0
1515959149,1,0
1515962325,2,0
1515964249,0,1
1515965144,3,0
1515966152,0,2
1515967850,0,1
1515969812,1,0
1515971328,0,1
1515972780,2,1
1515976953,1,4
1515978653,2,1
1515979540,1,0
1515980766,1,0
1515982250,2,0
1515984345,1,0
1515987889,1,0
1515990677,1,0
1515993295,1,0
1515994951,1,0
1515999582,1,0
1516005946,0,1
1516008761,1,0
1516010273,1,0
1516011269,0,1
1516013152,1,0
1516016579,2,0
1516018466,1,1
1516020155,0,1
1516023264,2,0
1516025746,1,1
1516027206,0,11
1516029052,0,3
1516030851,0,16
1516032659,3,1
1516033710,1,0
1516034558,1,1
1516036242,2,0
1516038233,3,1
1516041981,1,3
1516047287,4,5
1516049781,2,2
1516052562,0,1
1516053412,2,2
1516057024,0,3
1516058731,1,0
1516059642,1,2
1516061452,2,1
1516062663,2,0
1516063357,0,1
1516064802,1,1
1516070732,1,2
1516072250,0,3
1516075635,1,2
1516079432,0,2
1516083043,1,0
1516084110,1,0
1516085149,2,1
1516086654,1,1
1516088552,0,2
1516090254,4,0
1516092037,0,1
1516095030,1,1
1516095764,2,0
1516097448,3,2
1516100976,0,2
1516102855,1,4
1516103738,1,0
1516104661,1,1
1516105727,2,0
1516108473,2,1
1516109449,0,4
1516110345,0,2
1516112450,0,3
1516113358,0,1
1516114248,1,0
1516116459,4,1
1516118032,0,1
1516119052,0,1
1516120261,3,2
1516121150,0,1
1516121789,0,1
1516122873,3,0
1516123853,1,0
1516127397,0,2
1516129860,2,0
1516131588,5,3
1516133307,1,0
1516134149,1,1
1516135248,2,2
1516138251,2,1
1516139150,1,0
1516141710,0,1
1516142551,1,1
1516143394,1,0
1516144248,1,0
1516145459,1,0
1516147849,1,1
1516149750,1,1
1516153548,0,1
1516156465,1,0
1516159710,2,0
1516160739,0,1
1516162251,1,0
1516164349,1,0
1516165848,3,0
1516173052,0,1
1516176874,1,2
1516178754,0,11
1516181990,1,0
1516183856,1,0
1516185755,0,1
1516187681,2,0
1516191046,1,0
1516192109,3,0
1516192971,0,2
1516194511,4,0
1516196744,0,1
1516197705,0,1
1516198549,4,0
1516199435,2,0
1516201020,1,0
1516201850,0,2
1516203056,2,4
1516203947,1,0
1516205043,1,0
1516207922,0,4
1516209051,1,0
1516214551,2,2
1516215849,0,1
1516217740,0,1
1516218640,3,0
1516219618,1,1
1516222585,0,2
1516225358,1,0
1516226338,1,0
1516228256,0,1
1516228951,0,1
1516232734,0,3
1516234248,2,0
1516239009,0,1
1516241448,4,1
1516243546,1,0
1516245348,1,0
1516251031,1,0
1516252024,1,0
1516253754,1,2
1516255584,0,1
1516262157,2,0
1516263885,2,0
1516264975,1,2
1516265809,1,1
1516266653,1,0
1516270250,1,0
1516273030,4,1
1516273845,1,0
1516275760,3,0
1516277060,3,2
1516278050,3,0
1516278529,1,0
1516279364,1,0
1516281277,1,0
1516282264,2,0
1516283143,1,0
1516284878,4,1
1516286161,1,2
1516286551,1,0
1516290172,0,19
1516291025,3,1
1516291860,1,0
1516293774,0,2
1516295750,1,0
1516298224,0,2
1516300955,0,3
1516305241,0,2
1516306250,1,2
1516307134,1,0
1516308048,2,1
1516310146,0,1
1516310911,1,0
1516315366,0,2
1516317051,0,2
1516318849,0,1
1516322365,1,0
1516325389,1,0
1516326347,1,1
1516328071,1,0
1516329020,0,1
1516336118,2,0
1516338693,2,0
1516339853,1,0
1516340734,2,0
1516341711,6,0
1516342548,1,0
1516344647,1,0
1516346084,2,0
1516347761,1,0
1516349453,2,0
1516351371,3,0
1516353540,3,1
1516354535,0,2
1516354967,1,0
1516359425,2,0
1516361563,3,3
1516363444,1,0
1516364447,1,0
1516364909,1,0
1516367685,0,1
1516368656,0,6
1516369542,0,7
1516371934,1,0
1516372961,1,2
1516374946,0,2
1516375852,0,12
1516378249,3,1
1516380157,1,0
1516381258,1,0
1516383753,1,2
1516384601,1,0
1516385449,1,1
1516388935,0,3
1516392648,1,0
1516394145,1,1
1516395381,1,0
1516396249,0,1
1516397454,7,0
1516399323,1,0
1516401054,1,0
1516401753,1,0
1516404978,0,1
1516406196,2,0
1516407269,3,0
1516408240,0,1
1516408951,0,1
1516410877,0,3
1516413420,0,2
1516416050,0,1
1516416943,0,1
1516420947,0,1
1516422049,1,0
1516424188,0,1
1516426860,2,0
1516428649,1,0
1516430451,1,0
1516431541,0,1
1516432551,3,0
1516433455,0,2
1516435331,1,2
1516436143,2,0
1516437348,0,1
1516438578,0,1
1516441372,0,1
1516442641,0,2
1516443531,4,0
1516444532,0,2
1516446656,0,2
1516448300,0,4
1516449386,0,1
1516450251,1,0
1516452052,0,1
1516452976,1,1
1516455749,1,3
1516456594,1,0
1516457670,2,1
1516460806,1,1
1516462531,0,6
1516464648,1,1
1516465844,0,1
1516466550,1,0
1516470166,2,0
1516475669,2,0
1516477356,2,3
1516479049,1,0
1516480110,1,0
1516480951,0,1
1516482944,1,0
1516485691,1,0
1516492586,3,0
1516493745,1,0
1516495243,1,1
1516497046,0,2
1516498969,2,0
1516506148,0,2
1516507163,0,1
1516508941,1,0
1516509761,0,1
1516513359,0,2
1516515051,3,1
1516516957,1,2
1516517805,0,1
1516520451,1,1
1516521832,0,3
1516524053,0,2
1516526450,2,0
1516533278,0,11
1516534139,1,0
1516535144,2,0
1516536649,3,0
1516537847,2,0
1516538743,1,0
1516539681,2,0
1516543559,0,1
1516544910,1,0
1516545751,1,0
1516547447,0,1
1516549540,1,10
1516551053,0,1
1516552264,3,0
1516553143,2,0
1516554097,0,1
1516555709,1,0
1516557470,1,0
1516558542,1,1
1516561020,1,0
1516562922,1,0
1516563945,1,0
1516565452,2,1
1516568205,0,8
1516571544,2,0
1516572649,0,2
1516574550,1,1
1516575428,0,1
1516578150,0,3
1516579002,1,0
1516580081,1,0
1516582611,1,1
1516583451,5,0
1516587270,1,0
1516588849,1,0
1516590939,1,0
1516591933,0,1
1516592555,1,0
1516595144,1,0
1516596055,0,1
1516596978,2,1
1516599456,4,2
1516601450,3,0
1516603831,1,0
1516605000,0,1
1516606263,1,4
1516608653,2,0
1516610452,2,0
1516612249,1,0
1516613462,2,4
1516614161,1,0
1516615851,1,0
1516616688,1,0
1516618779,1,0
1516619653,1,0
1516620533,1,0
1516621351,1,1
1516623274,1,0
1516624391,2,0
1516626404,1,1
1516627914,0,2
1516628742,2,0
1516635254,0,2
1516637276,0,1
1516639243,0,1
1516641359,2,1
1516642261,0,1
1516643806,2,1
1516647391,1,0
1516648249,0,1
1516650360,1,1
1516651849,0,1
1516653656,1,0
1516654586,0,1
1516655449,1,0
1516657368,2,1
1516661144,0,1
1516663057,0,1
1516666244,1,1
1516667062,1,0
1516668062,1,1
1516669009,0,1
1516669848,1,0
1516673674,1,0
1516674649,1,0
1516677051,2,0
1516678004,1,0
1516678855,1,1
1516684248,1,0
1516685209,11,0
1516686075,0,1
1516687853,0,1
1516688682,1,0
1516689586,0,2
1516689759,2,0
1516691451,2,0
1516693358,1,0
1516695037,1,0
1516697781,0,1
1516698653,2,0
1516699710,1,0
1516702248,1,0
1516705419,1,1
1516707114,1,3
1516709431,0,1
1516711264,1,0
1516715434,0,1
1516716387,2,0
1516718030,1,0
1516722168,0,17
1516723658,0,1
1516724918,1,0
1516725943,0,1
1516727696,1,1
1516730607,0,2
1516732583,7,0
1516736153,2,1
1516738101,1,0
1516739464,1,0
1516740348,0,1
1516741848,0,1
1516743964,2,0
1516744873,2,1
1516747352,1,0
1516748493,0,1
1516750960,3,1
1516751808,1,6
1516754145,3,1
1516756249,1,0
1516758151,1,1
1516760146,1,0
1516761049,0,1
1516761751,0,1
1516765252,1,1
1516766186,1,2
1516768952,1,5
1516770880,0,2
1516771853,1,0
1516774104,0,1
1516777025,2,2
1516777849,1,0
1516780205,3,1
1516781157,0,1
1516782042,2,0
1516783251,0,2
1516784365,1,2
1516786250,0,2
1516787753,7,0
1516788648,0,1
1516789716,1,0
1516792165,2,3
