DateTime,AddedIPs,RemovedIPs
1516252806,172,0
1516253717,227,228
1516254126,86,0
1516255544,304,246
1516256407,236,0
1516257614,235,539
1516258507,167,1
1516259406,183,257
1516260274,188,1
1516261207,153,481
1516262111,388,2
1516263007,391,277
1516263859,287,0
1516264929,356,503
1516265785,247,249
1516266607,223,2
1516267816,300,367
1516268707,246,1
1516270209,426,395
1516271290,283,3
1516272987,439,789
1516273807,231,1
1516275727,519,496
1516278007,602,290
1516278487,111,0
1516279338,251,523
1516281246,445,267
1516282215,209,345
1516283106,248,121
1516284847,386,247
1516286120,245,466
1516286527,87,1
1516288446,415,261
1516289286,174,0
1516290131,195,347
1516290984,185,384
1516291815,194,0
1516292838,206,0
1516293737,166,424
1516295707,379,247
1516296763,186,328
1516298183,254,341
1516299246,173,0
1516300086,162,1
1516300927,136,416
1516302232,226,206
1516303206,135,0
1516304406,198,251
1516305216,123,0
1516306014,154,347
1516307107,163,0
1516308006,153,401
1516308966,160,1
1516310107,187,191
1516310886,144,0
1516311713,128,414
1516312566,123,2
1516313647,168,239
1516315339,236,360
1516317007,322,227
1516317826,111,0
1516318807,132,435
1516319766,142,0
1516320607,119,215
1516321455,115,0
1516322327,132,468
1516322527,29,0
1516324206,236,243
1516325324,106,0
1516326306,103,499
1516328047,177,235
1516328992,70,1006
1516329907,76,268
1516331646,172,598
1516332616,105,326
1516333516,83,111
1516334879,124,286
1516336086,129,0
1516337033,0,41002
1516338654,40508,0
1516339807,111,403
1516340707,94,147
1516342506,193,285
1516343311,80,0
1516344174,84,488
1516346049,185,317
1516346886,83,1
1516347727,92,552
1516349407,151,280
1516350487,136,1
1516351327,95,519
1516353510,246,309
1516354507,96,384
1516354927,38,0
1516356847,199,406
1516358527,174,380
1516359384,78,417
1516360200,79,5
1516361439,74,658
1516362307,117,219
1516363376,96,390
1516364406,111,0
1516364886,59,1
1516367646,232,771
1516368612,122,381
1516369502,117,126
1516372087,292,249
1516372927,85,343
1516373983,132,387
1516374906,94,0
1516375813,86,375
1516376706,107,0
1516378206,173,434
1516380126,202,504
1516381183,124,301
1516381979,110,0
1516382886,86,0
1516383727,98,519
1516384567,142,0
1516385406,119,251
1516386423,106,0
1516387335,89,495
1516388910,156,225
1516390806,212,478
1516391766,92,0
1516392607,113,251
1516394114,190,439
1516395307,128,0
1516396207,92,260
1516397412,156,355
1516398307,98,108
1516400106,222,263
1516401011,108,330
1516401727,109,98
1516403646,229,245
1516404915,151,465
1516406106,133,0
1516407006,75,239
1516407246,29,0
1516408207,110,332
1516408927,85,161
1516410846,216,245
1516412526,224,507
1516413377,79,291
1516414206,67,0
1516415106,83,0
1516416006,87,526
1516416906,113,0
1516418047,144,299
1516418886,93,0
1516419906,133,575
1516420917,155,304
1516422006,145,0
1516423206,153,584
1516424166,120,0
1516425246,109,301
1516426806,199,546
1516427727,109,0
1516428606,77,273
1516429421,105,0
1516430406,124,459
1516431467,151,538
1516432515,130,1
1516433413,131,639
1516434308,127,198
1516435274,132,361
1516436073,109,0
1516437319,180,659
1516438506,175,1
1516439407,110,360
1516440281,129,1
1516441207,136,464
1516441327,15,2
1516442570,156,484
1516443498,123,0
1516444506,146,451
1516445766,195,1
1516446607,121,503
1516448277,212,689
1516449390,132,326
1516450207,201,0
1516452006,425,581
1516452906,251,0
1516453256,40,308
1516454107,123,0
1516455726,226,365
1516456566,144,0
1516457646,157,444
1516458486,94,0
1516459326,120,524
1516460766,207,282
1516461607,99,0
1516462454,101,373
1516463766,147,122
1516464606,111,258
1516464846,27,0
1516465790,126,334
1516466527,115,0
1516468206,216,339
1516470126,241,430
1516471254,126,226
1516472106,120,0
1516472944,106,0
1516473907,144,290
1516475646,209,331
1516477327,237,422
1516478180,123,210
1516479007,104,0
1516480086,131,0
1516480927,102,388
1516482907,260,197
1516483808,107,259
1516484707,108,96
1516485657,103,228
1516486446,90,0
1516487286,101,0
1516488127,102,446
1516489808,204,210
1516491606,194,374
1516492507,130,0
1516493706,170,212
1516495206,173,259
1516496168,143,0
1516497006,97,147
1516498927,221,229
1516499778,99,112
1516500606,119,0
1516501686,155,0
1516503376,193,382
1516504206,106,0
1516506126,233,213
1516507140,139,116
1516508106,127,9
1516508913,82,0
1516509726,129,213
1516510579,101,126
1516511406,106,0
1516513327,219,243
1516514175,96,0
1516515006,133,136
1516516086,127,0
1516516926,118,214
1516517780,96,116
1516518607,107,0
1516519492,89,0
1516520406,105,262
1516521807,133,116
1516522806,104,0
1516524014,123,254
1516525506,172,144
1516526407,101,0
1516527727,153,254
1516528974,142,126
1516530008,133,0
1516530907,100,134
1516531806,92,0
1516533246,168,220
1516534115,101,0
1516535106,139,190
1516536606,156,123
1516537811,135,188
1516538706,98,69
1516539607,93,131
1516540461,77,15
1516544406,329,376
1516544887,54,0
1516545726,100,232
1516546566,105,2
1516547407,91,157
1516548486,126,0
1516549507,134,249
1516551006,156,138
1516552231,136,183
1516553107,83,74
1516554057,107,129
1516554907,99,0
1516555686,76,0
1516556528,88,268
1516557412,87,0
1516559287,170,129
1516560127,93,257
1516560982,96,148
1516561807,103,0
1516562886,106,0
1516564566,187,283
1516565406,82,152
1516566403,110,0
1516568182,179,401
1516569006,77,0
1516570087,106,0
1516571505,142,192
1516572606,120,228
1516574527,191,234
1516575381,74,213
1516576207,85,1
1516578127,196,253
1516578979,92,164
1516580046,103,0
1516580929,109,0
1516581727,83,203
1516582578,82,202
1516583407,101,0
1516583646,24,0
1516584627,95,140
1516587246,293,226
1516588806,160,217
1516589706,84,1
1516590056,28,245
1516590906,100,0
1516591875,105,226
1516592527,70,76
1516593378,83,138
1516594206,83,0
1516595107,70,0
1516596006,93,193
1516596907,84,0
1516597806,97,218
1516598609,77,0
1516599412,90,261
1516600506,129,0
1516601406,88,173
1516602520,112,0
1516603807,130,249
1516604975,137,279
1516606217,142,262
1516607108,110,82
1516607791,64,195
1516608607,93,1
1516609506,91,1
1516610416,104,252
1516611280,110,2
1516612206,98,333
1516612446,21,0
1516613426,107,248
1516614127,90,0
1516614998,75,284
1516615807,125,1
1516616632,80,0
1516617727,122,307
1516618754,121,146
1516619629,92,20
1516620495,94,0
1516621327,98,565
1516622391,124,383
1516623247,80,0
1516624322,112,255
1516625407,134,93
1516626365,107,221
1516626847,48,0
1516627857,112,211
1516628706,97,0
1516630034,175,278
1516631407,145,234
1516632126,97,66
1516634355,244,153
1516635215,99,247
1516636197,124,79
1516637248,136,149
1516638119,118,2
1516639206,129,228
1516641307,260,240
1516642213,108,226
1516643106,107,92
1516643779,84,154
1516644606,97,0
1516645686,132,0
1516647366,222,229
1516648207,91,290
1516649286,114,0
1516650307,107,295
1516651806,153,174
1516653606,196,275
1516654507,109,0
1516655407,97,147
1516657327,157,204
1516658364,96,226
1516659307,83,0
1516660086,82,0
1516661107,81,280
1516662990,128,164
1516663686,97,0
1516664706,108,216
1516666206,192,268
1516667017,75,0
1516668006,120,267
1516668982,90,147
1516669806,80,0
1516670887,130,0
1516672730,197,475
1516673647,123,0
1516674608,107,191
1516675326,74,89
1516677007,202,156
1516677959,133,0
1516678806,104,289
1516679766,106,0
1516680606,80,155
1516681686,115,0
1516682706,130,260
1516684206,131,130
1516685166,116,1
1516686006,77,279
1516686932,125,0
1516687806,74,138
1516688640,112,0
1516689547,118,299
1516689727,21,0
1516691407,214,114
1516693327,233,226
1516694195,118,0
1516695006,123,135
1516695864,70,2
1516696807,117,259
1516697801,103,141
1516698607,98,0
1516699686,136,0
1516700527,104,280
1516701386,98,129
1516702207,68,2
1516703426,144,240
1516704306,97,0
1516706046,188,204
1516707062,107,191
1516707907,107,0
1516709383,176,207
1516710388,99,0
1516711214,86,191
1516712106,113,0
1516713006,92,72
1516714369,116,196
1516715406,128,68
1516716337,137,150
1516717165,105,0
1516717982,97,196
1516719032,130,69
1516719379,32,146
1516720447,113,0
1516722137,211,211
1516723618,193,191
1516724886,136,0
1516725906,115,257
1516727646,194,130
1516728487,107,0
1516730512,367,390
1516731606,169,1
1516732554,168,251
1516733357,126,0
1516734169,107,144
1516735208,137,0
1516736115,121,259
1516737006,115,0
1516738052,155,131
1516738447,59,0
1516739429,131,167
1516740307,112,80
1516741806,172,125
1516742922,141,0
1516743907,128,173
1516744790,118,193
1516745707,116,0
1516747327,182,259
1516748457,121,129
1516749307,111,0
1516750927,210,265
1516751783,94,146
1516752616,120,0
1516754116,172,240
1516755232,134,0
1516756206,108,136
1516758127,239,235
1516759034,126,106
1516760106,139,0
1516761007,100,181
1516761726,95,62
1516763647,214,109
1516765207,187,224
1516766186,114,110
1516767007,84,0
1516768927,195,253
1516770846,177,151
1516771807,95,172
1516772527,70,64
1516774063,190,125
1516775056,121,0
1516775286,39,0
1516777000,191,391
1516777806,112,0
1516778819,106,2
1516779620,99,265
1516780497,94,0
1516781406,105,144
1516782282,106,1
1516783206,129,210
1516784341,133,207
1516785306,120,0
1516786212,83,214
1516787722,198,64
1516788606,105,151
1516789692,127,1
1516792806,343,396
