DateTime,Entries,UniqueIPs
1516252806,50117,50117
1516253717,50116,50116
1516254126,50202,50202
1516255544,50260,50260
1516256407,50496,50496
1516257614,50192,50192
1516258507,50358,50358
1516259406,50284,50284
1516260274,50471,50471
1516261207,50143,50143
1516262111,50529,50529
1516263007,50643,50643
1516263859,50930,50930
1516264929,50783,50783
1516265785,50781,50781
1516266607,51002,51002
1516267816,50935,50935
1516268707,51180,51180
1516270209,51211,51211
1516271290,51491,51491
1516272987,51141,51141
1516273807,51371,51371
1516275727,51394,51394
1516278007,51706,51706
1516278487,51817,51817
1516279338,51545,51545
1516281246,51723,51723
1516282215,51587,51587
1516283106,51714,51714
1516284847,51853,51853
1516286120,51632,51632
1516286527,51718,51718
1516288446,51872,51872
1516289286,52046,52046
1516290131,51894,51894
1516290984,51695,51695
1516291815,51889,51889
1516292838,52095,52095
1516293737,51837,51837
1516295707,51969,51969
1516296763,51827,51827
1516298183,51740,51740
1516299246,51913,51913
1516300086,52074,52074
1516300927,51794,51794
1516302232,51814,51814
1516303206,51949,51949
1516304406,51896,51896
1516305216,52019,52019
1516306014,51826,51826
1516307107,51989,51989
1516308006,51741,51741
1516308966,51900,51900
1516310107,51896,51896
1516310886,52040,52040
1516311713,51754,51754
1516312566,51875,51875
1516313647,51804,51804
1516315339,51680,51680
1516317007,51775,51775
1516317826,51886,51886
1516318807,51583,51583
1516319766,51725,51725
1516320607,51629,51629
1516321455,51744,51744
1516322327,51408,51408
1516322527,51437,51437
1516324206,51430,51430
1516325324,51536,51536
1516326306,51140,51140
1516328047,51082,51082
1516328992,50146,50146
1516329907,49954,49954
1516331646,49528,49528
1516332616,49307,49307
1516333516,49279,49279
1516334879,49117,49117
1516336086,49246,49246
1516337033,8244,8244
1516338654,48752,48752
1516339807,48460,48460
1516340707,48407,48407
1516342506,48315,48315
1516343311,48395,48395
1516344174,47991,47991
1516346049,47859,47859
1516346886,47941,47941
1516347727,47481,47481
1516349407,47352,47352
1516350487,47487,47487
1516351327,47063,47063
1516353510,47000,47000
1516354507,46712,46712
1516354927,46750,46750
1516356847,46543,46543
1516358527,46337,46337
1516359384,45998,45998
1516360200,46072,46072
1516361439,45488,45488
1516362307,45386,45386
1516363376,45092,45092
1516364406,45203,45203
1516364886,45261,45261
1516367646,44722,44722
1516368612,44463,44463
1516369502,44454,44454
1516372087,44497,44497
1516372927,44239,44239
1516373983,43984,43984
1516374906,44078,44078
1516375813,43789,43789
1516376706,43896,43896
1516378206,43635,43635
1516380126,43333,43333
1516381183,43156,43156
1516381979,43266,43266
1516382886,43352,43352
1516383727,42931,42931
1516384567,43073,43073
1516385406,42941,42941
1516386423,43047,43047
1516387335,42641,42641
1516388910,42572,42572
1516390806,42306,42306
1516391766,42398,42398
1516392607,42260,42260
1516394114,42011,42011
1516395307,42139,42139
1516396207,41971,41971
1516397412,41772,41772
1516398307,41762,41762
1516400106,41721,41721
1516401011,41499,41499
1516401727,41510,41510
1516403646,41494,41494
1516404915,41180,41180
1516406106,41313,41313
1516407006,41149,41149
1516407246,41178,41178
1516408207,40956,40956
1516408927,40880,40880
1516410846,40851,40851
1516412526,40568,40568
1516413377,40356,40356
1516414206,40423,40423
1516415106,40506,40506
1516416006,40067,40067
1516416906,40180,40180
1516418047,40025,40025
1516418886,40118,40118
1516419906,39676,39676
1516420917,39527,39527
1516422006,39672,39672
1516423206,39241,39241
1516424166,39361,39361
1516425246,39169,39169
1516426806,38822,38822
1516427727,38931,38931
1516428606,38735,38735
1516429421,38840,38840
1516430406,38505,38505
1516431467,38118,38118
1516432515,38247,38247
1516433413,37739,37739
1516434308,37668,37668
1516435274,37439,37439
1516436073,37548,37548
1516437319,37069,37069
1516438506,37243,37243
1516439407,36993,36993
1516440281,37121,37121
1516441207,36793,36793
1516441327,36806,36806
1516442570,36478,36478
1516443498,36601,36601
1516444506,36296,36296
1516445766,36490,36490
1516446607,36108,36108
1516448277,35631,35631
1516449390,35437,35437
1516450207,35638,35638
1516452006,35482,35482
1516452906,35733,35733
1516453256,35465,35465
1516454107,35588,35588
1516455726,35449,35449
1516456566,35593,35593
1516457646,35306,35306
1516458486,35400,35400
1516459326,34996,34996
1516460766,34921,34921
1516461607,35020,35020
1516462454,34748,34748
1516463766,34773,34773
1516464606,34626,34626
1516464846,34653,34653
1516465790,34445,34445
1516466527,34560,34560
1516468206,34437,34437
1516470126,34248,34248
1516471254,34148,34148
1516472106,34268,34268
1516472944,34374,34374
1516473907,34228,34228
1516475646,34106,34106
1516477327,33921,33921
1516478180,33834,33834
1516479007,33938,33938
1516480086,34069,34069
1516480927,33783,33783
1516482907,33846,33846
1516483808,33694,33694
1516484707,33706,33706
1516485657,33581,33581
1516486446,33671,33671
1516487286,33772,33772
1516488127,33428,33428
1516489808,33422,33422
1516491606,33242,33242
1516492507,33372,33372
1516493706,33330,33330
1516495206,33244,33244
1516496168,33387,33387
1516497006,33337,33337
1516498927,33329,33329
1516499778,33316,33316
1516500606,33435,33435
1516501686,33590,33590
1516503376,33401,33401
1516504206,33507,33507
1516506126,33527,33527
1516507140,33550,33550
1516508106,33668,33668
1516508913,33750,33750
1516509726,33666,33666
1516510579,33641,33641
1516511406,33747,33747
1516513327,33723,33723
1516514175,33819,33819
1516515006,33816,33816
1516516086,33943,33943
1516516926,33847,33847
1516517780,33827,33827
1516518607,33934,33934
1516519492,34023,34023
1516520406,33866,33866
1516521807,33883,33883
1516522806,33987,33987
1516524014,33856,33856
1516525506,33884,33884
1516526407,33985,33985
1516527727,33884,33884
1516528974,33900,33900
1516530008,34033,34033
1516530907,33999,33999
1516531806,34091,34091
1516533246,34039,34039
1516534115,34140,34140
1516535106,34089,34089
1516536606,34122,34122
1516537811,34069,34069
1516538706,34098,34098
1516539607,34060,34060
1516540461,34122,34122
1516544406,34075,34075
1516544887,34129,34129
1516545726,33997,33997
1516546566,34100,34100
1516547407,34034,34034
1516548486,34160,34160
1516549507,34045,34045
1516551006,34063,34063
1516552231,34016,34016
1516553107,34025,34025
1516554057,34003,34003
1516554907,34102,34102
1516555686,34178,34178
1516556528,33998,33998
1516557412,34085,34085
1516559287,34126,34126
1516560127,33962,33962
1516560982,33910,33910
1516561807,34013,34013
1516562886,34119,34119
1516564566,34023,34023
1516565406,33953,33953
1516566403,34063,34063
1516568182,33841,33841
1516569006,33918,33918
1516570087,34024,34024
1516571505,33974,33974
1516572606,33866,33866
1516574527,33823,33823
1516575381,33684,33684
1516576207,33768,33768
1516578127,33711,33711
1516578979,33639,33639
1516580046,33742,33742
1516580929,33851,33851
1516581727,33731,33731
1516582578,33611,33611
1516583407,33712,33712
1516583646,33736,33736
1516584627,33691,33691
1516587246,33758,33758
1516588806,33701,33701
1516589706,33784,33784
1516590056,33567,33567
1516590906,33667,33667
1516591875,33546,33546
1516592527,33540,33540
1516593378,33485,33485
1516594206,33568,33568
1516595107,33638,33638
1516596006,33538,33538
1516596907,33622,33622
1516597806,33501,33501
1516598609,33578,33578
1516599412,33407,33407
1516600506,33536,33536
1516601406,33451,33451
1516602520,33563,33563
1516603807,33444,33444
1516604975,33302,33302
1516606217,33182,33182
1516607108,33210,33210
1516607791,33079,33079
1516608607,33171,33171
1516609506,33261,33261
1516610416,33113,33113
1516611280,33221,33221
1516612206,32986,32986
1516612446,33007,33007
1516613426,32866,32866
1516614127,32956,32956
1516614998,32747,32747
1516615807,32871,32871
1516616632,32951,32951
1516617727,32766,32766
1516618754,32741,32741
1516619629,32813,32813
1516620495,32907,32907
1516621327,32440,32440
1516622391,32181,32181
1516623247,32261,32261
1516624322,32118,32118
1516625407,32159,32159
1516626365,32045,32045
1516626847,32093,32093
1516627857,31994,31994
1516628706,32091,32091
1516630034,31988,31988
1516631407,31899,31899
1516632126,31930,31930
1516634355,32021,32021
1516635215,31873,31873
1516636197,31918,31918
1516637248,31905,31905
1516638119,32021,32021
1516639206,31922,31922
1516641307,31942,31942
1516642213,31824,31824
1516643106,31839,31839
1516643779,31769,31769
1516644606,31866,31866
1516645686,31998,31998
1516647366,31991,31991
1516648207,31792,31792
1516649286,31906,31906
1516650307,31718,31718
1516651806,31697,31697
1516653606,31618,31618
1516654507,31727,31727
1516655407,31677,31677
1516657327,31630,31630
1516658364,31500,31500
1516659307,31583,31583
1516660086,31665,31665
1516661107,31466,31466
1516662990,31430,31430
1516663686,31527,31527
1516664706,31419,31419
1516666206,31343,31343
1516667017,31418,31418
1516668006,31271,31271
1516668982,31214,31214
1516669806,31294,31294
1516670887,31424,31424
1516672730,31146,31146
1516673647,31269,31269
1516674608,31185,31185
1516675326,31170,31170
1516677007,31216,31216
1516677959,31349,31349
1516678806,31164,31164
1516679766,31270,31270
1516680606,31195,31195
1516681686,31310,31310
1516682706,31180,31180
1516684206,31181,31181
1516685166,31296,31296
1516686006,31094,31094
1516686932,31219,31219
1516687806,31155,31155
1516688640,31267,31267
1516689547,31086,31086
1516689727,31107,31107
1516691407,31207,31207
1516693327,31214,31214
1516694195,31332,31332
1516695006,31320,31320
1516695864,31388,31388
1516696807,31246,31246
1516697801,31208,31208
1516698607,31306,31306
1516699686,31442,31442
1516700527,31266,31266
1516701386,31235,31235
1516702207,31301,31301
1516703426,31205,31205
1516704306,31302,31302
1516706046,31286,31286
1516707062,31202,31202
1516707907,31309,31309
1516709383,31278,31278
1516710388,31377,31377
1516711214,31272,31272
1516712106,31385,31385
1516713006,31405,31405
1516714369,31325,31325
1516715406,31385,31385
1516716337,31372,31372
1516717165,31477,31477
1516717982,31378,31378
1516719032,31439,31439
1516719379,31325,31325
1516720447,31438,31438
1516722137,31438,31438
1516723618,31440,31440
1516724886,31576,31576
1516725906,31434,31434
1516727646,31498,31498
1516728487,31605,31605
1516730512,31582,31582
1516731606,31750,31750
1516732554,31667,31667
1516733357,31793,31793
1516734169,31756,31756
1516735208,31893,31893
1516736115,31755,31755
1516737006,31870,31870
1516738052,31894,31894
1516738447,31953,31953
1516739429,31917,31917
1516740307,31949,31949
1516741806,31996,31996
1516742922,32137,32137
1516743907,32092,32092
1516744790,32017,32017
1516745707,32133,32133
1516747327,32056,32056
1516748457,32048,32048
1516749307,32159,32159
1516750927,32104,32104
1516751783,32052,32052
1516752616,32172,32172
1516754116,32104,32104
1516755232,32238,32238
1516756206,32210,32210
1516758127,32214,32214
1516759034,32234,32234
1516760106,32373,32373
1516761007,32292,32292
1516761726,32325,32325
1516763647,32430,32430
1516765207,32393,32393
1516766186,32397,32397
1516767007,32481,32481
1516768927,32423,32423
1516770846,32449,32449
1516771807,32372,32372
1516772527,32378,32378
1516774063,32443,32443
1516775056,32564,32564
1516775286,32603,32603
1516777000,32403,32403
1516777806,32515,32515
1516778819,32619,32619
1516779620,32453,32453
1516780497,32547,32547
1516781406,32508,32508
1516782282,32613,32613
1516783206,32532,32532
1516784341,32458,32458
1516785306,32578,32578
1516786212,32447,32447
