DateTime,Entries,UniqueIPs
1516235247,4067,4067
1516236336,4061,4061
1516237849,4064,4064
1516238990,4052,4052
1516241446,4079,4079
1516242644,4080,4080
1516243544,4077,4077
1516244485,4074,4074
1516245345,4098,4098
1516246110,4114,4114
1516247143,4108,4108
1516248645,4112,4112
1516250034,4114,4114
1516251029,4116,4116
1516252021,4114,4114
1516252847,4135,4135
1516253752,4110,4110
1516254151,4119,4119
1516255566,4117,4117
1516256449,4135,4135
1516258580,4125,4125
1516259454,4139,4139
1516260297,4148,4148
1516262155,4133,4133
1516263054,4140,4140
1516263883,4171,4171
1516264972,4197,4197
1516265807,4201,4201
1516266650,4220,4220
1516267851,4215,4215
1516268735,4234,4234
1516270247,4228,4228
1516273024,4221,4221
1516273843,4236,4236
1516275758,4235,4235
1516277058,4235,4235
1516278047,4272,4272
1516278523,4289,4289
1516279360,4275,4275
1516281274,4284,4284
1516282260,4280,4280
1516283138,4288,4288
1516284876,4296,4296
1516286158,4283,4283
1516286549,4285,4285
1516288461,4315,4315
1516289309,4330,4330
1516290170,4325,4325
1516291023,4322,4322
1516291857,4353,4353
1516292864,4383,4383
1516293771,4370,4370
1516295748,4415,4415
1516296790,4424,4424
1516297350,4436,4436
1516298222,4428,4428
1516299276,4447,4447
1516300108,4469,4469
1516300953,4463,4463
1516302264,4476,4476
1516303217,4490,4490
1516305239,4524,4524
1516306248,4519,4519
1516307132,4538,4538
1516308046,4514,4514
1516310144,4553,4553
1516310909,4580,4580
1516311755,4573,4573
1516312602,4589,4589
1516315364,4600,4600
1516317049,4626,4626
1516317848,4641,4641
1516318847,4639,4639
1516319797,4662,4662
1516320648,4657,4657
1516321486,4679,4679
1516322362,4649,4649
1516322559,4656,4656
1516324257,4687,4687
1516326345,4687,4687
1516328069,4700,4700
1516329018,4696,4696
1516329945,4709,4709
1516331207,4718,4718
1516331676,4725,4725
1516332662,4722,4722
1516333546,4730,4730
1516334921,4750,4750
1516336116,4772,4772
1516337036,4753,4753
1516338690,4749,4749
1516339850,4740,4740
1516341686,4750,4750
1516342546,4770,4770
1516343565,4747,4747
1516345503,4747,4747
1516346082,4760,4760
1516346909,4774,4774
1516347759,4738,4738
1516349451,4745,4745
1516350510,4783,4783
1516351369,4766,4766
1516353538,4806,4806
1516354533,4803,4803
1516354965,4809,4809
1516356876,4824,4824
1516358558,4841,4841
1516359423,4833,4833
1516361544,4674,4674
1516363422,4560,4560
1516364443,4585,4585
1516364907,4600,4600
1516367683,4567,4567
1516368649,4565,4565
1516369536,4580,4580
1516372110,4638,4638
1516372959,4630,4630
1516374004,4621,4621
1516374943,4643,4643
1516375847,4639,4639
1516376737,4657,4657
1516378247,4656,4656
1516380155,4663,4663
1516381205,4661,4661
1516382146,4697,4697
1516382908,4720,4720
1516383751,4701,4701
1516384599,4727,4727
1516385447,4716,4716
1516386466,4750,4750
1516387365,4712,4712
1516388932,4745,4745
1516391788,4783,4783
1516392646,4777,4777
1516394143,4785,4785
1516395379,4798,4798
1516396247,4820,4820
1516397451,4816,4816
1516398347,4833,4833
1516399299,4824,4824
1516400135,4848,4848
1516401050,4848,4848
1516401751,4861,4861
1516402606,4880,4880
1516403667,4893,4893
1516404961,4873,4873
1516406182,4890,4890
1516407064,4910,4910
1516407267,4912,4912
1516408236,4907,4907
1516408949,4895,4895
1516410875,4919,4919
1516412564,4925,4925
1516413418,4916,4916
1516414247,4935,4935
1516415137,4955,4955
1516416048,4911,4911
1516416941,4939,4939
1516418068,4936,4936
1516418916,4961,4961
1516419943,4931,4931
1516420938,4936,4936
1516422046,4949,4949
1516424186,4959,4959
1516425268,4955,4955
1516426858,4937,4937
1516428647,4942,4942
1516429539,4956,4956
1516430449,4943,4943
1516431539,4936,4936
1516432548,4959,4959
1516433451,4914,4914
1516434346,4874,4874
1516435319,4870,4870
1516436140,4897,4897
1516437346,4878,4878
1516438528,4905,4905
1516439442,4894,4894
1516440307,4913,4913
1516441369,4906,4906
1516442611,4891,4891
1516443529,4907,4907
1516444528,4894,4894
1516445791,4928,4928
1516446653,4907,4907
1516448298,4882,4882
1516449384,4874,4874
1516450249,4955,4955
1516452050,5073,5073
1516452927,5210,5210
1516453282,5187,5187
1516454136,5214,5214
1516455748,5213,5213
1516456592,5232,5232
1516457668,5213,5213
1516458527,5231,5231
1516459348,5205,5205
1516460804,5199,5199
1516461649,5221,5221
1516462525,5186,5186
1516463734,5212,5212
1516464646,5198,5198
1516464875,5211,5211
1516465823,5190,5190
1516466548,5207,5207
1516468247,5195,5195
1516470164,5176,5176
1516471284,5171,5171
1516472145,5197,5197
1516473019,5190,5190
1516473940,5207,5207
1516475667,5187,5187
1516477354,5165,5165
1516478201,5149,5149
1516479047,5172,5172
1516480108,5193,5193
1516480949,5141,5141
1516482941,5156,5156
1516483839,5133,5133
1516484738,5136,5136
1516485688,5112,5112
1516486467,5122,5122
1516487307,5137,5137
1516488153,5091,5091
1516489854,5085,5085
1516492584,5038,5038
1516493743,5044,5044
1516495241,4999,4999
1516496189,5021,5021
1516497044,4980,4980
1516498967,4937,4937
1516499814,4921,4921
1516500643,4939,4939
1516500874,4939,4939
1516501713,4951,4951
1516503396,4911,4911
1516504251,4920,4920
1516506147,4895,4895
1516507161,4895,4895
1516508140,4909,4909
1516508939,4920,4920
1516509758,4883,4883
1516510600,4871,4871
1516511448,4883,4883
1516513357,4870,4870
1516514204,4879,4879
1516515047,4875,4875
1516516955,4852,4852
1516517803,4854,4854
1516518648,4862,4862
1516519514,4865,4865
1516520449,4803,4803
1516521830,4796,4796
1516522843,4802,4802
1516524051,4750,4750
1516525544,4758,4758
1516526448,4767,4767
1516527764,4734,4734
1516529019,4734,4734
1516530943,4730,4730
1516531837,4745,4745
1516533276,4716,4716
1516534137,4727,4727
1516535141,4694,4694
1516536647,4686,4686
1516537842,4658,4658
1516538741,4648,4648
1516539678,4636,4636
1516540483,4647,4647
1516543557,4586,4586
1516544450,4608,4608
1516544908,4617,4617
1516545749,4579,4579
1516546600,4589,4589
1516547445,4564,4564
1516548508,4579,4579
1516549538,4539,4539
1516551051,4522,4522
1516552261,4487,4487
1516553141,4473,4473
1516554084,4445,4445
1516554942,4450,4450
1516555707,4454,4454
1516556567,4397,4397
1516557448,4405,4405
1516558539,4369,4369
1516559316,4374,4374
1516560159,4302,4302
1516561018,4261,4261
1516561845,4271,4271
1516562920,4276,4276
1516563943,4206,4206
1516564598,4194,4194
1516565450,4165,4165
1516566424,4184,4184
1516568203,4125,4125
1516569049,4140,4140
1516570110,4149,4149
1516571542,4130,4130
1516572647,4092,4092
1516574548,4057,4057
1516575422,4006,4006
1516576249,4018,4018
1516578148,3979,3979
1516579000,3954,3954
1516580079,3973,3973
1516581001,3943,3943
1516581756,3955,3955
1516582609,3906,3906
1516583449,3922,3922
1516583675,3924,3924
1516584655,3902,3902
1516587268,3881,3881
1516588847,3879,3879
1516589787,3843,3843
1516590087,3848,3848
1516590937,3863,3863
1516591918,3851,3851
1516592553,3840,3840
1516593412,3819,3819
1516594249,3831,3831
1516595142,3842,3842
1516596049,3813,3813
1516596974,3788,3788
1516597847,3793,3793
1516599452,3764,3764
1516601448,3783,3783
1516602542,3795,3795
1516603829,3769,3769
1516604997,3732,3732
1516606259,3702,3702
1516607141,3694,3694
1516607826,3673,3673
1516608651,3675,3675
1516609528,3682,3682
1516610450,3656,3656
1516611304,3666,3666
1516612247,3638,3638
1516612472,3642,3642
1516613459,3622,3622
1516614159,3638,3638
1516615029,3602,3602
1516615849,3608,3608
1516616675,3619,3619
1516617757,3585,3585
1516618777,3585,3585
1516619651,3590,3590
1516620530,3610,3610
1516621349,3412,3412
1516623272,3293,3293
1516624377,3271,3271
1516625429,3265,3265
1516626402,3254,3254
1516626877,3264,3264
1516627894,3247,3247
1516628739,3276,3276
1516630061,3264,3264
1516631446,3239,3239
1516632152,3240,3240
1516634386,3245,3245
1516635238,3202,3202
1516636221,3222,3222
1516637274,3212,3212
1516638162,3237,3237
1516639241,3217,3217
1516641352,3220,3220
1516642258,3188,3188
1516643158,3191,3191
1516643804,3163,3163
1516644651,3174,3174
1516645716,3195,3195
1516647389,3200,3200
1516648247,3164,3164
1516649320,3174,3174
1516650344,3118,3118
1516651847,3122,3122
1516653653,3100,3100
1516654584,3094,3094
1516655447,3113,3113
1516657366,3119,3119
1516659343,3093,3093
1516660110,3113,3113
1516661142,3090,3090
1516663021,3088,3088
1516663708,3107,3107
1516664741,3104,3104
1516666242,3071,3071
1516667042,3072,3072
1516668060,3056,3056
1516669003,3043,3043
1516669845,3048,3048
1516670909,3055,3055
1516672752,3006,3006
1516673672,3015,3015
1516674646,3005,3005
1516675351,3003,3003
1516677047,2990,2990
1516678002,3000,3000
1516678853,2970,2970
1516679795,2985,2985
1516680648,2986,2986
1516681716,2987,2987
1516682748,2977,2977
1516684246,2978,2978
1516685206,2993,2993
1516686047,2967,2967
1516686955,2981,2981
1516687851,2973,2973
1516688678,2994,2994
1516689584,2991,2991
1516689757,2990,2990
1516691449,2998,2998
1516693356,3005,3005
1516694237,3020,3020
1516695033,3032,3032
1516695874,3036,3036
1516697777,3027,3027
1516698651,3032,3032
1516699708,3053,3053
1516700560,3047,3047
1516701427,3064,3064
1516702246,3070,3070
1516703460,3077,3077
1516704338,3106,3106
1516705420,3096,3096
1516706068,3111,3111
1516707097,3113,3113
1516707943,3136,3136
1516709404,3147,3147
1516710412,3172,3172
1516711261,3154,3154
1516712140,3164,3164
1516713046,3158,3158
1516714403,3144,3144
1516715428,3148,3148
1516716374,3157,3157
1516717198,3168,3168
1516718014,3170,3170
1516719059,3181,3181
1516719400,3169,3169
1516720472,3191,3191
1516722166,3219,3219
1516723655,3235,3235
1516724916,3258,3258
1516725941,3254,3254
1516727694,3270,3270
1516728508,3289,3289
1516730603,3296,3296
1516732581,3311,3311
1516733384,3328,3328
1516734222,3317,3317
1516736151,3296,3296
1516737028,3314,3314
1516738099,3314,3314
1516738469,3318,3318
1516739462,3317,3317
1516740346,3321,3321
1516741846,3318,3318
1516742943,3339,3339
1516743960,3334,3334
1516744864,3333,3333
1516745750,3368,3368
1516747350,3371,3371
1516748490,3381,3381
1516749340,3397,3397
1516750958,3387,3387
1516751806,3389,3389
1516752649,3411,3411
1516754143,3387,3387
1516755259,3410,3410
1516756247,3419,3419
1516758149,3406,3406
1516759059,3405,3405
1516760143,3422,3422
1516761043,3409,3409
1516761749,3406,3406
1516763673,3419,3419
1516765250,3415,3415
1516766180,3421,3421
1516767042,3428,3428
1516768950,3439,3439
1516770878,3429,3429
1516771848,3428,3428
1516772550,3428,3428
1516774084,3436,3436
1516775307,3466,3466
1516777021,3448,3448
1516777847,3466,3466
1516778854,3479,3479
1516780202,3472,3472
1516781155,3463,3463
1516782040,3466,3466
1516783249,3464,3464
1516784363,3464,3464
1516785341,3490,3490
1516786241,3472,3472
1516787751,3498,3498
1516788646,3485,3485
1516789714,3506,3506
1516792161,3474,3474
