DateTime,AddedIPs,RemovedIPs
1516244474,45,37
1516245319,29,0
1516246100,19,0
1516247122,25,94
1516248630,41,35
1516250023,35,182
1516251019,30,120
1516252011,41,45
1516252825,21,0
1516253736,38,53
1516254141,6,0
1516255556,35,37
1516256426,35,0
1516258522,52,96
1516259435,21,44
1516260287,26,0
1516262132,66,81
1516263029,52,45
1516263872,38,1
1516264951,43,74
1516265797,25,48
1516266633,35,1
1516267829,42,65
1516268719,30,0
1516270226,49,75
1516272999,82,150
1516273833,25,0
1516275747,76,96
1516278027,88,47
1516278508,18,0
1516279350,42,98
1516281262,62,57
1516282236,41,72
1516283122,39,23
1516284862,60,45
1516286139,33,73
1516286539,14,0
1516289298,102,47
1516290142,30,53
1516291003,29,75
1516291836,45,4
1516292854,36,2
1516293753,24,88
1516295723,65,39
1516296775,40,70
1516298208,47,51
1516299262,39,0
1516300098,41,3
1516300939,36,85
1516302248,42,42
1516304418,84,67
1516305229,18,4
1516306225,31,77
1516307120,27,2
1516308026,31,88
1516308982,34,2
1516310123,43,31
1516310898,33,0
1516311737,32,91
1516312583,33,2
1516313659,33,60
1516315354,49,97
1516317033,111,69
1516317838,32,0
1516318822,26,99
1516319782,31,0
1516320632,30,46
1516321472,22,0
1516322338,28,64
1516322544,10,0
1516324231,63,44
1516325336,32,0
1516326326,35,70
1516328060,60,40
1516329004,22,728
1516329919,19,158
1516331184,32,391
1516331658,16,0
1516332637,37,63
1516333533,26,15
1516334890,31,39
1516336101,41,0
1516338669,66,107
1516339823,37,65
1516340723,32,27
1516341671,28,50
1516342525,28,1
1516343541,27,36
1516345492,43,62
1516346066,21,1
1516346899,30,0
1516347748,25,79
1516349434,52,40
1516350499,44,2
1516351347,30,78
1516353523,69,47
1516354521,36,55
1516354944,20,1
1516356862,57,59
1516358543,53,57
1516359401,21,80
1516361504,57,75
1516362324,29,17
1516363400,30,59
1516364425,43,0
1516364897,22,1
1516367661,101,121
1516368627,66,61
1516369514,37,23
1516372100,126,44
1516372945,26,55
1516373994,38,69
1516374921,40,2
1516375828,22,56
1516376722,42,2
1516378232,53,62
1516380141,55,79
1516381194,46,45
1516382113,50,1
1516382898,23,2
1516383742,30,89
1516384585,25,3
1516385431,49,55
1516386443,42,0
1516387351,32,77
1516388921,42,40
1516390825,60,79
1516391777,22,2
1516392630,45,44
1516394126,60,86
1516395321,37,2
1516396232,30,38
1516397432,42,73
1516398326,33,16
1516399278,32,64
1516400118,29,3
1516401026,33,79
1516401738,27,20
1516402592,21,2
1516403658,27,42
1516404934,54,100
1516406122,26,3
1516407026,20,44
1516407257,9,0
1516408219,30,55
1516408939,32,22
1516410861,57,32
1516412550,87,76
1516413396,30,50
1516414233,26,2
1516415118,37,0
1516416025,36,73
1516416925,25,1
1516418058,36,31
1516418902,20,1
1516419921,31,72
1516420929,43,41
1516422026,51,0
1516423218,36,82
1516424177,37,1
1516425258,21,32
1516426826,51,67
1516427782,35,29
1516428632,24,1
1516429513,25,0
1516430425,32,59
1516431482,36,81
1516432532,29,0
1516433434,30,77
1516434326,28,25
1516435294,35,34
1516436113,25,2
1516437331,46,81
1516438518,43,0
1516439425,27,44
1516440293,28,1
1516441346,37,42
1516442591,41,47
1516443517,23,0
1516444518,47,49
1516445782,46,2
1516446632,28,84
1516448288,57,100
1516449325,44,0
1516450233,21,48
1516452025,77,98
1516452917,32,0
1516453268,14,51
1516454121,31,3
1516455738,68,43
1516456581,43,0
1516457658,51,55
