DateTime,Entries,UniqueIPs
1516244474,10102,10102
1516245319,10131,10131
1516246100,10150,10150
1516247122,10081,10081
1516248630,10087,10087
1516250023,9940,9940
1516251019,9850,9850
1516252011,9846,9846
1516252825,9867,9867
1516253736,9852,9852
1516254141,9858,9858
1516255556,9856,9856
1516256426,9891,9891
1516258522,9847,9847
1516259435,9824,9824
1516260287,9850,9850
1516262132,9835,9835
1516263029,9842,9842
1516263872,9879,9879
1516264951,9848,9848
1516265797,9825,9825
1516266633,9859,9859
1516267829,9836,9836
1516268719,9866,9866
1516270226,9840,9840
1516272999,9772,9772
1516273833,9797,9797
1516275747,9777,9777
1516278027,9818,9818
1516278508,9836,9836
1516279350,9780,9780
1516281262,9785,9785
1516282236,9754,9754
1516283122,9770,9770
1516284862,9785,9785
1516286139,9745,9745
1516286539,9759,9759
1516289298,9814,9814
1516290142,9791,9791
1516291003,9745,9745
1516291836,9786,9786
1516292854,9820,9820
1516293753,9756,9756
1516295723,9782,9782
1516296775,9752,9752
1516298208,9748,9748
1516299262,9787,9787
1516300098,9825,9825
1516300939,9776,9776
1516302248,9776,9776
1516304418,9793,9793
1516305229,9807,9807
1516306225,9761,9761
1516307120,9786,9786
1516308026,9729,9729
1516308982,9761,9761
1516310123,9773,9773
1516310898,9806,9806
1516311737,9747,9747
1516312583,9778,9778
1516313659,9751,9751
1516315354,9703,9703
1516317033,9745,9745
1516317838,9777,9777
1516318822,9704,9704
1516319782,9735,9735
1516320632,9719,9719
1516321472,9741,9741
1516322338,9705,9705
1516322544,9715,9715
1516324231,9734,9734
1516325336,9766,9766
1516326326,9731,9731
1516328060,9751,9751
1516329004,9045,9045
1516329919,8906,8906
1516331184,8547,8547
1516331658,8563,8563
1516332637,8537,8537
1516333533,8548,8548
1516334890,8540,8540
1516336101,8581,8581
1516338669,8540,8540
1516339823,8512,8512
1516340723,8517,8517
1516341671,8495,8495
1516342525,8522,8522
1516343541,8513,8513
1516345492,8494,8494
1516346066,8514,8514
1516346899,8544,8544
1516347748,8490,8490
1516349434,8502,8502
1516350499,8544,8544
1516351347,8496,8496
1516353523,8518,8518
1516354521,8499,8499
1516354944,8518,8518
1516356862,8516,8516
1516358543,8512,8512
1516359401,8453,8453
1516361504,8435,8435
1516362324,8447,8447
1516363400,8418,8418
1516364425,8461,8461
1516364897,8482,8482
1516367661,8462,8462
1516368627,8467,8467
1516369514,8481,8481
1516372100,8563,8563
1516372945,8534,8534
1516373994,8503,8503
1516374921,8541,8541
1516375828,8507,8507
1516376722,8547,8547
1516378232,8538,8538
1516380141,8514,8514
1516381194,8515,8515
1516382113,8564,8564
1516382898,8585,8585
1516383742,8526,8526
1516384585,8548,8548
1516385431,8542,8542
1516386443,8584,8584
1516387351,8539,8539
1516388921,8541,8541
1516390825,8522,8522
1516391777,8542,8542
1516392630,8543,8543
1516394126,8517,8517
1516395321,8552,8552
1516396232,8544,8544
1516397432,8513,8513
1516398326,8530,8530
1516399278,8498,8498
1516400118,8524,8524
1516401026,8478,8478
1516401738,8485,8485
1516402592,8504,8504
1516403658,8489,8489
1516404934,8443,8443
1516406122,8466,8466
1516407026,8442,8442
