DateTime,AddedIPs,RemovedIPs
1513330845,0,1
1513331803,1,0
1513332870,1,0
1513333726,1,0
1513334563,0,1
1513338278,1,0
1513366300,0,3
1513368702,0,2
1513370579,1,0
1513381362,1,0
1513392155,0,1
1513394932,1,0
1513396317,2,0
1513422402,0,3
1513423243,2,0
1513425113,0,1
1513429851,0,1
1513462235,0,1
1513469454,1,0
1513478557,0,1
1513479725,0,3
1513483846,5,0
1513488647,0,1
1513492260,0,2
1513496558,0,1
1513502075,0,1
1513505879,2,0
1513530876,1,0
1513534223,1,0
1513552478,0,1
1513556080,1,1
1513564955,0,1
1513575353,0,1
1513593771,0,1
1513598477,2,1
1513612602,1,0
1513615237,1,0
1513630238,1,1
1513632944,1,0
1513635045,1,0
1513638646,0,1
1513653051,0,2
1513654255,1,2
1513660246,1,0
1513665045,1,0
1513674661,0,4
1513680996,2,0
1513683079,0,1
1513696192,0,1
1513761072,3,0
1513768251,0,3
1513769407,4,0
1513770139,1,0
1513771923,2,1
1513773951,4,1
1513781809,1,0
1513784558,0,1
1513786549,1,0
1513789842,0,2
1513802571,0,1
1513804142,1,0
1513820747,0,1
1513823443,0,3
1513825849,0,1
1513827770,2,0
1513828866,0,1
1513834971,1,0
1513838568,1,0
1513840481,0,1
1513845344,0,1
1513858830,3,0
1513861741,2,0
1513867558,0,1
1513871151,0,1
1513890646,1,0
1513909865,0,1
1513913435,0,1
1513916076,1,0
1513930247,0,3
1513939548,0,1
1513944948,1,0
1513951849,2,1
1513953768,0,1
1513957557,0,1
1513962643,2,0
1513971757,2,0
1513977060,1,0
1513978126,1,0
1513996961,0,1
1513998646,0,3
1513999734,1,0
1514001340,2,0
1514007755,0,1
1514011833,1,0
1514012491,0,1
1514033154,0,1
1514040256,1,0
1514045449,0,1
1514047355,0,1
1514052880,1,0
1514061763,0,1
1514067936,1,0
1514079755,1,0
1514088645,2,0
1514101356,0,1
1514103046,1,0
1514106887,1,0
1514112345,0,2
1514117450,1,0
1514123741,1,0
1514132076,0,2
1514142646,1,0
1514152541,1,0
1514157048,1,1
1514169643,0,2
1514171690,0,1
1514176244,1,0
1514187943,0,1
1514190530,1,0
1514202338,2,0
1514209368,1,0
1514214091,0,1
1514215832,0,1
1514222077,0,2
1514230250,0,1
1514231145,1,0
1514249150,0,1
1514252450,0,1
1514256265,0,1
1514265051,3,0
1514272249,0,2
1514280637,0,1
1514283281,1,1
1514284244,1,0
1514286647,0,2
1514288452,2,1
1514296319,1,0
1514297450,0,1
1514299249,0,1
1514304651,1,0
1514305650,1,0
1514311843,0,1
1514335343,0,1
1514340652,0,1
1514344480,0,2
1514346053,1,1
1514346948,2,0
1514369451,0,1
1514371379,0,1
1514375810,1,0
1514376883,4,0
1514385753,1,0
1514389353,0,1
1514390389,1,0
1514392121,1,0
1514407355,1,0
1514419844,1,1
1514422885,1,0
1514434245,1,1
1514435447,0,1
1514451692,0,1
1514453572,0,1
1514457605,0,1
1514459444,0,2
1514463045,1,0
1514464970,0,1
1514475949,1,1
1514477452,1,0
1514487891,1,0
1514489331,1,0
1514509820,1,0
1514517047,0,1
1514518979,2,0
1514542251,0,1
1514545861,0,2
1514547797,0,1
1514549683,2,0
1514556645,1,0
1514557798,4,2
1514576586,1,1
1514589279,0,1
1514602649,0,2
1514604959,0,1
1514606927,3,0
1514630745,0,1
1514631416,0,1
1514633452,1,0
1514637054,1,0
1514637745,1,0
1514646648,0,2
