DateTime,Entries,UniqueIPs
1516372773,18670,18670
1516373733,18666,18666
1516374692,18663,18663
1516376372,18664,18664
1516377094,18661,18661
1516377813,18658,18658
1516378774,18647,18647
1516379493,18656,18656
1516380214,18652,18652
1516380933,18654,18654
1516381893,18663,18663
1516382854,18665,18665
1516384294,18670,18670
1516385494,18677,18677
1516386213,18680,18680
1516386934,18679,18679
1516387892,18688,18688
1516388613,18688,18688
1516389333,18691,18691
1516390294,18691,18691
1516391252,18683,18683
1516391973,18687,18687
1516392693,18676,18676
1516393414,18670,18670
1516394135,18672,18672
1516395093,18681,18681
1516395813,18673,18673
1516397253,18658,18658
1516398214,18655,18655
1516398933,18636,18636
1516399654,18637,18637
1516400374,18634,18634
1516401094,18627,18627
1516402053,18625,18625
1516403253,18616,18616
1516403974,18627,18627
1516404694,18623,18623
1516405414,18606,18606
1516406136,18607,18607
1516407576,18606,18606
1516408534,18609,18609
1516409493,18599,18599
1516410453,18585,18585
1516411414,18579,18579
1516412372,18573,18573
1516413334,18567,18567
1516414294,18578,18578
1516415254,18566,18566
1516416214,18555,18555
1516417174,18548,18548
1516418136,18531,18531
1516419093,18521,18521
1516420055,18511,18511
1516421014,18509,18509
1516421734,18506,18506
1516422515,18504,18504
1516423174,18501,18501
1516423892,18517,18517
1516424613,18507,18507
1516425572,18512,18512
1516426533,18501,18501
1516427493,18502,18502
1516428453,18499,18499
1516429414,18504,18504
1516430373,18502,18502
1516431094,18497,18497
1516431814,18501,18501
1516432533,18504,18504
1516433253,18501,18501
1516433974,18499,18499
1516434694,18500,18500
1516435414,18500,18500
1516436373,18510,18510
1516437334,18515,18515
1516438294,18514,18514
1516439973,18510,18510
1516440693,18504,18504
1516441413,18500,18500
1516442132,18508,18508
1516443092,18507,18507
1516444053,18504,18504
1516446213,18480,18480
1516446932,18482,18482
1516447893,18470,18470
1516448613,18468,18468
1516449334,18454,18454
1516450533,18452,18452
1516451493,18442,18442
1516452213,18452,18452
1516452935,18453,18453
1516453893,18442,18442
1516454852,18432,18432
1516455813,18425,18425
1516456772,18427,18427
1516457973,18428,18428
1516458934,18430,18430
1516459893,18428,18428
1516460613,18419,18419
1516461334,18418,18418
1516462054,18425,18425
1516462773,18428,18428
1516463733,18434,18434
1516464693,18437,18437
1516465653,18444,18444
1516466374,18459,18459
1516467094,18460,18460
1516467814,18460,18460
1516469014,18456,18456
1516469733,18473,18473
1516470933,18464,18464
1516471653,18457,18457
1516472374,18451,18451
1516473334,18448,18448
1516474294,18440,18440
1516475253,18432,18432
1516476213,18424,18424
1516477174,18415,18415
1516478134,18415,18415
1516479094,18412,18412
1516480054,18401,18401
1516481013,18412,18412
1516481734,18408,18408
1516482454,18395,18395
1516483174,18404,18404
1516483893,18406,18406
1516484613,18405,18405
1516485334,18403,18403
1516486054,18400,18400
1516486773,18393,18393
1516487493,18393,18393
1516488213,18381,18381
1516488935,18375,18375
1516489654,18373,18373
1516491573,18347,18347
1516492293,18323,18323
1516493015,18302,18302
1516493973,18289,18289
1516494694,18270,18270
1516495413,18262,18262
1516496133,18248,18248
1516496854,18237,18237
1516497814,18225,18225
1516498535,18222,18222
1516499254,18215,18215
1516499974,18211,18211
1516500694,18210,18210
1516501414,18205,18205
1516502134,18193,18193
1516502852,18184,18184
1516504055,18173,18173
1516504774,18174,18174
1516505495,18172,18172
1516506212,18176,18176
1516506935,18168,18168
1516507652,18174,18174
1516508374,18171,18171
1516509093,18172,18172
1516509813,18165,18165
1516510535,18165,18165
1516511254,18161,18161
1516511974,18160,18160
1516512693,18157,18157
1516513414,18154,18154
1516514136,18153,18153
1516515093,18156,18156
1516515813,18154,18154
1516516534,18156,18156
1516517253,18167,18167
1516517973,18167,18167
1516518693,18174,18174
1516519414,18183,18183
1516520135,18187,18187
1516520854,18196,18196
1516521574,18196,18196
1516522293,18193,18193
1516523014,18178,18178
1516523734,18172,18172
1516524452,18175,18175
1516525174,18170,18170
1516526135,18179,18179
1516526853,18176,18176
1516527573,18182,18182
1516528533,18183,18183
1516529254,18171,18171
1516529974,18164,18164
1516530695,18165,18165
1516531414,18174,18174
1516532133,18169,18169
1516532854,18160,18160
1516533573,18149,18149
1516534293,18154,18154
1516535013,18146,18146
1516535735,18141,18141
1516536933,18140,18140
1516537654,18133,18133
1516538373,18119,18119
1516539093,18107,18107
1516539812,18113,18113
1516540534,18118,18118
1516541494,18118,18118
1516542454,18113,18113
1516543173,18116,18116
1516543893,18113,18113
1516544614,18106,18106
1516545334,18100,18100
1516546293,18080,18080
1516547253,18064,18064
1516547974,18072,18072
1516548693,18055,18055
1516549413,18050,18050
1516550134,18041,18041
1516551092,18025,18025
1516551814,18014,18014
1516552535,17999,17999
1516553253,17987,17987
1516553974,17977,17977
1516554693,17970,17970
1516555413,17965,17965
1516556132,17951,17951
1516556854,17943,17943
1516557575,17937,17937
1516558292,17929,17929
1516559014,17915,17915
1516559734,17909,17909
1516560693,17909,17909
1516561653,17903,17903
1516562613,17896,17896
1516563334,17878,17878
1516564054,17870,17870
1516564774,17871,17871
1516565494,17871,17871
1516566214,17870,17870
1516566933,17859,17859
