DateTime,Entries,UniqueIPs
1486304477,12433,12934
1486326602,10849,11293
1486348625,10864,11305
1486370703,10982,11425
1486392936,10262,10671
1486414891,9065,9423
1486436936,9074,9436
1486458779,9079,9442
1486481109,8108,8424
1486503156,5640,5840
1486525003,5684,5883
1486546845,5596,5791
1486568710,8861,9220
1486590764,8792,9149
1486612905,8795,9150
1486634916,8778,9133
1486656779,9874,10271
1486678896,9926,10333
1486700926,9883,10290
1486722990,9887,10293
1486744840,7768,8066
1486766911,8913,9259
1486788753,8867,9213
1486810914,10477,10865
1486832919,9783,10136
1486854997,10101,10481
1486876851,10110,10490
1486898912,11754,12179
1486920775,12667,13110
1486942838,11846,12258
1486964905,11885,12299
1486986753,12675,13109
1487008908,13398,13869
1487030931,12132,12544
1487052996,12122,12534
1487074875,12257,12697
1487096915,10443,10794
1487119030,10385,10737
1487141061,10393,10745
1487162914,9690,10068
1487184773,7772,8067
1487206909,7779,8072
1487228930,7863,8157
1487250786,7930,8241
1487272839,7905,8218
1487294905,7909,8222
1487316776,7993,8307
1487338648,8291,8601
1487360705,8248,8557
1487382748,8177,8486
1487404716,8139,8445
1487426661,7136,7373
1487448518,7169,7406
1487470580,7236,7476
1487492473,7145,7383
1487514505,6448,6666
1487536606,6436,6654
1487558669,6508,6728
1487580518,6450,6669
1487602364,7394,7653
1487624525,7466,7728
1487646526,7443,7703
1487668588,7486,7747
1487690665,6365,6573
1487712507,6742,6961
1487734359,6696,6916
1487756413,6779,6999
1487778289,7767,8038
1487800134,7879,8168
1487822204,7823,8112
1487844160,7849,8137
1487866116,6324,6553
1487887961,5476,5667
1487910054,5565,5759
1487932105,5750,5961
1487953971,4899,5067
1487976042,6229,6444
1487998129,7425,7685
1488020222,7337,7596
1488042117,7762,8033
1488064139,7803,8072
1488085980,7688,7953
1506805047,785,807
1506827218,11062,11358
1506849144,11429,11730
1506871240,11765,12070
1506893310,12139,12451
1506915160,12462,12780
1506937219,12736,13058
1506959082,12986,13311
1506981138,12984,13310
1507002988,13065,13392
1507024842,12983,13306
1507046902,13042,13363
1507068752,12850,13164
1507090859,12676,12986
1507112929,12663,12972
1507134984,12878,13190
1507157498,13074,13392
1507179395,13234,13553
1507201472,13593,13920
1507223821,13698,14031
1507245877,14054,14398
1507268220,14451,14810
1507290514,14575,14937
1507312645,14541,14905
1507334662,14492,14852
1507356509,14436,14797
1507378373,14329,14683
1507400442,14207,14563
1507422614,14099,14450
1507444668,14047,14396
1507466658,14170,14515
1507488502,14188,14536
1507510453,14168,14509
1507532457,14176,14510
1507554762,14076,14408
1507577075,14091,14427
1507599144,14467,14814
1507621244,14181,14528
1507643088,14384,14734
1507665470,14423,14774
1507687471,14519,14869
1507709541,14681,15037
1507731414,14906,15262
1507753456,14935,15294
1507775554,14882,15236
1507797415,14857,15207
1507819711,14755,15096
1507841778,14688,15027
1507863646,14535,14883
1507885709,14510,14855
1507907799,14597,14953
1507929820,14601,14963
1507951957,14500,14855
1507974018,14455,14806
1507996153,14299,14645
1508018180,14289,14635
1508040094,14412,14759
1508062107,14532,14883
1508083981,14081,14419
1508106009,13850,14187
1508127885,13748,14080
1508150002,13861,14196
1508172019,13898,14234
1508193874,13661,13993
1508215938,13334,13662
1508237833,12745,13055
1508259868,12748,13056
1508281948,12818,13132
1508303793,12864,13179
1508325854,12779,13095
1508347708,12830,13149
1508369564,13018,13340
1508391625,13266,13594
1508413689,13447,13777
1508435605,13582,13906
1508457650,13631,13956
1508479608,13598,13928
1508501597,13587,13917
1508525002,13531,13857
1508546914,13257,13573
1508568785,13065,13377
1508590823,12787,13098
1508612679,12562,12860
1508634531,12436,12729
1508656851,12379,12671
1508679024,12098,12387
1508700973,11867,12149
1508722824,11816,12099
1508744672,11624,11908
1508766767,11661,11946
1508788895,11621,11905
1508810917,11617,11904
1508833008,11846,12138
1508855054,12215,12514
1508876929,12615,12926
1508899004,12966,13278
1508920849,13136,13448
1509185312,13600,13929
1509207515,13959,14293
1509230260,14343,14688
1509252277,14427,14775
1509274339,14700,15055
1509296202,15060,15420
1509318054,15115,15477
1509340087,15168,15531
1509361957,13183,13489
1509384046,13000,13302
1509406559,12738,13030
1509428613,12797,13093
1509450512,12550,12846
1509472586,12172,12461
1509494524,12152,12440
1509516772,12185,12474
1509538856,11755,12038
1509560898,11570,11850
1509605069,11304,11579
1510066111,10809,11087
1510088042,11365,11648
1510110119,11692,11982
1510132360,11886,12182
1510154466,12274,12578
1510176511,12452,12761
1510198427,12589,12901
1510220471,12869,13182
1510242759,12569,12868
1510264837,12423,12718
1510286903,12360,12652
1510308747,12391,12684
1510330598,12186,12475
1510352722,12163,12453
1510374766,12238,12530
1510396838,12142,12432
1510418680,12098,12386
1510440729,11932,12222
1510462597,11806,12095
1510484676,11712,12001
1510506743,11744,12034
1510528827,11886,12174
1510550671,11958,12248
1510572750,12131,12425
1510594594,12307,12604
1510616675,12545,12848
1510638658,12797,13100
1510660596,12933,13234
1510682692,12980,13277
1510704750,12999,13300
1510726849,12986,13291
1510748911,12935,13246
1510770881,12923,13232
1510792821,12832,13139
1510814666,12638,12947
1510836672,12722,13031
1510858593,12926,13237
1510880491,12904,13214
1510902507,12892,13204
1510924367,12867,13171
1510946223,13011,13314
1510968263,13080,13385
1510990464,13144,13451
1511012677,13017,13327
1511035046,12781,13085
1511056892,12754,13059
1511078905,12741,13052
1511100752,12795,13104
1511122965,12756,13061
1511144896,12665,12974
1511166754,12720,13028
1511188693,2859,2899
1511210657,2896,2934
1511232505,12857,13170
1511254523,12889,13201
1511276446,12875,13185
1511298521,12936,13250
1511320752,13135,13452
1511342655,13146,13464
1511364518,13272,13589
1511386363,13387,13707
1511408452,13310,13621
1511430531,13329,13644
1511452386,13335,13653
1511474443,13083,13392
1511496475,12852,13155
1511518373,12835,13135
1511540444,12641,12938
1511562500,12374,12666
1511584599,12299,12592
1511606678,12141,12431
1511628751,12019,12309
1511650844,12038,12325
1511672975,11962,12249
1511694994,11844,12132
1511717361,11810,12101
1511739755,11783,12078
1511761964,11721,12013
1511784060,12039,12337
1511805962,12267,12566
1511827986,12742,13053
1511850043,12939,13257
1511871909,13238,13557
1511893972,13564,13894
1511916022,13755,14086
1511937874,13825,14160
1511959802,13854,14185
1511981793,13915,14252
1512003884,13789,14121
1512025967,13879,14213
1512048036,13905,14244
1512070113,13888,14228
1512091968,14004,14344
1512113827,14303,14651
1512136313,14328,14673
1512158217,14137,14472
1512180285,14021,14355
1512202373,13818,14145
1512224459,13628,13948
1512246345,13427,13737
1512268391,13210,13510
1512290678,12802,13091
1512312764,12786,13082
1512334728,12972,13267
1512356911,13033,13332
1512378754,13288,13589
1512400826,13444,13749
1512422934,13650,13962
1512444797,13801,14121
1512466810,13982,14308
1512488670,14048,14375
1512510522,13958,14280
1512532381,13773,14092
1512554454,13471,13791
1512576524,13364,13686
1512602940,13103,13421
1512625244,12789,13101
1512647582,12636,12942
1512669665,12352,12654
1512691704,12308,12608
1512713547,12367,12669
1512735437,12402,12703
1512757489,12227,12525
1512779342,12256,12554
1512801402,12279,12579
1512823487,12206,12506
1512845329,12255,12550
1512867229,12389,12689
1512889289,12526,12830
1512911569,12800,13108
1512933436,12977,13286
1512955469,13124,13431
1512977573,13367,13675
1512999643,13722,14034
1513021717,13827,14142
1513043561,13914,14232
1513065430,13875,14197
1513087288,13654,13974
1513186390,14202,14535
1513208538,14180,14516
1513230550,14106,14448
1513252858,14090,14433
1513274708,14255,14603
1513297317,14613,14971
1513319329,14926,15294
1513341649,15338,15723
1513363966,13981,14317
1513386274,13913,14245
1513408372,13930,14261
1513430452,13957,14292
1513452948,13912,14248
1513475080,13813,14141
1513497184,13768,14093
1513519305,13561,13875
1513541292,13519,13836
1513563164,13716,14037
1513585016,13751,14074
1513606973,13772,14099
1513629167,13755,14086
1513651245,13843,14172
1513673565,13879,14210
1513695973,13919,14246
1513718207,13812,14140
1513740119,13668,13994
1513762079,13670,14001
1513783979,13810,14140
1513806021,13852,14186
1513827883,13739,14070
1513849973,13759,14088
1513872310,13880,14210
1513894162,13991,14323
1513916201,14066,14400
1513938227,14049,14384
1513960124,13968,14305
1513982206,13835,14169
1514004262,13720,14051
1514026112,13542,13865
1514048033,13205,13526
1514070204,12955,13270
1514092107,12762,13068
1514114046,12583,12887
1514136261,12290,12583
1514159255,12265,12558
1514181402,12231,12526
1514203843,12287,12584
1514225791,12205,12501
1514247862,12234,12529
1514269970,12155,12450
1514292027,12139,12437
1514314136,12161,12462
1514336217,12145,12446
1514358283,12130,12432
1514380132,12009,12304
1514402222,11959,12253
1514424274,11889,12183
1514446192,12289,12590
1514468463,12460,12759
1514490514,12675,12982
1514512391,12915,13226
1514534235,13062,13378
1514556280,13226,13544
1514578260,13420,13736
1514600140,13635,13960
1514622055,13513,13835
1514644536,13530,13852
1514666438,13467,13786
1514688519,13449,13769
1514710766,13487,13809
1514732676,13511,13834
1514754538,13536,13863
1514776770,13538,13857
1514798695,13517,13836
1514820768,13488,13809
1514843918,13414,13740
1514865894,13315,13635
1514887974,13217,13533
1514909946,13218,13536
1514931868,13286,13611
1514953715,13336,13657
1514975816,13474,13803
1514997861,13439,13777
1515020116,13498,13837
1515042056,13562,13906
1515064115,13746,14092
1515086501,13829,14178
1515109020,13898,14247
1515131063,13874,14219
1515153216,13873,14218
1515175313,13959,14305
1515197157,13952,14300
1515219511,13734,14070
1515241707,13607,13941
1515263570,13541,13867
1515285720,13422,13750
1515308147,13287,13613
1515330063,13286,13618
1515352146,13255,13580
1515374206,13216,13537
1515396493,13407,13731
1515418754,13579,13905
1515440671,13455,13780
1515463105,13365,13685
1515485065,13342,13663
1515507195,13271,13590
1515529076,13107,13422
1515551078,13085,13409
1515573178,12911,13231
1515595240,12654,12969
1515617291,12669,12985
1515639187,12615,12933
1515661289,12568,12884
1515683314,12498,12809
1515705447,12423,12733
1515727726,12316,12620
1515749818,12261,12564
1515771886,12240,12541
1515793959,12262,12562
1515816147,12228,12525
1515838395,12258,12560
1515860460,12269,12574
1515882824,12273,12577
1515904973,12434,12742
1515927168,12668,12981
1515949333,12849,13168
1515971656,13140,13460
1515994028,13261,13585
1516015993,13509,13841
1516038031,13718,14057
1516059902,13836,14173
1516081977,13633,13966
1516103827,13478,13807
1516125687,13369,13697
1516147716,13193,13523
1516169613,13116,13442
1516191890,12824,13145
1516214115,12500,12816
1516236339,12432,12747
1516258310,12487,12810
1516280180,12537,12860
1516302290,12507,12826
1516324573,12413,12729
1516346693,12361,12679
1516369015,12426,12747
1516391030,12444,12764
1516412930,12439,12750
1516434986,12416,12729
1516456914,12303,12611
1516479194,12253,12560
1516501251,12215,12520
1516523113,12185,12487
1516545151,12143,12445
1516567016,12083,12387
1516589057,11970,12275
1516610933,11928,12229
1516632991,11988,12290
1516654882,11989,12297
1516677361,12003,12313
1516699249,11980,12291
1516721558,12014,12328
1516743935,12059,12372
1516765983,12138,12448
1516788041,12211,12522
