DateTime,AddedIPs,RemovedIPs
1486304477,5830,105
1486326602,1288,2394
1486348625,129,4756
1486370703,263,106
1486392936,3375,316
1486414891,230,3390
1486436936,157,237
1486458779,195,157
1486481109,4166,123
1486503156,308,3832
1486525003,154,632
1486546845,157,165
1486568710,6661,149
1486590764,76,6674
1486612905,172,77
1486634916,115,166
1486656779,5621,107
1486678896,313,3077
1486700926,166,2934
1486722990,144,92
1486744840,3644,214
1486766911,1703,2446
1486788753,128,2866
1486810914,2697,33
1486832919,2414,2359
1486854997,2474,1654
1486876851,103,3628
1486898912,3814,28
1486920775,4252,2945
1486942838,331,5193
1486964905,138,345
1486986753,4302,36
1487008908,3408,3382
1487030931,140,4435
1487052996,18,139
1487074875,4629,19
1487096915,55,4627
1487119030,71,62
1487141061,75,71
1487162914,4751,69
1487184773,158,4731
1487206909,138,188
1487228930,126,131
1487250786,5154,124
1487272839,29,5160
1487294905,63,28
1487316776,179,62
1487338648,4910,183
1487360705,104,4911
1487382748,54,111
1487404716,83,53
1487426661,3518,78
1487448518,66,3512
1487470580,150,75
1487492473,75,142
1487514505,4536,77
1487536606,82,4532
1487558669,142,86
1487580518,14,145
1487602364,4253,7
1487624525,167,4243
1487646526,111,177
1487668588,129,112
1487690665,3866,121
1487712507,918,2574
1487734359,82,2217
1487756413,114,85
1487778289,4398,153
1487800134,371,2764
1487822204,82,1995
1487844160,144,52
1487866116,604,214
1487887961,448,460
1487910054,319,482
1487932105,977,276
1487953971,1788,620
1487976042,2945,1247
1487998129,1523,2727
1488020222,46,2715
1488042117,2738,56
1488064139,247,2729
1488085980,29,244
1506805047,807,110
1506827218,10551,636
1506849144,430,10566
1506871240,10553,435
1506893310,611,10557
1506915160,10585,601
1506937219,423,10578
1506959082,10522,434
1506981138,657,10520
1507002988,10626,639
1507024842,303,555
1507046902,659,10420
1507068752,10323,688
1507090859,213,10338
1507112929,10582,202
1507134984,844,10505
1507157498,10883,774
1507179395,685,10875
1507201472,10971,657
1507223821,819,10977
1507245877,10935,828
1507268220,872,10926
1507290514,10655,907
1507312645,773,10663
1507334662,10743,778
1507356509,664,10755
1507378373,10840,638
1507400442,718,10835
1507422614,10747,723
1507444668,662,3
1507466658,587,1160
1507488502,805,10822
1507510453,10792,815
1507532457,609,10801
1507554762,10761,617
1507577075,799,10764
1507599144,10989,760
1507621244,660,10944
1507643088,11160,652
1507665470,763,11140
1507687471,10855,828
1507709541,792,10846
1507731414,11057,719
1507753456,804,11082
1507775554,10795,842
1507797415,700,10835
1507819711,10866,696
1507841778,835,10850
1507863646,10676,875
1507885709,825,10662
1507907799,11246,688
1507929820,754,11286
1507951957,10628,881
1507974018,685,10622
1507996153,10556,706
1508018180,967,10544
1508040094,795,873
1508062107,11179,762
1508083981,423,11358
1508106009,10407,478
1508127885,308,10406
1508150002,11105,267
1508172019,513,806
1508193874,341,10802
1508215938,10422,372
1508237833,301,10410
1508259868,10568,317
1508281948,347,10607
1508303793,10509,347
1508325854,733,10474
1508347708,10814,667
1508369564,646,10828
1508391625,10828,632
1508413689,584,10829
1508435605,10843,599
1508457650,421,10887
1508479608,10451,447
1508501597,615,10425
1508525002,10759,583
1508546914,232,10812
1508568785,10559,259
1508590823,196,10569
1508612679,10553,207
1508634531,262,10548
1508656851,10352,280
1508679024,240,10352
1508700973,10477,228
1508722824,217,10476
1508744672,10307,228
1508766767,264,10295
1508788895,10493,260
1508810917,270,10513
1508833008,10641,247
1508855054,688,10576
1508876929,10938,640
1508899004,651,10930
1508920849,10551,688
1509185312,3491,253
1509207515,364,3259
1509230260,689,10878
1509252277,10322,759
1509274339,612,10353
1509296202,10945,554
1509318054,130,871
