DateTime,AddedIPs,RemovedIPs
1514065923,93,121
1514070019,163,181
1514077924,91,120
1514079844,126,107
1514083683,103,111
1514085603,92,110
1514091363,112,98
1514093524,118,146
1514097365,114,118
1514101445,176,143
1514109363,90,78
1514113443,197,127
1514121124,158,155
1514126885,109,99
1514130965,167,165
1514136964,98,98
1514140803,97,97
1514147043,155,156
1514151123,89,114
1514156886,134,181
1514163616,72,104
1514165523,133,99
1514169364,96,101
1514171288,61,98
1514178964,183,212
1514182805,91,100
1514186885,110,88
1514190964,147,111
1514198644,87,100
1514205124,179,140
1514208964,90,79
1514214725,169,137
1514218806,77,103
1514222644,97,82
1514226488,96,98
1514232243,78,80
1514234168,95,107
1514240164,168,183
1514245925,141,200
1514251683,126,120
1514255524,113,101
1514259363,145,202
1514267045,191,191
1514277126,175,148
1514282883,147,117
1514288888,161,152
1514294644,87,84
1514298485,92,102
1514302324,118,91
1514308084,153,164
1514314084,114,108
1514320089,96,107
1514323925,183,205
1514327767,113,129
1514329683,108,130
1514336645,97,132
1514338804,227,207
1514344565,95,112
1514350564,94,130
1514352487,123,134
1514358725,221,175
1514364484,143,160
1514373364,179,142
1514377694,109,97
1514381524,113,93
1514387764,171,154
1514391602,111,109
1514398084,173,170
1514404084,112,91
1514406004,99,111
1514410085,95,99
1514413924,91,125
1514417763,168,204
1514425925,216,202
1514431686,84,107
1514433844,101,112
1514439603,121,144
1514445367,207,173
1514451124,148,142
1514457124,100,96
1514461204,133,88
1514463364,112,86
1514469363,79,95
1514471525,182,160
1514481843,160,155
1514485685,110,100
1514491444,156,156
1514499123,148,199
1514505124,77,107
1514508964,96,118
1514512814,127,112
1514516644,137,196
1514522643,108,108
1514526483,190,224
1514534164,195,138
1514542564,142,154
1514546404,100,92
1514552417,186,123
1514556723,99,88
1514560563,89,94
1514568243,184,160
1514572083,102,99
1514578085,156,201
1514584085,182,217
1514592484,181,227
1514596564,143,114
1514600404,120,124
1514604245,76,120
1514608084,107,126
1514613844,223,209
1514621523,188,161
1514627285,105,71
1514629205,102,82
1514633043,90,99
1514639044,184,150
1514646724,190,162
1514654643,165,178
1514660884,101,118
1514662803,104,94
1514666883,118,110
1514668809,156,184
1514676723,84,103
1514682483,86,127
1514684403,110,101
1514688485,135,95
1514694244,132,220
1514698084,136,147
1514702164,103,122
1514707924,183,148
1514713923,94,85
1514715843,116,93
1514721612,104,105
1514723523,102,96
1514725443,121,88
1514733124,167,161
1514736963,109,96
1514740804,109,98
1514748486,175,185
1514752324,81,118
1514754484,102,122
1514758805,88,96
1514762645,89,103
1514768643,245,167
1514774887,245,194
1514781364,209,238
1514787364,99,111
1514791205,158,88
1514797212,138,144
1514803203,92,87
1514808963,187,139
1514813043,87,82
1514819043,178,142
1514825044,112,82
1514831043,156,181
1514834884,117,82
1514840643,157,161
1514846883,85,139
1514852646,175,191
1514856726,113,112
1514860806,101,99
1514865365,150,201
1514873523,193,226
1514877604,146,79
1514885765,137,149
1514889604,178,163
1514897283,106,79
1514901123,167,163
1514908815,183,192
1514916964,206,193
1514921043,206,197
1514929443,105,150
1514935204,210,232
1514940964,207,226
1514946963,125,135
1514952723,105,114
1514956564,220,285
1514962323,262,216
1514971924,185,166
1514975764,115,85
1514977687,106,93
1514983445,197,177
1514989444,200,176
1514997126,133,112
1515002887,215,197
1515008645,89,115
1515014645,189,173
1515018485,127,138
1515025445,149,223
1515030005,144,130
1515034324,129,134
1515038163,190,229
1515043924,107,159
1515049923,130,120
1515051843,214,132
1515060013,168,151
1515068164,173,131
1515074412,198,177
1515082083,167,198
1515085923,124,109
1515092414,198,199
1515100323,191,223
1515106084,213,251
1515112324,82,142
1515118084,235,202
1515123845,180,230
1515129605,112,144
1515137284,268,172
1515141125,149,155
1515146883,100,102
1515152648,174,167
1515160323,122,103
1515164165,142,115
1515168014,189,200
1515173763,184,186
1515179524,119,130
1515185283,145,125
1515187205,102,136
1515191048,108,137
1515195845,116,130
1515199923,102,126
1515205685,250,216
1515209523,103,105
1515213606,213,260
1515219364,106,123
1515225123,130,88
1515227285,85,78
1515231124,84,103
1515236883,137,82
1515239044,169,150
1515248645,186,154
1515252485,93,102
1515256566,170,201
1515264249,203,161
1515274085,146,200
1515279843,164,171
1515285603,79,124
1515289444,214,207
1515297123,180,203
1515303124,195,224
1515312723,185,149
1515320404,177,117
1515326164,167,152
1515331924,103,92
1515335764,129,94
1515339603,98,95
1515341524,92,114
1515347285,182,211
1515356887,199,189
1515358817,99,93
1515367205,152,221
1515371285,102,128
1515375124,142,133
1515378963,165,215
1515384964,137,136
1515390964,222,234
1515398644,193,171
1515404404,128,77
1515406564,110,99
1515412324,94,104
1515418084,188,152
1515424084,191,170
1515431764,176,203
1515437764,226,177
1515445685,204,207
1515450966,106,146
1515454804,167,231
1515463444,118,119
1515467284,180,198
1515475443,210,238
1515481443,220,186
1515489124,153,159
1515494884,112,110
1515500643,175,142
1515506644,199,169
1515514564,183,168
1515522724,201,192
1515526567,120,99
1515530405,132,113
1515534486,108,125
1515538326,119,109
1515544084,150,266
1515548164,157,112
1515553925,171,216
1515557767,121,128
1515561606,127,142
1515565445,91,114
1515571211,205,154
1515578884,172,162
1515587284,174,154
1515591364,119,85
1515595203,176,188
1515602883,98,101
1515608644,194,167
1515612725,109,93
1515618486,196,174
1515626405,160,234
1515630485,110,131
1515634325,115,127
1515638165,178,188
1515643925,125,117
1515649924,179,216
1515655924,132,99
1515660004,154,157
1515668164,156,136
1515675843,153,164
1515679685,115,94
1515685687,91,88
1515691444,182,173
1515697684,174,176
1515701527,114,99
1515707524,202,211
1515713286,91,124
1515717132,91,131
1515719284,133,105
1515723364,102,118
1515729126,180,187
1515735365,195,215
1515741366,121,93
1515745206,171,147
1515754817,138,165
1515762724,189,145
1515770405,189,166
1515774724,98,100
1515778565,172,178
1515788645,204,193
1515796324,186,201
1515800885,158,238
1515806885,147,121
1515810965,109,114
1515814803,177,193
1515822723,188,220
1515830644,201,159
1515836403,107,87
1515840243,157,158
1515848414,198,152
1515854164,129,103
1515858244,170,162
1515865923,162,201
1515872163,112,122
1515874090,108,112
1515881766,178,212
1515887523,159,193
1515893286,152,116
1515899044,117,102
1515902883,145,228
1515906724,108,126
1515910564,111,110
1515916565,128,87
1515918483,142,154
1515926164,198,148
1515933843,198,169
1515943445,183,165
1515949213,97,114
1515951126,100,113
1515956884,218,167
1515962649,102,118
1515968644,170,224
1515974883,171,214
1515980643,237,213
1515986643,78,107
1515990485,106,124
1515996243,119,151
1516000323,238,200
1516006084,82,86
1516009923,188,174
1516015684,100,97
1516019764,104,96
1516025764,167,179
1516029604,102,74
1516033443,98,97
1516039214,194,192
1516044964,110,103
1516049523,186,190
1516057217,159,225
1516063204,104,113
1516067045,237,215
1516072804,103,125
1516076643,239,245
1516084324,104,108
1516088164,139,113
1516094165,192,170
1516099924,169,165
1516107613,173,158
1516115524,160,160
1516121524,180,187
1516127286,121,96
1516133044,217,213
1516140724,191,218
1516144563,120,143
1516148886,98,116
1516155368,233,197
1516161364,187,248
1516169524,222,225
1516175523,202,179
1516181764,188,151
1516190164,151,136
1516198084,165,146
1516203845,91,107
1516207926,117,110
1516211765,110,100
1516215613,183,180
1516221844,126,138
1516225923,193,215
1516231923,189,231
1516239604,258,175
1516247525,72,113
1516251364,197,233
1516257125,108,119
1516263124,193,171
1516268885,184,160
1516275363,95,92
1516279444,101,102
1516283283,107,80
1516289044,140,160
1516294817,176,156
1516300805,115,104
1516304884,177,195
1516313285,181,225
1516319524,187,209
1516327443,248,208
1516334165,177,225
1516340644,115,140
1516342804,99,112
1516346643,140,93
1516350723,168,152
1516358404,175,155
1516366565,143,145
