DateTime,Entries,UniqueIPs
1514065923,6096,6096
1514070019,6078,6078
1514077924,6049,6049
1514079844,6068,6068
1514083683,6060,6060
1514085603,6042,6042
1514091363,6056,6056
1514093524,6028,6028
1514097365,6024,6024
1514101445,6057,6057
1514109363,6069,6069
1514113443,6139,6139
1514121124,6142,6142
1514126885,6152,6152
1514130965,6154,6154
1514136964,6154,6154
1514140803,6154,6154
1514147043,6153,6153
1514151123,6128,6128
1514156886,6081,6081
1514163616,6049,6049
1514165523,6083,6083
1514169364,6078,6078
1514171288,6041,6041
1514178964,6012,6012
1514182805,6003,6003
1514186885,6025,6025
1514190964,6061,6061
1514198644,6048,6048
1514205124,6087,6087
1514208964,6098,6098
1514214725,6130,6130
1514218806,6104,6104
1514222644,6119,6119
1514226488,6117,6117
1514232243,6115,6115
1514234168,6103,6103
1514240164,6088,6088
1514245925,6029,6029
1514251683,6035,6035
1514255524,6047,6047
1514259363,5990,5990
1514267045,5990,5990
1514277126,6017,6017
1514282883,6047,6047
1514288888,6056,6056
1514294644,6059,6059
1514298485,6049,6049
1514302324,6076,6076
1514308084,6065,6065
1514314084,6071,6071
1514320089,6060,6060
1514323925,6038,6038
1514327767,6022,6022
1514329683,6000,6000
1514336645,5965,5965
1514338804,5985,5985
1514344565,5968,5968
1514350564,5932,5932
1514352487,5921,5921
1514358725,5967,5967
1514364484,5950,5950
1514373364,5987,5987
1514377694,5999,5999
1514381524,6019,6019
1514387764,6036,6036
1514391602,6038,6038
1514398084,6041,6041
1514404084,6062,6062
1514406004,6050,6050
1514410085,6046,6046
1514413924,6012,6012
1514417763,5976,5976
1514425925,5990,5990
1514431686,5967,5967
1514433844,5956,5956
1514439603,5933,5933
1514445367,5967,5967
1514451124,5973,5973
1514457124,5977,5977
1514461204,6022,6022
1514463364,6048,6048
1514469363,6032,6032
1514471525,6054,6054
1514481843,6059,6059
1514485685,6069,6069
1514491444,6069,6069
1514499123,6018,6018
1514505124,5988,5988
1514508964,5966,5966
1514512814,5981,5981
1514516644,5922,5922
1514522643,5922,5922
1514526483,5888,5888
1514534164,5945,5945
1514542564,5933,5933
1514546404,5941,5941
1514552417,6004,6004
1514556723,6015,6015
1514560563,6010,6010
1514568243,6034,6034
1514572083,6037,6037
1514578085,5992,5992
1514584085,5957,5957
1514592484,5911,5911
1514596564,5940,5940
1514600404,5936,5936
1514604245,5892,5892
1514608084,5873,5873
1514613844,5887,5887
1514621523,5914,5914
1514627285,5948,5948
1514629205,5968,5968
1514633043,5959,5959
1514639044,5993,5993
1514646724,6021,6021
1514654643,6008,6008
1514660884,5991,5991
1514662803,6001,6001
1514666883,6009,6009
1514668809,5981,5981
1514676723,5962,5962
1514682483,5921,5921
1514684403,5930,5930
1514688485,5970,5970
1514694244,5882,5882
