DateTime,AddedIPs,RemovedIPs
1515643959,11,3
1515645860,12,10
1515650102,4,9
1515654503,6,16
1515656674,4,4
1515658607,8,5
1515660756,6,12
1515664841,15,6
1515666795,8,5
1515668680,2,1
1515670600,2,8
1515672593,2,7
1515674431,12,8
1515676799,13,8
1515678745,7,8
1515680651,13,6
1515682585,3,3
1515684752,5,8
1515686658,4,7
1515688582,5,8
1515690505,10,9
1515692654,11,2
1515694574,2,7
1515696505,6,4
1515698406,6,3
1515700343,4,6
1515702250,6,4
1515704178,3,5
1515708039,3,22
1515709962,6,2
1515711867,6,3
1515714041,5,7
1515716203,5,9
1515718109,15,3
1515720257,9,7
1515724351,2,28
1515726279,2,9
1515728193,11,0
1515730122,7,5
1515732259,14,11
1515734433,6,3
1515736585,11,9
1515738747,11,9
1515740657,11,4
1515742814,8,21
1515748594,15,13
1515750515,5,8
1515752417,5,9
1515754350,0,5
1515756257,6,5
1515760351,11,20
1515762273,10,5
1515764193,8,6
1515766115,7,0
1515768017,9,6
1515769949,4,0
1515771858,12,3
1515774047,3,4
1515775927,3,0
1515777866,16,3
1515779767,6,13
1515781712,7,2
1515783867,1,13
1515785793,3,7
1515787697,5,0
1515789636,8,7
1515791551,6,0
1515793478,8,10
1515795400,12,7
1515797551,4,0
1515802107,6,2
1515805949,14,0
1515807857,10,0
1515809794,15,0
1515811952,10,2
1515813858,8,0
1515815789,7,9
1515817953,5,11
1515819892,2,4
1515821772,7,0
1515823726,3,12
1515825853,7,3
1515828283,6,0
1515830189,8,12
1515832109,10,16
1515834023,7,0
1515835951,3,0
1515839794,5,16
1515841714,1,0
1515843871,8,3
1515846033,8,6
1515847926,3,16
1515849855,12,3
1515851788,5,3
1515853712,9,14
1515855888,7,0
1515857772,5,15
1515861633,7,15
1515863547,15,5
1515867617,12,14
1515869552,0,13
1515871711,11,6
1515873617,9,11
1515875560,13,1
1515877480,8,2
1515879399,6,15
1515881306,13,0
1515883214,8,3
1515885163,8,18
1515887319,7,11
1515889209,12,0
1515891129,10,15
1515893051,13,3
1515894966,11,7
1515897157,4,7
1515899064,4,3
1515901003,7,12
1515902910,7,3
1515904822,15,7
1515908672,12,18
1515910599,8,9
1515912755,14,12
1515914655,12,0
1515916594,6,15
1515920443,8,23
1515922335,7,4
1515924271,4,7
1515926193,4,4
1515928123,4,0
1515930016,8,0
1515932025,4,4
1515933871,9,19
1515935800,11,0
1515937726,5,11
1515939635,7,3
1515941548,9,16
1515943463,12,7
1515945396,7,4
1515947303,13,2
1515949250,3,4
1515953070,1,18
1515958836,5,21
1515964610,7,19
1515968661,11,4
1515974906,11,14
1515976825,8,6
1515978751,10,12
1515980655,12,8
1515982597,10,4
1515984505,12,11
1515986660,13,4
1515988582,13,4
1515992423,10,9
1515994348,5,4
1515998437,9,18
1516000338,11,13
1516002256,4,3
1516004196,8,0
1516006098,11,5
1516008008,2,6
1516011866,9,10
1516013768,6,14
1516019787,4,4
1516021697,8,5
1516023611,7,6
1516025799,11,7
1516027708,6,2
1516029621,7,3
1516031533,9,7
1516033461,11,10
1516041152,13,30
1516043063,11,8
1516044975,1,17
1516047656,6,12
1516049545,6,10
1516051467,5,6
1516055296,11,6
1516057237,4,3
1516059258,3,3
1516061320,4,7
1516063216,4,7
1516065135,3,14
1516067065,7,8
1516068988,3,5
1516070908,5,16
1516072811,6,0
1516074730,6,8
1516078569,4,14
1516080502,7,12
1516082422,3,2
1516084351,5,6
1516086262,6,6
1516090113,0,14
1516092036,0,9
1516094198,10,0
1516096100,4,9
1516098022,7,5
1516101854,4,13
1516107621,6,9
1516109797,4,17
1516111693,4,0
1516113620,6,12
1516115534,6,0
1516117456,10,19
1516119376,5,0
1516121550,3,22
1516123455,9,7
1516125370,1,7
1516127292,9,0
1516129225,4,8
1516131156,3,8
1516133075,8,11
1516134997,1,10
1516136913,6,10
1516138833,6,0
1516140753,1,7
1516142659,6,9
1516144579,2,1
1516146754,4,2
1516148916,12,5
1516151318,2,5
1516153472,12,11
1516155412,8,4
1516157296,17,7
1516159221,7,13
1516161385,9,2
1516163544,0,7
1516165714,8,0
1516167618,8,9
1516169546,9,4
1516171713,6,4
1516173628,12,6
1516175549,11,4
1516177461,7,0
1516179632,3,3
1516183963,1,8
1516186113,3,11
1516188273,1,0
1516190170,6,0
1516192112,13,6
1516194267,5,6
1516196193,7,1
1516198122,1,9
1516200016,2,0
1516201952,2,5
1516203863,11,11
1516205805,4,14
1516207964,3,12
1516209866,8,17
1516213702,2,0
1516217795,3,5
1516219958,6,5
1516221862,13,4
1516224032,1,3
1516225947,4,0
1516228108,9,0
1516230029,5,11
1516233867,7,4
1516237715,4,14
1516239636,7,8
1516241547,12,0
1516243459,5,5
1516245396,6,7
1516247549,5,4
1516249464,14,4
1516251378,13,16
1516253332,14,10
1516255221,7,8
1516257150,7,10
1516261218,6,17
1516263139,8,0
1516265061,13,13
1516266997,5,2
1516268918,11,6
1516270816,1,14
1516273251,1,5
1516275396,5,0
1516279460,13,12
1516281397,2,7
1516283301,12,4
1516285236,10,10
1516289057,6,23
1516290971,7,0
1516292903,9,5
1516294826,5,0
1516296983,3,7
1516298928,5,9
1516300816,4,0
1516302766,5,13
1516304902,8,25
1516306817,8,0
1516308996,4,12
1516313309,3,3
1516315469,11,5
1516317421,2,20
1516319554,2,0
1516321471,10,8
1516325550,3,22
1516329637,1,5
1516331784,8,3
1516334197,4,4
1516336355,7,3
1516338518,4,4
1516340674,12,10
1516342827,9,2
1516344832,7,0
1516346670,19,0
1516348825,15,7
1516350736,13,13
1516352677,8,0
1516354596,5,0
1516356515,2,9
1516358428,6,6
1516362281,2,31
1516364200,0,6
1516366591,6,8
1516368511,22,8
1516370925,6,3
1516372828,7,5
1516374748,5,0
