DateTime,AddedIPs,RemovedIPs
1511306010,6,15
1511317215,3,2
1511328088,5,10
1511338956,7,13
1511349776,3,16
1511360817,4,9
1511371935,6,9
1511382937,9,12
1511394123,15,13
1511404986,5,11
1511415400,5,13
1511426379,6,15
1511437377,6,13
1511448385,5,13
1511459433,8,11
1511470354,5,10
1511481343,9,15
1511492103,6,10
1511503169,8,4
1511514231,4,17
1511525346,4,17
1511536300,6,6
1511547097,5,11
1511558090,11,10
1511569086,9,13
1511580119,7,8
1511591017,4,6
1511602324,4,7
1511613314,8,9
1511624231,8,13
1511635134,1,18
1511646311,5,6
1511657485,4,15
1511668424,9,12
1511679304,7,14
1511690380,7,18
1511701426,0,22
1511712390,6,16
1511723316,11,10
1511734313,5,14
1511745359,15,13
1511756333,6,14
1511767334,9,22
1511778527,7,17
1511790904,7,9
1511801967,5,14
1511812973,9,13
1511824062,8,20
1511835086,6,12
1511846146,7,22
1511856946,10,13
1511867859,2,16
1511878624,6,14
1511889610,7,13
1511900509,11,17
1511911228,8,13
1511921948,9,10
1511933226,8,9
1511944254,5,12
1511955321,4,10
1511966140,5,11
1511976913,12,14
1511987972,6,13
1511999012,10,11
1512009938,8,9
1512020736,8,9
1512031646,10,7
1512042681,13,11
1512053740,3,11
1512064441,7,10
1512075624,2,6
1512086563,4,14
1512097594,2,12
1512108203,8,10
1512119119,6,11
1512130100,1,14
1512140890,5,11
1512151942,9,17
1512162536,6,24
1512173510,1,10
1512184515,4,13
1512195054,2,15
1512206133,4,23
1512217038,6,18
1512228023,4,16
1512238901,9,15
1512249682,10,14
1512261008,9,14
1512271780,6,9
1512282649,7,17
1512293729,5,11
1512304769,4,14
1512315703,8,12
1512326505,3,13
1512337647,11,11
1512348624,4,7
1512359124,3,17
1512370324,4,8
1512381238,3,12
1512391859,6,11
1512402892,15,10
1512413950,4,12
1512424912,1,18
1512436048,7,14
1512446938,4,16
1512457376,7,14
1512468495,3,11
1512479469,3,8
1512490758,2,10
1512501839,5,10
1512512789,4,5
1512523898,2,8
1512535205,7,15
1512545623,2,12
1512556342,8,14
1512566973,4,7
1512577920,5,7
1512588951,5,7
1512602463,6,12
1512613186,5,5
1512623796,2,7
1512634654,3,6
1512645249,2,4
1512656109,8,6
1512669044,4,11
1512679830,6,10
1512690867,5,9
1512702253,3,8
1512713234,6,2
1512724329,2,6
1512735831,6,7
1512747015,4,9
1512757777,3,10
1512768624,5,10
1512779410,3,5
1512790171,2,7
1512801073,2,4
1512811763,9,6
1512822694,5,5
1512833767,5,6
1512844734,7,1
1512856053,7,4
