DateTime,AddedIPs,RemovedIPs
1511400301,4865,4865
1511411101,1985,1985
1511421901,1708,1708
1511432701,1663,1663
1511443501,1446,1446
1511454301,2428,2428
1511465101,3172,3172
1511475901,3820,3820
1511486701,5118,5118
1511497501,1991,1991
1511508301,1716,1716
1511519101,1635,1635
1511529901,1639,1639
1511540701,2805,2805
1511551501,3615,3615
1511562301,4228,4228
1511573101,5414,5414
1511583901,2241,2241
1511594701,1906,1906
1511605501,1761,1761
1511616301,2267,2267
1511627101,3247,3247
1511637901,3974,3974
1511648701,4619,4619
1511659501,5673,5673
1511670301,2122,2122
1511681101,1812,1812
1511691901,1659,1659
1511702701,1942,1942
1511713501,2862,2862
1511724301,3597,3597
1511735101,4246,4246
1511745901,5414,5414
1511756701,2207,2207
1511767501,1803,1803
1511778301,1755,1755
1511789101,2147,2147
1511799901,3076,3076
1511810701,3730,3730
1511821501,4319,4319
1511832301,5420,5420
1511843101,2293,2293
1511853901,1896,1896
1511864701,1688,1688
1511875501,2249,2249
1511886301,3246,3246
1511897101,3998,3998
1511907901,4575,4575
1511918701,5612,5612
1511929501,2400,2400
1511940301,2049,2049
1511951101,1785,1785
1511961901,2557,2557
1511972701,3498,3498
1511983501,4182,4182
1511994301,4723,4723
1512005101,5664,5664
1512015901,2194,2194
1512026701,1969,1969
1512037501,1785,1785
1512048301,2310,2310
1512059101,3279,3279
1512069901,4019,4019
1512080701,4583,4583
1512091501,5684,5684
1512102301,2335,2335
1512113101,2116,2116
1512123901,1926,1926
1512134701,2554,2554
1512145501,3481,3481
1512156301,4285,4285
1512167101,4830,4830
1512177901,5960,5960
1512188701,2499,2499
1512199501,2346,2346
1512210301,1928,1928
1512221101,2902,2902
1512231901,3892,3892
1512242701,4612,4612
1512253501,5238,5238
1512264301,6396,6396
1512275101,2535,2535
1512285901,2440,2440
1512296701,2121,2121
1512307501,3090,3090
1512318301,4151,4151
1512329101,4862,4862
1512339901,5512,5512
1512350701,6709,6709
1512361501,2777,2777
1512372301,2586,2586
1512383102,2316,2316
1512393901,3493,3493
1512404701,4517,4517
1512415501,5293,5293
1512426301,5903,5903
1512437101,7045,7045
1512447901,3122,3122
1512458701,2921,2921
1512469501,2396,2396
1512480301,3924,3924
1512491101,4974,4974
1512501901,5706,5706
1512512701,6360,6360
1512523501,7524,7524
1512534301,3133,3133
1512545101,2950,2950
1512555901,2511,2511
1512566701,3816,3816
1512577501,4845,4845
1512588301,5554,5554
1512599101,6200,6200
1512609901,7241,7241
1512620701,3039,3039
1512631501,2687,2687
1512642301,2325,2325
1512653101,3108,3108
1512663901,4129,4129
1512674701,4990,4990
1512685501,5573,5573
1512696301,6905,6905
1512707101,2978,2978
1512717901,2570,2570
1512728701,2454,2454
1512739501,2849,2849
1512750301,4048,4048
1512761101,4861,4861
1512771901,5450,5450
1512782701,6579,6579
1512793501,2866,2866
1512804301,2523,2523
1512815101,2267,2267
1512825901,2503,2503
1512836701,3608,3608
1512847501,4526,4526
1512858301,5135,5135
1512869101,6104,6104
1512879901,2595,2595
1512890701,2208,2208
1512901501,2154,2154
1512912301,1952,1952
1512923101,3110,3110
1512933901,4091,4091
1512944701,4689,4689
1512955501,5822,5822
1512966301,2474,2474
1512977101,2134,2134
1512987901,2037,2037
1512998701,1802,1802
1513009501,2886,2886
1513020301,3799,3799
1513031101,4431,4431
1513041901,5666,5666
1513052701,2381,2381
1513063501,2056,2056
1513074301,1895,1895
1513085101,1783,1783
1513095901,2464,2464
1513106701,3375,3375
1513117501,4079,4079
1513128301,5487,5487
1513139101,2406,2406
1513149901,2082,2082
1513160701,2029,2029
1513171501,1703,1703
1513182301,2684,2684
1513193101,3621,3621
1513203901,4181,4181
1513214701,5405,5405
1513225501,2273,2273
1513236301,2037,2037
1513247101,1834,1834
1513257901,1705,1705
1513268701,2573,2573
1513279501,3461,3461
1513290301,4207,4207
1513301101,5268,5268
1513311901,2230,2230
1513322701,1479,1479
1513333501,2437,2437
1513344301,1604,1604
