DateTime,AddedIPs,RemovedIPs
1516321474,5,0
1516321957,25,17
1516322434,12,0
1516322893,21,17
1516323402,1,0
1516323861,29,37
1516324359,5,0
1516325088,25,13
1516325554,9,0
1516326035,13,18
1516326501,4,0
1516326970,25,12
1516327486,8,1
1516327934,24,25
1516328688,11,1
1516329141,18,21
1516329650,6,1
1516330364,26,28
1516330829,12,1
1516331327,22,23
1516331789,11,0
1516332278,28,25
1516333011,12,1
1516333461,20,27
1516334210,5,0
1516334674,23,21
1516335413,14,2
1516335860,17,24
1516336369,16,3
1516337083,33,34
1516337551,9,0
1516338055,21,25
1516338521,11,0
1516339251,28,7
1516339703,7,0
1516340174,17,26
1516340686,22,1
1516341139,32,24
1516341647,14,0
1516342366,31,16
1516342831,11,1
1516343323,24,16
1516343785,16,0
1516344254,5,9
1516344851,11,1
1516345218,29,27
1516346184,34,16
1516347145,31,9
1516348363,43,30
1516349291,23,16
1516350255,22,10
1516351236,40,30
1516352173,22,39
1516353141,25,2
1516354097,28,16
1516355056,16,15
1516356021,25,24
1516356990,27,15
1516357940,32,24
1516358901,26,20
1516359892,31,24
1516360815,13,20
1516361786,23,27
1516362733,27,23
1516363828,24,28
1516364911,41,30
1516365880,29,18
1516367065,41,25
1516368019,27,16
1516368985,40,14
1516370204,39,25
1516371382,34,19
1516372337,20,24
1516373301,30,21
1516374261,39,15
1516375213,46,32
1516376170,19,14
1516377146,36,16
1516378349,24,16
1516379295,37,17
1516380272,33,29
1516381477,41,23
1516382435,40,22
1516383406,32,30
1516384345,17,33
1516385569,51,23
1516386499,24,18
1516387463,39,29
1516388423,34,23
1516389400,19,28
1516390363,21,24
1516391321,28,28
1516392260,43,27
1516393213,27,6
1516394202,33,67
1516395162,22,23
1516396102,26,19
1516397321,18,15
1516398282,19,33
1516399220,81,824
1516400183,69,38
1516401161,30,36
1516402122,36,1
1516403314,39,32
1516404261,17,22
1516405218,28,33
1516406185,30,14
1516407147,22,18
1516408102,26,18
1516409062,23,39
1516410024,10,2
1516410990,43,28
1516411941,20,3
1516412902,33,35
1516413868,26,11
1516414823,29,18
1516415779,24,25
1516416740,34,17
1516417703,25,19
1516418670,27,12
1516419623,26,19
1516420576,20,14
1516421812,59,40
1516422758,17,13
1516423951,37,18
1516424904,31,19
1516426095,37,24
1516427064,40,20
1516428023,32,20
1516428985,26,15
1516429936,26,20
1516430895,24,7
1516431980,49,38
1516433052,27,21
1516434030,24,16
1516434971,23,17
1516435963,28,30
1516436896,47,26
1516437857,27,25
1516438824,33,18
1516440049,34,22
1516441219,32,14
1516442197,31,22
1516443164,37,20
1516444123,23,10
1516445575,40,41
1516446488,18,5
1516447476,28,52
1516448416,23,7
1516449397,21,18
1516450608,64,44
1516451554,34,6
1516452501,28,34
1516453469,41,20
1516454422,35,25
1516455384,25,44
1516456344,33,25
1516457312,24,20
1516458498,25,19
1516459467,30,36
1516460418,42,25
1516461407,12,15
1516462334,29,25
1516463307,23,27
1516464262,19,5
1516465225,27,20
1516466171,21,11
1516467160,28,36
1516468098,18,3
1516469075,33,24
1516470012,17,44
1516470997,22,24
1516471940,13,20
1516472898,25,17
1516473857,26,35
1516474832,22,18
1516475783,24,34
1516476746,28,17
1516477697,25,26
1516478674,41,7
1516479617,22,24
1516480586,27,15
1516481532,20,31
1516482522,17,12
1516483454,15,21
1516484417,2,1
1516485393,24,21
1516486341,84,404
1516487293,8,30
1516488291,25,53
1516489225,26,1
1516490214,25,39
1516491648,41,47
1516492574,11,5
1516493548,23,24
1516494497,21,23
1516495480,24,41
1516496420,17,3
1516497382,20,27
1516498335,21,20
1516499315,12,21
1516500260,32,21
1516501217,8,17
1516502195,22,22
1516503134,36,30
1516504105,17,30
1516505068,28,13
1516506012,19,18
1516506982,20,1
1516507944,41,38
1516508895,17,5
1516509870,34,31
1516510825,22,1
1516511776,30,24
1516512762,26,38
1516513700,15,1
1516514663,19,13
1516515621,26,30
